country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8.578	8.414	8.296	8.121	7.951	7.791	7.636	7.477	7.319	7.165	7.014	6.861	6.707	6.545	6.389	6.228	6.071	5.899	5.728	5.558	5.379	5.193	5.005	4.806	4.608	4.408	4.209	4.012	3.818	3.629	3.441	3.27	3.106	2.949	2.8	2.661	2.53	2.406	2.292	2.183	2.078	1.975	1.876	1.775	1.673	1.569	1.468	1.365	1.255	1.146	1.034	0.92	0.807	0.692	0.575000000000001	0.462	0.353	0.247000000000002	0.151	0.0519999999999996	-0.0380000000000003	-0.129	-0.210999999999999	-0.292999999999999	-0.369999999999999	-0.445	-0.519	-0.592000000000001	-0.665000000000001	-0.743	-0.819000000000001	-0.897	-0.970000000000001	-1.045	-1.121	-1.193	-1.267
5536	Group A – already peaked (before 2024)	-2.714	-2.845	-2.846	-3.044	-3.236	-3.431	-3.602	-3.775	-3.939	-4.107	-4.261	-4.406	-4.549	-4.684	-4.819	-4.971	-5.123	-5.288	-5.453	-5.624	-5.829	-6.056	-6.316	-6.601	-6.917	-7.25	-7.6	-7.971	-8.343	-8.708	-9.069	-9.401	-9.714	-9.998	-10.254	-10.477	-10.657	-10.799	-10.903	-10.969	-11.026	-11.054	-11.064	-11.063	-11.053	-11.045	-11.037	-11.039	-11.052	-11.081	-11.119	-11.168	-11.239	-11.313	-11.401	-11.494	-11.576	-11.649	-11.696	-11.742	-11.772	-11.772	-11.756	-11.733	-11.705	-11.672	-11.634	-11.597	-11.584	-11.585	-11.592	-11.619	-11.641	-11.681	-11.728	-11.773	-11.816
1834	Sub-Saharan Africa	24.712	24.382	24.05	23.708	23.387	23.068	22.723	22.391	22.033	21.693	21.347	20.992	20.653	20.282	19.955	19.628	19.302	18.964	18.646	18.33	18.013	17.686	17.384	17.07	16.763	16.457	16.155	15.86	15.573	15.276	14.981	14.69	14.406	14.125	13.857	13.586	13.314	13.044	12.771	12.496	12.227	11.963	11.703	11.447	11.189	10.933	10.677	10.429	10.177	9.927	9.676	9.431	9.19	8.947	8.704	8.466	8.232	8.001	7.783	7.558	7.337	7.116	6.895	6.682	6.477	6.268	6.062	5.866	5.665	5.473	5.288	5.103	4.921	4.742	4.566	4.393	4.223
5537	Group A: Sub-Saharan Africa	0.0390000000000015	-0.288	-0.577	-0.856	-1.142	-1.438	-1.706	-1.985	-2.26	-2.544	-2.83	-3.115	-3.416	-3.722	-4.037	-4.366	-4.719	-5.09	-5.443	-5.81	-6.138	-6.462	-6.767	-7.037	-7.281	-7.511	-7.719	-7.914	-8.085	-8.273	-8.42	-8.578	-8.745	-8.912	-9.073	-9.243	-9.385	-9.557	-9.717	-9.888	-10.066	-10.254	-10.437	-10.615	-10.8	-10.984	-11.178	-11.387	-11.594	-11.795	-12.015	-12.231	-12.439	-12.662	-12.874	-13.073	-13.247	-13.419	-13.59	-13.715	-13.829	-13.952	-14.008	-14.084	-14.132	-14.151	-14.134	-14.109	-14.058	-13.983	-13.907	-13.783	-13.632	-13.526	-13.376	-13.211	-13.069
1833	Northern Africa and Western Asia	15.119	14.86	14.658	14.409	14.154	13.917	13.681	13.445	13.238	13.025	12.836	12.62	12.416	12.207	12.018	11.82	11.613	11.394	11.169	10.934	10.688	10.434	10.179	9.929	9.683	9.431	9.19	8.952	8.714	8.478	8.255	8.038	7.82	7.608	7.403	7.205	7.01	6.822	6.64	6.454	6.283	6.112	5.947	5.785	5.617	5.448	5.283	5.124	4.97	4.821	4.667	4.509	4.36	4.208	4.061	3.923	3.779	3.642	3.506	3.37	3.24	3.111	2.982	2.854	2.724	2.601	2.475	2.35	2.228	2.102	1.975	1.844	1.722	1.6	1.485	1.37	1.259
5538	Group A: Northern Africa and Western Asia	0.985000000000001	0.640000000000001	0.334	0.048	-0.202999999999999	-0.413	-0.613000000000001	-0.786000000000001	-0.938000000000001	-1.079	-1.213	-1.331	-1.425	-1.514	-1.609	-1.679	-1.735	-1.772	-1.821	-1.86	-1.916	-1.999	-2.083	-2.199	-2.314	-2.439	-2.552	-2.694	-2.858	-3.007	-3.168	-3.318	-3.485	-3.646	-3.799	-3.948	-4.097	-4.233	-4.379	-4.515	-4.64	-4.751	-4.866	-4.972	-5.044	-5.101	-5.152	-5.207	-5.24	-5.262	-5.274	-5.277	-5.267	-5.235	-5.217	-5.181	-5.143	-5.096	-5.064	-5.03	-5.006	-4.99	-4.987	-4.998	-5.004	-5.032	-5.059	-5.087	-5.146	-5.206	-5.291	-5.376	-5.461	-5.554	-5.648	-5.735	-5.815
1831	Central and Southern Asia	11.827	11.518	11.227	10.942	10.656	10.395	10.146	9.878	9.608	9.351	9.1	8.843	8.579	8.306	8.031	7.768	7.532	7.269	7.012	6.764	6.528	6.285	6.058	5.814	5.587	5.364	5.147	4.937	4.72	4.519	4.304	4.111	3.923	3.729	3.524	3.323	3.121	2.915	2.724	2.526	2.334	2.132	1.941	1.735	1.535	1.333	1.143	0.961	0.766	0.59	0.413	0.238000000000001	0.0760000000000005	-0.0800000000000001	-0.242000000000001	-0.392000000000001	-0.529	-0.668000000000001	-0.796000000000001	-0.927	-1.047	-1.172	-1.283	-1.396	-1.503	-1.611	-1.708	-1.805	-1.892	-1.988	-2.078	-2.168	-2.242	-2.316	-2.392	-2.459	-2.534
5540	Group A: Eastern and South-Eastern Asia	-2.31	-2.432	-2.376	-2.593	-2.805	-3.024	-3.22	-3.421	-3.616	-3.823	-4.013	-4.195	-4.381	-4.553	-4.726	-4.919	-5.113	-5.322	-5.53	-5.739	-5.989	-6.262	-6.573	-6.911	-7.288	-7.682	-8.097	-8.538	-8.983	-9.418	-9.852	-10.254	-10.634	-10.981	-11.298	-11.576	-11.808	-11.994	-12.137	-12.235	-12.329	-12.389	-12.425	-12.452	-12.473	-12.501	-12.531	-12.577	-12.641	-12.732	-12.836	-12.956	-13.112	-13.273	-13.45	-13.639	-13.812	-13.976	-14.101	-14.23	-14.334	-14.395	-14.432	-14.459	-14.478	-14.487	-14.48	-14.476	-14.503	-14.537	-14.58	-14.648	-14.705	-14.785	-14.878	-14.966	-15.054
1832	Eastern and South-Eastern Asia	0.574999999999999	0.420999999999999	0.403	0.189	-0.0179999999999989	-0.227	-0.414999999999999	-0.601000000000001	-0.779	-0.962999999999999	-1.139	-1.311	-1.484	-1.648	-1.819	-2.005	-2.198	-2.399	-2.606	-2.814	-3.054	-3.312	-3.595	-3.893	-4.218	-4.552	-4.9	-5.259	-5.614	-5.959	-6.3	-6.613	-6.902	-7.167	-7.407	-7.613	-7.788	-7.929	-8.037	-8.115	-8.188	-8.238	-8.277	-8.313	-8.34	-8.376	-8.41	-8.458	-8.521	-8.601	-8.684	-8.783	-8.9	-9.023	-9.152	-9.286	-9.408	-9.522	-9.615	-9.706	-9.779	-9.825	-9.858	-9.881	-9.897	-9.901	-9.904	-9.904	-9.92	-9.941	-9.96	-9.994	-10.023	-10.064	-10.109	-10.149	-10.19
5541	Group A: Latin America and the Caribbean	-1.198	-1.4	-1.6	-1.791	-1.981	-2.179	-2.372	-2.57	-2.767	-2.974	-3.187	-3.407	-3.635	-3.873	-4.121	-4.377	-4.652	-4.933	-5.208	-5.474	-5.756	-6.033	-6.301	-6.573	-6.835	-7.107	-7.38	-7.64	-7.88	-8.124	-8.348	-8.548	-8.735	-8.905	-9.063	-9.196	-9.306	-9.379	-9.443	-9.479	-9.519	-9.55	-9.58	-9.617	-9.644	-9.684	-9.722	-9.762	-9.824	-9.883	-9.975	-10.073	-10.179	-10.294	-10.43	-10.551	-10.689	-10.814	-10.935	-11.041	-11.143	-11.228	-11.304	-11.365	-11.415	-11.448	-11.466	-11.481	-11.495	-11.497	-11.496	-11.494	-11.476	-11.455	-11.429	-11.403	-11.355
