country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	132405.927	132399.173	132503.469	132590.971	132761.183	132988.654	133256.397	133513.402	133764.794	134065.211	134381.002	134669.241	134945.606	135140.994	135355.315	135515.309	135668.984	135672.675	135635.914	135580.927	135406.65	135108.935	134763.86	134270.884	133752.123	133163.337	132555.18	131922.869	131280.338	130666.632	130019.574	129484.557	128994.835	128530.513	128109.976	127754.769	127431.153	127116.967	126876.44	126634.99	126429.595	126218.349	126019.436	125793.035	125546.778	125259.602	124986.379	124696.333	124348.327	123981.997	123572.755	123139.81	122692.724	122209.347	121660.486	121106.661	120554.863	119954.952	119411.964	118804.114	118220.259	117622.288	117028.433	116442.237	115886.476	115345.023	114804.559	114283.302	113772.577	113262.383	112772.539	112282.193	111830.662	111397.1	110941.16	110500.81	110028.472
1834	Sub-Saharan Africa	40717.612	41209.589	41677.588	42121.865	42590.28	43051.864	43463.669	43883.206	44249.27	44625.391	44978.354	45304.339	45641.472	45905.318	46226.038	46532.181	46824.439	47079.796	47349.053	47610.612	47857.161	48061.03	48301.778	48498.571	48695.084	48875.48	49048.737	49218.395	49395.58	49530.085	49652.079	49771.184	49886.307	49999.103	50118.804	50217.867	50301.017	50375.756	50428.449	50461.816	50486.673	50513.403	50542.205	50559.334	50561.924	50555.6	50535.462	50520.834	50489.628	50454.976	50402.953	50352.612	50298.314	50235.655	50158.388	50084.646	50005.791	49926.49	49872.125	49784.836	49702.393	49602.623	49494.431	49387.862	49285.475	49163.087	49033.723	48915.048	48771.989	48642.32	48515.326	48372.496	48227.301	48078.879	47930.581	47765.506	47608.47
1833	Northern Africa and Western Asia	11822.106	11833.589	11880.645	11927.495	11962.511	12003.722	12044.616	12081.542	12135.76	12185.8	12249.591	12293.348	12342.506	12386.676	12443.747	12489.024	12528.115	12555.018	12572.882	12582.856	12577.41	12563.584	12543.906	12523.189	12501.979	12473.116	12448.344	12422.124	12391.462	12361.626	12337.089	12314.061	12288.172	12264.658	12244.686	12226.193	12211.155	12197.936	12186.165	12169.265	12161.574	12149.943	12142.927	12133.45	12114.261	12092.396	12068.071	12043.974	12019.579	11995.898	11962.808	11923.281	11890.415	11851.114	11809.519	11772.832	11730.387	11690.24	11646.955	11602.748	11564.426	11523.884	11482.108	11438.575	11394.278	11355.542	11312.806	11274.616	11238.347	11199.132	11155.506	11108.722	11069.757	11031.893	10997.489	10960.74	10925.427
1831	Central and Southern Asia	38992.673	38815.395	38671.644	38526.509	38391.036	38287.086	38204.863	38082.523	37937.599	37814.978	37691.981	37556.896	37390.191	37208.424	36995.169	36796.519	36649.995	36445.533	36238.915	36043.314	35860.669	35665.325	35484.336	35269.112	35086.567	34904.062	34735.784	34573.355	34391.939	34255.328	34083.186	33949.562	33828.158	33678.075	33507.402	33346.607	33182.492	32995.305	32851.575	32682.897	32527.063	32352.791	32179.726	31983.758	31788.757	31575.675	31398.833	31223.889	31018.337	30821.268	30628.211	30438.237	30256.143	30080.633	29877.763	29685.57	29522.736	29324.327	29157.271	28971.379	28804.651	28628.033	28467.789	28294.2	28131.172	27968.581	27798.847	27629.305	27463.185	27272.631	27088.079	26900.85	26735.654	26570.399	26383.205	26217.214	26027.587
1832	Eastern and South-Eastern Asia	20580.712	20386.48	20243.091	20094.887	19978.498	19872.746	19820.842	19781.422	19777.299	19775.511	19793.516	19830.091	19861.101	19915.921	19947.975	19954.636	19938.416	19892.8	19825.749	19751.861	19602.747	19406.821	19145.899	18834.027	18467.973	18072.32	17644.733	17194.481	16752.827	16327.554	15910.017	15555.367	15231.562	14949.186	14712.874	14528.803	14379.698	14260.87	14181.052	14135.09	14102.3	14078.773	14059.059	14041.503	14026.367	13995.937	13959.054	13913.968	13852.348	13780.644	13688.908	13584.468	13460.315	13315.298	13161.371	12986.302	12807.691	12614.711	12424.12	12226.106	12021.066	11830.047	11635.762	11459.82	11291.866	11143.589	11011.359	10886.757	10777.237	10683.259	10599.921	10529.477	10468.607	10419.508	10371.025	10329.185	10275.927
1830	Latin America and the Caribbean	9307.645	9226.599	9160.246	9098.906	9043.095	8994.694	8944.564	8896.711	8845.453	8796.654	8745.368	8691.057	8634.308	8577.764	8520.724	8451.78	8384.047	8310.971	8235.159	8163.07	8092.406	8017.95	7946.788	7871.956	7803.302	7733.026	7663.282	7597.28	7528.365	7461.236	7395.224	7332.413	7267.041	7203.395	7140.83	7083.605	7027.28	6971.702	6918.41	6871.171	6821.675	6771.839	6720.39	6671.566	6621.018	6572.651	6524.548	6474.547	6426.733	6376.659	6326.533	6278.591	6228.957	6176.57	6122.872	6073.081	6017.734	5968.772	5920.115	5869.759	5821.597	5772.501	5723.24	5674.315	5630.132	5586.66	5542.14	5498.472	5455.457	5412.921	5369.151	5326.593	5285.865	5245.822	5206.268	5168.999	5130.844
1835	Oceania (excluding Australia and New Zealand)	331.264	331.162	331.646	332.164	332.992	333.464	334.287	335.13	336.639	337.999	339.219	340.272	341.344	342.134	343.296	344.27	345.122	345.636	345.673	346.214	346.653	347.017	346.958	346.551	346.153	345.622	345.123	344.555	344.006	343.158	342.341	341.596	340.907	340.153	339.375	338.671	337.691	337.032	336.363	335.63	335.3	334.606	334.097	333.266	332.52	331.925	331.046	330.077	329.226	327.748	326.773	325.425	324.682	323.809	322.827	321.663	320.163	319.015	317.972	316.688	315.553	314.291	313.197	311.915	310.543	308.82	307.199	305.653	304.43	303.02	301.553	300.17	298.847	297.029	295.445	293.746	292.05
1836	Australia/New Zealand	364.105	362.818	361.344	359.889	358.512	356.623	355.228	353.961	353.557	353.703	354.796	356.781	358.93	361.747	364.862	367.891	370.727	373.845	376.715	379.204	381.516	382.985	384.292	385.445	386.712	387.896	388.539	389.102	389.658	390.11	390.407	391.415	392.317	393.072	394.024	394.66	395.008	395.997	396.924	397.493	399.221	399.773	401.518	403.353	405.025	407.872	409.576	412.038	414.393	416.579	418.599	421.085	422.782	424.547	426.659	429.194	430.902	432.319	433.759	435.476	437.191	438.295	439.039	440.565	441.908	443.717	445.576	446.444	448.022	449.653	451.358	452.218	453.327	454.843	456.099	456.952	458.411
1829	Europe and Northern America	10289.81	10233.541	10177.265	10129.256	10104.259	10088.455	10088.328	10098.907	10129.217	10175.175	10228.177	10296.457	10375.754	10443.01	10513.504	10579.008	10628.123	10669.076	10691.768	10703.796	10688.088	10664.223	10609.903	10542.033	10464.353	10371.815	10280.638	10183.577	10086.501	9997.535	9909.231	9828.959	9760.371	9702.871	9651.981	9618.363	9596.812	9582.369	9577.502	9581.628	9595.789	9617.221	9639.514	9666.805	9696.906	9727.546	9759.789	9777.006	9798.083	9808.225	9817.97	9816.111	9811.116	9801.721	9781.087	9753.373	9719.459	9679.078	9639.647	9597.122	9553.382	9512.614	9472.867	9434.985	9401.102	9375.027	9352.909	9327.007	9313.91	9299.447	9291.645	9291.667	9291.304	9298.727	9301.048	9308.468	9309.756
5502	Europe, Northern America, Australia, and New Zealand	10653.915	10596.359	10538.609	10489.145	10462.771	10445.078	10443.556	10452.868	10482.774	10528.878	10582.973	10653.238	10734.684	10804.757	10878.366	10946.899	10998.85	11042.921	11068.483	11083	11069.604	11047.208	10994.195	10927.478	10851.065	10759.711	10669.177	10572.679	10476.159	10387.645	10299.638	10220.374	10152.688	10095.943	10046.005	10013.023	9991.82	9978.366	9974.426	9979.121	9995.01	10016.994	10041.032	10070.158	10101.931	10135.418	10169.365	10189.044	10212.476	10224.804	10236.569	10237.196	10233.898	10226.268	10207.746	10182.567	10150.361	10111.397	10073.406	10032.598	9990.573	9950.909	9911.906	9875.55	9843.01	9818.744	9798.485	9773.451	9761.932	9749.1	9743.003	9743.885	9744.631	9753.57	9757.147	9765.42	9768.167
