country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	16.222	16.084	15.963	15.843	15.736	15.64	15.551	15.463	15.378	15.302	15.229	15.157	15.085	15.007	14.934	14.858	14.783	14.695	14.606	14.518	14.42	14.313	14.204	14.083	13.962	13.838	13.716	13.594	13.475	13.362	13.249	13.151	13.059	12.973	12.893	12.822	12.757	12.694	12.64	12.588	12.541	12.495	12.451	12.406	12.36	12.312	12.267	12.221	12.171	12.12	12.067	12.013	11.959	11.903	11.842	11.782	11.724	11.662	11.607	11.546	11.49	11.432	11.377	11.323	11.272	11.224	11.177	11.132	11.09	11.048	11.008	10.97	10.936	10.905	10.872	10.841	10.808
1834	Sub-Saharan Africa	32.757	32.358	31.955	31.545	31.163	30.788	30.389	30.008	29.602	29.218	28.831	28.439	28.068	27.666	27.311	26.961	26.615	26.26	25.926	25.599	25.276	24.942	24.64	24.325	24.021	23.721	23.428	23.143	22.87	22.589	22.312	22.042	21.78	21.526	21.285	21.042	20.8	20.563	20.326	20.09	19.859	19.636	19.421	19.21	19	18.794	18.59	18.395	18.2	18.01	17.821	17.638	17.461	17.286	17.111	16.944	16.782	16.624	16.48	16.329	16.185	16.041	15.897	15.759	15.628	15.494	15.361	15.237	15.109	14.989	14.873	14.756	14.642	14.53	14.421	14.311	14.205
1833	Northern Africa and Western Asia	20.331	20.037	19.805	19.587	19.367	19.167	18.975	18.785	18.628	18.469	18.336	18.178	18.032	17.883	17.757	17.619	17.475	17.32	17.158	16.99	16.808	16.62	16.431	16.247	16.068	15.884	15.711	15.542	15.373	15.21	15.058	14.913	14.77	14.634	14.507	14.385	14.27	14.162	14.059	13.953	13.86	13.766	13.68	13.594	13.501	13.408	13.315	13.224	13.136	13.05	12.957	12.86	12.774	12.682	12.59	12.505	12.416	12.331	12.245	12.161	12.084	12.006	11.929	11.853	11.778	11.71	11.64	11.576	11.516	11.454	11.39	11.324	11.268	11.214	11.165	11.116	11.069
1831	Central and Southern Asia	18.168	17.897	17.649	17.406	17.173	16.96	16.763	16.554	16.341	16.145	15.956	15.767	15.571	15.375	15.172	14.981	14.817	14.634	14.457	14.288	14.13	13.971	13.823	13.665	13.525	13.388	13.261	13.14	13.015	12.91	12.795	12.698	12.608	12.511	12.408	12.313	12.219	12.12	12.04	11.952	11.872	11.788	11.707	11.62	11.536	11.447	11.374	11.304	11.226	11.152	11.082	11.015	10.952	10.894	10.828	10.767	10.718	10.658	10.61	10.557	10.512	10.464	10.424	10.38	10.34	10.302	10.261	10.221	10.184	10.137	10.094	10.05	10.015	9.981	9.938	9.904	9.862
1832	Eastern and South-Eastern Asia	8.753	8.667	8.603	8.538	8.489	8.445	8.426	8.414	8.419	8.426	8.443	8.469	8.495	8.532	8.561	8.581	8.592	8.593	8.586	8.578	8.538	8.48	8.396	8.291	8.163	8.024	7.871	7.71	7.554	7.405	7.26	7.145	7.044	6.963	6.903	6.869	6.851	6.849	6.866	6.899	6.94	6.986	7.035	7.085	7.137	7.182	7.224	7.262	7.292	7.317	7.332	7.34	7.338	7.325	7.306	7.276	7.244	7.203	7.163	7.118	7.067	7.024	6.978	6.941	6.907	6.885	6.871	6.862	6.861	6.869	6.884	6.908	6.937	6.975	7.013	7.057	7.093
1830	Latin America and the Caribbean	14.029	13.815	13.629	13.455	13.295	13.149	13.006	12.869	12.732	12.602	12.472	12.341	12.211	12.085	11.961	11.824	11.693	11.557	11.422	11.295	11.173	11.049	10.933	10.814	10.707	10.6	10.497	10.401	10.303	10.21	10.121	10.038	9.953	9.873	9.796	9.728	9.664	9.601	9.544	9.496	9.446	9.398	9.348	9.304	9.258	9.217	9.177	9.135	9.098	9.058	9.02	8.985	8.949	8.91	8.869	8.835	8.794	8.763	8.732	8.7	8.671	8.641	8.612	8.583	8.562	8.542	8.521	8.501	8.483	8.465	8.445	8.427	8.412	8.399	8.385	8.375	8.364
1835	Oceania (excluding Australia and New Zealand)	23.392	23.023	22.709	22.407	22.137	21.853	21.601	21.359	21.168	20.975	20.779	20.58	20.388	20.185	20.012	19.834	19.657	19.468	19.259	19.084	18.909	18.734	18.544	18.342	18.148	17.953	17.766	17.583	17.406	17.22	17.042	16.873	16.713	16.555	16.401	16.254	16.098	15.962	15.832	15.702	15.594	15.472	15.361	15.239	15.125	15.021	14.909	14.795	14.69	14.56	14.457	14.34	14.252	14.161	14.067	13.968	13.855	13.761	13.675	13.58	13.493	13.404	13.324	13.238	13.15	13.051	12.956	12.866	12.793	12.714	12.635	12.561	12.492	12.405	12.329	12.251	12.174
1836	Australia/New Zealand	11.404	11.259	11.113	10.974	10.841	10.697	10.574	10.457	10.369	10.3	10.26	10.247	10.239	10.252	10.273	10.291	10.305	10.325	10.338	10.34	10.339	10.314	10.285	10.254	10.226	10.196	10.155	10.111	10.069	10.026	9.978	9.949	9.918	9.884	9.855	9.819	9.778	9.754	9.727	9.691	9.685	9.651	9.643	9.638	9.628	9.646	9.638	9.65	9.659	9.663	9.664	9.674	9.668	9.662	9.664	9.675	9.669	9.655	9.642	9.635	9.629	9.61	9.583	9.571	9.553	9.545	9.539	9.51	9.496	9.485	9.477	9.452	9.43	9.417	9.399	9.375	9.364
1829	Europe and Northern America	9.103	9.041	8.982	8.932	8.904	8.885	8.882	8.888	8.913	8.952	8.997	9.057	9.126	9.186	9.248	9.307	9.353	9.391	9.413	9.427	9.417	9.401	9.359	9.306	9.245	9.172	9.101	9.026	8.951	8.884	8.819	8.762	8.715	8.679	8.648	8.632	8.628	8.629	8.639	8.657	8.684	8.717	8.75	8.787	8.826	8.866	8.906	8.933	8.963	8.983	9.002	9.01	9.014	9.015	9.005	8.988	8.966	8.937	8.908	8.876	8.843	8.813	8.784	8.756	8.731	8.713	8.699	8.681	8.675	8.667	8.665	8.671	8.677	8.691	8.7	8.714	8.723
5502	Europe, Northern America, Australia, and New Zealand	9.166	9.102	9.041	8.99	8.959	8.937	8.93	8.934	8.955	8.991	9.035	9.092	9.16	9.218	9.28	9.337	9.382	9.42	9.442	9.456	9.446	9.43	9.389	9.336	9.277	9.205	9.136	9.061	8.988	8.922	8.858	8.802	8.756	8.72	8.689	8.674	8.668	8.669	8.678	8.694	8.72	8.75	8.782	8.818	8.856	8.895	8.934	8.96	8.989	9.009	9.027	9.035	9.04	9.04	9.031	9.015	8.994	8.965	8.937	8.907	8.875	8.846	8.817	8.789	8.765	8.747	8.734	8.716	8.709	8.702	8.7	8.705	8.71	8.722	8.73	8.743	8.751
