country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	7.644	7.67	7.667	7.722	7.785	7.849	7.915	7.986	8.059	8.137	8.215	8.296	8.378	8.462	8.545	8.63	8.712	8.796	8.878	8.96	9.041	9.12	9.199	9.277	9.354	9.43	9.507	9.582	9.657	9.733	9.808	9.881	9.953	10.024	10.093	10.161	10.227	10.288	10.348	10.405	10.463	10.52	10.575	10.631	10.687	10.743	10.799	10.856	10.916	10.974	11.033	11.093	11.152	11.211	11.267	11.32	11.371	11.415	11.456	11.494	11.528	11.561	11.588	11.616	11.642	11.669	11.696	11.724	11.755	11.791	11.827	11.867	11.906	11.95	11.993	12.034	12.075
1834	Sub-Saharan Africa	8.045	7.976	7.905	7.837	7.776	7.72	7.666	7.617	7.569	7.525	7.484	7.447	7.415	7.384	7.356	7.333	7.313	7.296	7.28	7.269	7.263	7.256	7.256	7.255	7.258	7.264	7.273	7.283	7.297	7.313	7.331	7.352	7.374	7.401	7.428	7.456	7.486	7.519	7.555	7.594	7.632	7.673	7.718	7.763	7.811	7.861	7.913	7.966	8.023	8.083	8.145	8.207	8.271	8.339	8.407	8.478	8.55	8.623	8.697	8.771	8.848	8.925	9.002	9.077	9.151	9.226	9.299	9.371	9.444	9.516	9.585	9.653	9.721	9.788	9.855	9.918	9.982
1833	Northern Africa and Western Asia	5.212	5.177	5.147	5.178	5.213	5.25	5.294	5.34	5.39	5.444	5.5	5.558	5.616	5.676	5.739	5.799	5.862	5.926	5.989	6.056	6.12	6.186	6.252	6.318	6.385	6.453	6.521	6.59	6.659	6.732	6.803	6.875	6.95	7.026	7.104	7.18	7.26	7.34	7.419	7.499	7.577	7.654	7.733	7.809	7.884	7.96	8.032	8.1	8.166	8.229	8.29	8.351	8.414	8.474	8.529	8.582	8.637	8.689	8.739	8.791	8.844	8.895	8.947	8.999	9.054	9.109	9.165	9.226	9.288	9.352	9.415	9.48	9.546	9.614	9.68	9.746	9.81
1831	Central and Southern Asia	6.341	6.379	6.422	6.464	6.517	6.565	6.617	6.676	6.733	6.794	6.856	6.924	6.992	7.069	7.141	7.213	7.285	7.365	7.445	7.524	7.602	7.686	7.765	7.851	7.938	8.024	8.114	8.203	8.295	8.391	8.491	8.587	8.685	8.782	8.884	8.99	9.098	9.205	9.316	9.426	9.538	9.656	9.766	9.885	10.001	10.114	10.231	10.343	10.46	10.562	10.669	10.777	10.876	10.974	11.07	11.159	11.247	11.326	11.406	11.484	11.559	11.636	11.707	11.776	11.843	11.913	11.969	12.026	12.076	12.125	12.172	12.218	12.257	12.297	12.33	12.363	12.396
1832	Eastern and South-Eastern Asia	8.178	8.246	8.2	8.349	8.507	8.672	8.841	9.015	9.198	9.389	9.582	9.78	9.979	10.18	10.38	10.586	10.79	10.992	11.192	11.392	11.592	11.792	11.991	12.184	12.381	12.576	12.771	12.969	13.168	13.364	13.56	13.758	13.946	14.13	14.31	14.482	14.639	14.778	14.903	15.014	15.128	15.224	15.312	15.398	15.477	15.558	15.634	15.72	15.813	15.918	16.016	16.123	16.238	16.348	16.458	16.562	16.652	16.725	16.778	16.824	16.846	16.849	16.836	16.822	16.804	16.786	16.775	16.766	16.781	16.81	16.844	16.902	16.96	17.039	17.122	17.206	17.283
1830	Latin America and the Caribbean	6.642	6.728	6.817	6.908	7.001	7.097	7.195	7.294	7.398	7.504	7.612	7.721	7.833	7.949	8.064	8.181	8.298	8.417	8.537	8.659	8.781	8.902	9.025	9.145	9.265	9.387	9.506	9.626	9.742	9.862	9.983	10.101	10.217	10.336	10.452	10.574	10.695	10.821	10.94	11.062	11.186	11.309	11.436	11.557	11.683	11.808	11.93	12.052	12.17	12.283	12.399	12.508	12.617	12.723	12.825	12.924	13.021	13.118	13.209	13.292	13.37	13.453	13.532	13.601	13.666	13.726	13.786	13.839	13.892	13.937	13.984	14.022	14.052	14.082	14.106	14.127	14.147
1835	Oceania (excluding Australia and New Zealand)	6.591	6.623	6.664	6.704	6.754	6.805	6.864	6.923	6.984	7.049	7.118	7.189	7.261	7.334	7.414	7.49	7.571	7.649	7.734	7.818	7.897	7.978	8.065	8.138	8.218	8.302	8.386	8.467	8.545	8.624	8.704	8.784	8.86	8.938	9.012	9.091	9.166	9.244	9.32	9.392	9.461	9.532	9.601	9.667	9.731	9.796	9.861	9.92	9.986	10.05	10.111	10.158	10.216	10.277	10.331	10.385	10.437	10.492	10.545	10.602	10.653	10.705	10.756	10.802	10.848	10.899	10.946	11.002	11.051	11.107	11.167	11.216	11.265	11.327	11.379	11.43	11.471
1836	Australia/New Zealand	6.847	6.906	6.98	7.053	7.134	7.223	7.329	7.434	7.547	7.666	7.789	7.903	8.03	8.153	8.268	8.384	8.489	8.585	8.679	8.763	8.835	8.905	8.97	9.027	9.077	9.12	9.166	9.196	9.238	9.275	9.298	9.308	9.327	9.327	9.338	9.337	9.338	9.334	9.338	9.335	9.339	9.337	9.329	9.344	9.347	9.358	9.383	9.403	9.43	9.46	9.492	9.526	9.57	9.601	9.633	9.655	9.678	9.689	9.692	9.674	9.654	9.628	9.585	9.533	9.472	9.408	9.328	9.268	9.195	9.147	9.095	9.075	9.051	9.04	9.043	9.075	9.106
1829	Europe and Northern America	10.44	10.496	10.56	10.625	10.698	10.773	10.849	10.938	11.026	11.12	11.22	11.319	11.419	11.521	11.623	11.729	11.825	11.921	12.012	12.098	12.178	12.246	12.314	12.376	12.431	12.478	12.523	12.559	12.588	12.614	12.634	12.644	12.654	12.661	12.659	12.657	12.642	12.628	12.612	12.595	12.575	12.557	12.541	12.527	12.519	12.502	12.492	12.479	12.469	12.455	12.438	12.419	12.398	12.369	12.333	12.298	12.255	12.205	12.152	12.095	12.03	11.968	11.906	11.849	11.789	11.736	11.695	11.664	11.64	11.632	11.636	11.654	11.684	11.718	11.757	11.8	11.836
5502	Europe, Northern America, Australia, and New Zealand	10.342	10.396	10.461	10.525	10.597	10.671	10.748	10.837	10.925	11.019	11.118	11.218	11.318	11.419	11.521	11.627	11.722	11.818	11.908	11.993	12.072	12.14	12.207	12.268	12.323	12.368	12.413	12.449	12.477	12.503	12.522	12.531	12.541	12.547	12.544	12.541	12.526	12.512	12.496	12.479	12.458	12.441	12.424	12.411	12.402	12.386	12.376	12.363	12.354	12.342	12.325	12.308	12.288	12.262	12.228	12.194	12.153	12.105	12.053	11.998	11.934	11.873	11.811	11.754	11.693	11.64	11.596	11.563	11.537	11.527	11.528	11.544	11.571	11.602	11.639	11.681	11.717
