country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	62389.498	63135.984	63637.314	64625.684	65677.933	66739.327	67826.883	68954.19	70103.04	71288.509	72486.091	73713.697	74948.334	76206.085	77449.621	78710.135	79950.5	81208.612	82442.508	83672.377	84890.474	86093.328	87281.955	88448.277	89606.97	90746.284	91876.624	92985.5	94083.766	95173.328	96249.261	97293.117	98309.318	99309.969	100282.941	101241.938	102156.931	103025.274	103869.6	104677.86	105484.569	106272.787	107031.791	107798.927	108554.383	109292.495	110034.875	110769.663	111528.947	112257.932	112984.18	113706.8	114416.767	115099.191	115749.028	116356.646	116924.254	117418.484	117862.432	118269.521	118618.883	118940.918	119206.46	119458.178	119684.148	119919.841	120136.082	120358.537	120604.024	120878.411	121154.319	121464.647	121753.746	122077.251	122379.909	122663.59	122922.34
1834	Sub-Saharan Africa	10000.245	10157.373	10309.726	10464.584	10626.726	10794.584	10964.533	11138.584	11314.061	11492.563	11675.182	11863.709	12058.097	12252.065	12450.805	12656.83	12865.934	13079.517	13295.205	13518.768	13751.131	13982.326	14224.299	14464.785	14712.474	14967.341	15227.086	15489.698	15760.976	16035.757	16314.205	16599.972	16891.011	17190.75	17489.664	17795.208	18103.879	18418.802	18743.616	19073.731	19402.881	19739.015	20085.527	20432.224	20785.301	21145.418	21511.625	21879.915	22257.784	22642.865	23035.981	23428.483	23826.622	24236.003	24643.177	25058.007	25477.122	25898.871	26320.844	26740.616	27170.244	27599.159	28025.285	28447.095	28860.33	29274.576	29684.021	30085.265	30484.015	30880.234	31264.376	31643.582	32017.19	32387.997	32755.498	33105.291	33453.57
1833	Northern Africa and Western Asia	3030.429	3057.719	3087.652	3153.367	3219.858	3288.131	3360.392	3434.316	3511.525	3591.596	3674.152	3758.982	3844.375	3931.636	4021.719	4110.478	4202.148	4295.439	4388.98	4484.795	4579.457	4675.982	4773.033	4869.773	4968.349	5067.455	5167.035	5267.568	5367.696	5471.507	5573.644	5677.15	5781.867	5888.56	5996.217	6102.755	6212.702	6322.106	6431.035	6540.969	6648.597	6755.39	6864.214	6969.965	7074.471	7178.612	7279.775	7376.672	7472.294	7564.285	7653.343	7742.684	7832.067	7918.518	8000.202	8079.662	8160.116	8237.436	8312.273	8388.175	8463.333	8537.708	8611.074	8684.729	8759.073	8833.85	8907.849	8985.199	9063.832	9144.477	9221.67	9299.213	9378.784	9457.554	9534.276	9609.763	9682.611
1831	Central and Southern Asia	13609.539	13833.913	14072.237	14307.956	14569.772	14819.455	15081.79	15357.532	15630.784	15913.542	16195.649	16492.719	16790.621	17108.666	17412.421	17716.145	18018.892	18342.627	18661.548	18979.607	19294.192	19619.057	19934.626	20264.369	20592.596	20920.257	21253.902	21584.182	21920.209	22263.653	22617.052	22956.717	23301.146	23642.097	23990.978	24345.924	24707.25	25059.475	25420.33	25773.867	26131.186	26500.966	26844.734	27208.996	27560.942	27898.14	28242.682	28569.44	28902.091	29189.331	29488.622	29781.02	30045.149	30300.105	30546.252	30765.436	30979.59	31162.078	31343.704	31513.357	31672.149	31831.99	31970.928	32099.731	32220.94	32342.355	32426.981	32508.426	32567.057	32619.61	32665.82	32704.986	32720.124	32736.902	32732.683	32725.063	32715.407
1832	Eastern and South-Eastern Asia	19228.802	19395.497	19295.61	19648.961	20021.632	20407.085	20796.377	21193.504	21608.062	22036.231	22463.208	22898.129	23331.016	23762.22	24186.685	24617.944	25037.666	25447.374	25843.434	26231.788	26614.272	26985.957	27344.275	27679.965	28009.804	28326.594	28628.445	28922.173	29204.802	29467.311	29715.139	29952.05	30154.301	30337.79	30497.891	30631.507	30724.491	30770.86	30782.548	30760.462	30740.289	30680.666	30602.503	30516.311	30417.578	30319.666	30212.165	30121.301	30040.645	29980.791	29904.409	29838.879	29786.138	29718.897	29647.258	29558.227	29439.835	29288.381	29099.555	28897.223	28653.515	28377.719	28075.186	27774.435	27469.893	27168.648	26881.18	26600.811	26360.839	26142.602	25935.217	25764.621	25592.696	25453.373	25319.016	25184.381	25039.307
1830	Latin America and the Caribbean	4407.023	4493.269	4581.644	4671.144	4762.231	4854.375	4948.143	5042.336	5139.725	5237.961	5337.712	5437.241	5538.903	5642.07	5744.873	5847.901	5950.087	6052.853	6155.121	6258.058	6359.859	6460.158	6559.938	6656.549	6752.635	6847.958	6940.209	7031.166	7118.274	7206.847	7294.579	7378.401	7459.777	7540.653	7619.127	7699.329	7777.416	7857.271	7930.785	8004.369	8077.805	8149.323	8221.524	8287.175	8355.097	8420.921	8482.277	8542.012	8596.869	8646.78	8696.697	8740.342	8782.189	8820.036	8853.826	8883.25	8909.901	8935.272	8954.811	8968.106	8976.111	8986.633	8992.811	8991.437	8986.066	8977.017	8966.545	8950.747	8934.152	8912.22	8890.562	8862.559	8829.514	8796.085	8758.118	8718.705	8678.518
1835	Oceania (excluding Australia and New Zealand)	93.336	95.266	97.321	99.387	101.596	103.834	106.232	108.626	111.07	113.593	116.209	118.868	121.566	124.302	127.182	130.009	132.931	135.801	138.811	141.834	144.769	147.779	150.895	153.75	156.757	159.831	162.908	165.92	168.882	171.854	174.84	177.838	180.72	183.646	186.492	189.418	192.275	195.181	198.022	200.758	203.416	206.155	208.82	211.401	213.936	216.457	218.955	221.305	223.798	226.229	228.546	230.533	232.739	234.993	237.08	239.166	241.163	243.233	245.198	247.239	249.136	250.995	252.846	254.528	256.171	257.898	259.538	261.368	262.992	264.723	266.524	268.021	269.484	271.237	272.679	274.076	275.186
1836	Australia/New Zealand	218.604	222.557	226.958	231.312	235.918	240.789	246.227	251.628	257.324	263.24	269.335	275.152	281.478	287.684	293.679	299.709	305.405	310.824	316.257	321.371	326.015	330.675	335.166	339.322	343.271	346.962	350.724	353.885	357.483	360.914	363.799	366.21	368.973	370.894	373.347	375.281	377.214	378.955	381.07	382.899	384.96	386.774	388.406	391.072	393.198	395.686	398.74	401.5	404.558	407.831	411.182	414.626	418.514	421.86	425.318	428.296	431.302	433.853	435.997	437.233	438.32	439.115	439.141	438.802	438.152	437.349	435.739	435.088	433.817	433.64	433.19	434.203	435.092	436.642	438.823	442.344	445.817
1829	Europe and Northern America	11801.523	11880.412	11966.153	12048.962	12140.193	12231.078	12323.177	12427.645	12530.502	12639.796	12754.635	12868.887	12982.263	13097.433	13212.261	13331.126	13437.454	13544.193	13643.136	13736.14	13820.773	13891.396	13959.733	14019.772	14071.071	14109.872	14146.294	14170.906	14185.428	14195.473	14195.972	14184.753	14171.505	14155.586	14129.234	14102.524	14061.686	14022.621	13982.182	13940.773	13895.43	13854.494	13816.069	13781.781	13753.861	13717.568	13688.669	13657.525	13630.901	13599.814	13565.392	13530.218	13493.364	13448.767	13395.917	13344.618	13285.22	13219.361	13150.05	13077.549	12996.078	12917.58	12839.168	12767.401	12693.519	12628.131	12574.234	12531.636	12497.319	12480.908	12476.962	12487.436	12510.836	12537.477	12568.838	12603.954	12631.931
5502	Europe, Northern America, Australia, and New Zealand	12020.126	12102.972	12193.115	12280.283	12376.116	12471.86	12569.425	12679.274	12787.817	12903.04	13023.977	13144.043	13263.759	13385.121	13505.94	13630.826	13742.863	13855.009	13959.401	14057.52	14146.783	14222.062	14294.891	14359.096	14414.342	14456.836	14497.021	14524.791	14542.922	14556.393	14559.768	14550.979	14540.48	14526.479	14502.583	14477.814	14438.899	14401.573	14363.256	14323.672	14280.39	14241.269	14204.477	14172.849	14147.073	14113.253	14087.414	14059.016	14035.469	14007.637	13976.568	13944.846	13911.883	13870.619	13821.231	13772.907	13716.525	13653.21	13586.034	13514.79	13434.392	13356.709	13278.312	13206.203	13131.663	13065.484	13009.967	12966.718	12931.125	12914.549	12910.156	12921.651	12945.939	12974.103	13007.654	13046.299	13077.75
