country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	48.3368	50.3424	52.4652	55.2834	57.2826	59.3936	61.4056	63.2423	64.3569	65.6925	67.3057	69.1974	70.9758	72.1976	2023
1834	Sub-Saharan Africa	38.0749	39.6349	41.5227	42.902	44.6327	46.7655	47.843	48.676	48.5835	49.9381	52.0752	54.8647	57.7337	59.8364	2023
1833	Northern Africa and Western Asia	42.3174	45.3635	48.5642	51.4451	54.1225	57.266	60.2943	63.2173	65.5455	67.4072	69.0002	70.4973	71.7139	72.7699	2023
1831	Central and Southern Asia	41.511	44.2221	46.2182	47.6859	49.4044	52.6638	55.2713	57.7657	59.7352	61.7195	63.98	66.1267	68.2284	69.9533	2023
1832	Eastern and South-Eastern Asia	46.1381	47.3248	49.9595	55.7802	59.3945	62.3269	65.3438	67.3771	69.227	70.9533	72.6006	74.1093	75.4866	76.5575	2023
1830	Latin America and the Caribbean	50.1847	53.2083	55.8609	58.0169	60.0893	62.3785	64.3633	66.4862	68.2486	70.053	71.7482	73.1614	74.294	74.8265	2023
1835	Oceania (excluding Australia and New Zealand)	43.4784	47.553	50.6126	53.6527	56.2822	58.8158	60.5894	61.9199	62.98	63.6496	64.0816	64.6372	65.7222	66.6782	2023
1836	Australia/New Zealand	69.5177	70.5332	70.9831	70.958	71.8164	73.4656	74.9186	75.9485	77.5191	78.703	80.1773	81.3161	82.2417	82.9185	2023
1829	Europe and Northern America	64.8839	68.091	69.7065	70.3236	70.9755	71.7081	72.5017	73.5412	73.4082	74.1053	74.7871	76.2591	77.7528	78.4885	2023
5502	Europe, Northern America, Australia, and New Zealand	64.9515	68.1294	69.7289	70.3367	70.9921	71.7387	72.5429	73.5837	73.4824	74.1898	74.8881	76.3591	77.8469	78.5855	2023
901	More developed regions	64.7488	67.9724	69.6935	70.4703	71.2512	72.1239	72.9915	74.0739	74.0873	74.8448	75.6064	77.0304	78.4421	79.1988	2023
902	Less developed regions	43.289	45.2683	47.6276	51.2434	53.7272	56.2596	58.6627	60.7458	62.2519	63.8281	65.6282	67.522	69.3448	70.6805	2023
941	Least developed countries	37.5643	39.5327	41.7352	43.4323	43.2798	45.4898	47.7373	49.3989	50.4469	53.26	56.3445	59.2132	61.8954	63.9488	2023
934	Less developed regions, excluding least developed countries	44.1645	46.1226	48.5419	52.4617	55.4549	58.1505	60.6525	62.8191	64.466	65.9043	67.4813	69.1826	70.8382	72.084	2023
948	Less developed regions, excluding China	42.3595	45.6237	47.9124	49.6722	51.5621	54.1423	56.5376	58.5433	59.9643	61.5483	63.4381	65.4231	67.3406	68.7504	2023
1636	Land-locked Developing Countries (LLDC)	40.0547	41.5472	43.9841	45.24	46.2354	47.887	48.5432	50.2484	50.4521	52.6341	55.4606	58.6739	62.1086	64.0021	2023
2087	LLDC: Africa	37.2505	38.117	40.6303	41.4903	42.0871	43.7395	44.164	45.1746	44.5404	47.3932	50.8306	54.7455	58.981	61.3518	2023
2088	LLDC: Asia	42.7484	44.9711	47.2617	49.2234	51.0795	52.8227	54.2072	57.4413	59.4676	60.8185	63.027	65.271	67.469	68.7805	2023
2089	LLDC: Europe	54.2881	58.2254	60.5644	62.3212	63.9093	65.5977	67.0743	68.6446	68.3109	68.3944	69.5025	70.5512	71.939	72.2829	2023
2090	LLDC: Latin America	46.5261	47.7235	49.2609	50.9622	52.5533	54.66	56.7303	59.0437	61.7358	63.9813	65.7982	67.4207	68.8534	69.1996	2023
1637	Small Island Developing States (SIDS)	50.4621	53.8342	56.3464	58.6906	60.5582	61.5215	63.1228	64.55	65.912	67.1882	68.9296	69.706	70.9055	71.8967	2023
2091	SIDS Caribbean	52.4919	55.676	58.14	60.4305	62.212	63.6131	64.8527	65.9938	67.064	68.4929	70.0062	70.5041	71.5015	72.4391	2023
2092	SIDS Pacific	41.2803	45.0442	48.0107	51.0388	53.252	52.4762	55.7981	58.2543	60.7609	61.6349	63.6526	64.435	65.6026	66.6239	2023
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	48.5962	52.6449	54.956	56.7354	58.6446	59.6689	61.1541	62.9793	64.9067	66.2954	68.6874	71.0962	73.383	75.0418	2023
5503	High-and-upper-middle-income countries	52.953	54.3887	56.7839	60.648	63.2838	65.6694	67.648	69.3648	70.5935	72.04	73.3274	74.8826	76.3481	77.2834	2023
5504	Low-and-Lower-middle-income countries	41.1473	44.104	46.1868	47.599	49.1367	51.7348	54.2088	56.2129	57.4721	59.0856	61.2255	63.3792	65.4117	66.9809	2023
1503	High-income countries	64.526	67.2988	68.8314	69.9223	71.1292	72.5403	73.7675	74.8386	75.8255	76.9839	78.2226	79.407	80.3761	80.8154	2023
1859	Low-and-middle-income countries	44.2267	46.2378	48.5468	51.9245	54.2253	56.5668	58.8186	60.8821	62.0355	63.4381	65.1114	67.0871	69.0146	70.4091	2023
1517	Middle-income countries	44.8978	46.7813	49.1157	52.6475	55.0601	57.5271	60.0255	62.1366	63.3801	64.7562	66.3111	68.1871	70.0711	71.4492	2023
1502	Upper-middle-income countries	47.213	48.3446	51.0478	56.2968	59.6349	62.3611	64.6969	66.8015	68.0789	69.6181	70.8867	72.5701	74.2605	75.4324	2023
