country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	72.4603	73.4865	74.046	74.5981	75.1489	75.6587	76.1012	76.5591	77.0039	77.3984	77.8541	78.2703	78.6627	79.0501	79.4449	79.8872
1834	Sub-Saharan Africa	61.3516	62.3592	63.0077	63.6495	64.3369	64.9781	65.5847	66.239	66.9054	67.4956	68.1235	68.7518	69.3141	69.9302	70.4988	71.0521
1833	Northern Africa and Western Asia	73.1374	74.1758	74.7271	75.3085	75.8856	76.4511	76.9941	77.5315	78.0461	78.5781	79.0841	79.5316	79.9871	80.4632	80.9755	81.4499
1831	Central and Southern Asia	70.5548	71.5558	72.0166	72.6442	73.2103	73.7824	74.571	75.2253	75.8598	76.4283	76.9282	77.4425	78.0242	78.7035	79.3175	79.9332
1832	Eastern and South-Eastern Asia	76.5684	76.89	77.3324	77.8073	78.325	78.7772	79.3319	80.0077	80.4324	80.9896	81.4426	81.9359	82.3796	82.8454	83.2941	83.7634
1830	Latin America and the Caribbean	74.4472	75.8529	76.4008	77.0396	77.6775	78.2967	78.9328	79.5429	80.1467	80.7508	81.4102	82.0081	82.5949	83.1562	83.7118	84.2277
1835	Oceania (excluding Australia and New Zealand)	66.8831	66.8032	66.7323	66.7891	66.8674	66.9095	66.8933	67.0967	67.3911	67.704	67.8534	68.1092	68.309	68.6802	68.9884	69.4018
1836	Australia/New Zealand	83.226	83.299	83.5046	83.7871	84.1112	84.4674	84.8582	85.2224	85.6274	85.9544	86.1869	86.5699	86.8415	87.1081	87.4831	87.8908
1829	Europe and Northern America	78.3723	79.4599	80.0018	80.5943	81.1838	81.7854	82.3877	82.9686	83.5395	84.1303	84.6871	85.2387	85.8038	86.302	86.8213	87.3091
5502	Europe, Northern America, Australia, and New Zealand	78.4878	79.5604	80.0879	80.6686	81.2562	81.8849	82.4911	83.072	83.6769	84.284	84.846	85.4018	85.935	86.4232	86.9473	87.4361
901	More developed regions	79.1135	80.1509	80.6903	81.2458	81.8203	82.4088	83.0148	83.6125	84.1558	84.7648	85.2879	85.8295	86.3544	86.8721	87.4102	87.8929
902	Less developed regions	71.0464	72.0697	72.6679	73.2628	73.8588	74.4166	74.9217	75.3707	75.8466	76.2755	76.7411	77.1605	77.5365	77.9246	78.2956	78.726
941	Least developed countries	65.5058	66.7253	67.4332	68.0855	68.7047	69.3477	69.9436	70.5468	71.1128	71.6682	72.2126	72.7313	73.1902	73.6135	74.1022	74.5392
934	Less developed regions, excluding least developed countries	72.2706	73.1755	73.7426	74.3092	74.863	75.4035	75.9047	76.3903	76.8707	77.3139	77.7717	78.2068	78.6225	79.0693	79.4787	79.8925
948	Less developed regions, excluding China	69.2841	70.5178	71.1025	71.7264	72.3377	72.9269	73.4977	73.9814	74.5257	74.9953	75.5238	76.0245	76.4497	76.8831	77.3438	77.8171
1636	Land-locked Developing Countries (LLDC)	65.5436	66.8866	67.5411	68.2164	68.8723	69.4866	70.0369	70.5596	71.1305	71.7563	72.3404	72.8636	73.4274	73.9635	74.4617	74.9546
2087	LLDC: Africa	63.4434	64.7046	65.3551	65.984	66.5984	67.2213	67.8447	68.4089	68.9946	69.6678	70.3069	70.8333	71.4856	72.1065	72.5779	73.0945
2088	LLDC: Asia	69.6296	70.6065	71.0999	71.7163	72.2569	72.7849	73.2144	73.7061	74.2145	74.6591	75.1278	75.6318	76.0546	76.5946	77.1379	77.6607
2089	LLDC: Europe	72.4999	72.7555	72.9279	73.2135	73.5806	74.1217	74.4824	74.9556	75.3173	75.7318	76.2636	76.7291	77.1852	77.7744	78.3551	78.7219
2090	LLDC: Latin America	68.2461	69.6917	69.7991	70.0206	70.4179	70.8719	71.2434	71.7364	72.1709	72.5478	72.9747	73.536	74.0322	74.5689	75.0221	75.5042
1637	Small Island Developing States (SIDS)	71.8995	72.6985	73.0549	73.4165	73.7451	74.0173	74.2709	74.507	74.8204	75.1059	75.4012	75.6199	75.8403	75.9736	76.273	76.6102
2091	SIDS Caribbean	72.2081	72.8836	73.139	73.4524	73.7281	74.0156	74.2455	74.4621	74.7174	75.0719	75.4018	75.7294	76.0132	76.3489	76.7384	77.1178
2092	SIDS Pacific	66.8917	66.8747	66.9113	67.0141	67.2081	67.3788	67.4995	67.7317	68.0555	68.3615	68.5748	68.8067	69.075	69.4759	69.9122	70.3498
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	75.6499	76.134	76.3908	76.5568	76.6528	76.7655	76.9565	77.3196	77.5344	77.6437	77.5864	77.5449	77.5499	77.6185	77.7165	77.9077
5503	High-and-upper-middle-income countries	77.24	78.1242	78.6815	79.2447	79.8292	80.4084	80.9996	81.6195	82.1927	82.7565	83.3218	83.8742	84.4011	84.913	85.4416	85.9922
5504	Low-and-Lower-middle-income countries	67.7322	68.8443	69.3569	69.9846	70.5709	71.1308	71.6981	72.18	72.7578	73.2734	73.8399	74.3245	74.8015	75.3021	75.8003	76.276
1503	High-income countries	80.7917	81.6531	82.1611	82.6962	83.2139	83.7743	84.3419	84.9185	85.4744	85.9992	86.5076	86.9519	87.4396	87.9645	88.4929	88.9457
1859	Low-and-middle-income countries	70.7569	71.8041	72.3818	72.9732	73.5607	74.111	74.5921	75.0287	75.5007	75.934	76.4022	76.8236	77.1961	77.5887	77.9842	78.4297
1517	Middle-income countries	71.6847	72.6796	73.2928	73.8997	74.4919	75.054	75.5774	76.0912	76.5723	77.0179	77.4944	77.9522	78.3716	78.8552	79.2586	79.6761
1502	Upper-middle-income countries	75.3733	76.1889	76.7717	77.3588	77.9788	78.5642	79.1929	79.9033	80.4973	81.0693	81.6142	82.1407	82.6065	83.0472	83.5319	83.9924
1501	Lower-middle-income countries	68.6369	69.6258	70.0894	70.6786	71.2875	71.8583	72.433	72.9071	73.5317	74.0322	74.6447	75.1703	75.6314	76.1857	76.6734	77.1599
1500	Low-income countries	64.0609	65.234	65.8415	66.4631	67.0355	67.6242	68.1503	68.6535	69.1951	69.7419	70.2841	70.755	71.2863	71.7486	72.285	72.7649
1518	No income group available	72.1181	71.5687	71.625	71.8696	72.1757	72.6191	73.1823	73.656	74.1212	74.6693	75.2862	75.947	76.4122	76.9452	77.7214	78.3949
903	Africa	63.0901	64.1172	64.7511	65.3801	66.0688	66.6889	67.2566	67.8532	68.4668	69.0544	69.607	70.1705	70.685	71.2736	71.821	72.333
910	Eastern Africa	64.8975	65.8741	66.5547	67.2113	67.85	68.5493	69.1424	69.6841	70.2762	70.9434	71.5977	72.2406	72.8643	73.4331	73.9988	74.5658
108	Burundi	62.8249	62.3925	62.2327	62.0758	62.1017	62.3078	62.4406	62.5675	62.6886	62.8211	63.0421	63.5109	63.9302	64.2849	64.5314	64.9185
174	Comoros	66.0912	65.8548	66.0277	66.4828	66.9139	67.4414	67.9913	68.5145	68.9102	69.4697	69.8363	70.3025	70.8304	71.2069	71.8874	72.309
262	Djibouti	65.0546	64.9095	64.8673	65.1571	65.5095	65.7583	66.0501	66.5484	66.822	67.2658	67.6798	67.8145	68.3335	68.8719	69.285	69.5883
232	Eritrea	67.7564	67.7781	68.0611	68.4613	68.9077	69.5251	69.9818	70.3806	70.7782	71.1364	71.4853	71.8448	72.2401	72.8435	73.4317	74.0402
231	Ethiopia	66.5145	66.6001	66.906	67.3911	67.7943	68.2492	68.6584	68.998	69.5761	70.0945	70.6269	71.0801	71.6548	72.0392	72.4175	72.8062
