country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	73.578	73.86	74.179	74.385	74.581	74.77	74.969	75.171	75.345	75.548	75.748	75.893	76.042	76.225	76.346	76.49	76.662	76.807	76.957	77.086	77.215	77.321	77.511	77.614	77.751	77.879	78.022	78.149	78.266	78.395	78.522	78.622	78.745	78.9	79.037	79.134	79.21	79.321	79.417	79.519	79.648	79.754	79.852	79.977	80.074	80.206	80.28	80.374	80.514	80.652	80.734	80.826	80.897	81.005	81.098	81.254	81.318	81.402	81.476	81.573	81.65	81.734	81.831	81.917	81.992	82.061	82.16	82.237	82.327	82.404	82.533	82.645	82.727	82.848	82.935	83.061	83.139
1834	Sub-Saharan Africa	62.592	62.904	63.199	63.473	63.773	64.007	64.293	64.498	64.734	64.972	65.194	65.412	65.605	65.804	66.025	66.205	66.434	66.592	66.792	66.998	67.195	67.385	67.57	67.769	67.91	68.091	68.252	68.413	68.588	68.766	68.911	69.088	69.265	69.425	69.573	69.751	69.941	70.1	70.273	70.417	70.601	70.753	70.913	71.083	71.237	71.401	71.572	71.765	71.891	72.048	72.195	72.333	72.55	72.738	72.832	72.996	73.152	73.248	73.392	73.531	73.69	73.786	73.968	74.127	74.251	74.359	74.548	74.697	74.805	74.905	75.034	75.195	75.376	75.545	75.682	75.83	75.968
1833	Northern Africa and Western Asia	74.269	74.644	75.046	75.275	75.503	75.736	75.958	76.186	76.394	76.556	76.751	76.954	77.113	77.332	77.509	77.664	77.821	78.035	78.197	78.391	78.531	78.694	78.894	79.045	79.195	79.342	79.479	79.658	79.814	79.943	80.14	80.293	80.449	80.613	80.75	80.901	81.026	81.161	81.297	81.378	81.569	81.704	81.859	82.016	82.143	82.284	82.438	82.568	82.68	82.844	82.942	83.088	83.167	83.302	83.444	83.556	83.689	83.81	83.894	84.034	84.132	84.219	84.385	84.479	84.626	84.718	84.86	84.98	85.087	85.204	85.32	85.473	85.587	85.714	85.859	85.952	86.069
1831	Central and Southern Asia	72.618	73.042	73.413	73.789	74.153	74.507	74.765	75.097	75.357	75.691	75.986	76.163	76.462	76.683	76.988	77.26	77.429	77.73	77.882	78.084	78.32	78.411	78.686	78.909	79.159	79.411	79.674	79.878	80.098	80.38	80.621	80.729	80.948	81.12	81.339	81.48	81.623	81.83	82.082	82.201	82.447	82.648	82.81	82.975	83.072	83.253	83.344	83.459	83.608	83.748	83.907	83.94	84.047	84.192	84.32	84.584	84.696	84.842	84.937	85.033	85.157	85.39	85.505	85.609	85.76	85.815	85.927	86.066	86.245	86.336	86.428	86.609	86.704	86.834	86.919	87.055	87.145
1832	Eastern and South-Eastern Asia	77.539	77.925	78.453	78.708	78.999	79.208	79.422	79.678	79.925	80.198	80.367	80.524	80.703	80.914	81.103	81.29	81.424	81.596	81.773	81.934	82.128	82.235	82.388	82.516	82.718	82.863	82.995	83.162	83.288	83.431	83.586	83.723	83.887	84.048	84.175	84.293	84.405	84.555	84.682	84.813	84.933	85.098	85.276	85.371	85.528	85.66	85.787	85.868	85.988	86.183	86.372	86.469	86.6	86.746	86.879	86.928	87.056	87.194	87.254	87.425	87.601	87.687	87.826	87.872	87.975	88.158	88.273	88.405	88.565	88.721	88.807	88.925	89.049	89.159	89.318	89.439	89.548
1830	Latin America and the Caribbean	76.158	76.435	76.754	76.966	77.202	77.427	77.621	77.845	78.046	78.22	78.408	78.669	78.864	79.056	79.29	79.487	79.612	79.834	80.019	80.218	80.428	80.581	80.756	80.938	81.075	81.271	81.433	81.567	81.704	81.882	82.05	82.195	82.328	82.508	82.648	82.759	82.914	83.063	83.195	83.329	83.473	83.617	83.744	83.868	84.031	84.179	84.365	84.462	84.601	84.741	84.87	84.987	85.12	85.301	85.396	85.488	85.626	85.757	85.87	86.041	86.163	86.312	86.402	86.532	86.692	86.767	86.908	87.047	87.182	87.25	87.41	87.544	87.634	87.807	87.962	88.093	88.188
1835	Oceania (excluding Australia and New Zealand)	68.542	68.935	69.329	69.639	69.921	70.19	70.575	70.724	71.055	71.129	71.434	71.679	71.973	72.145	72.28	72.452	72.608	72.82	72.97	73.214	73.294	73.499	73.604	73.785	73.936	74.061	74.249	74.458	74.551	74.719	74.845	74.998	75.228	75.339	75.462	75.613	75.862	76.015	76.211	76.389	76.492	76.718	77.008	77.143	77.259	77.336	77.5	77.684	77.812	77.936	78.185	78.411	78.556	78.735	78.875	79.019	79.172	79.212	79.389	79.611	79.646	79.896	80.112	80.325	80.437	80.552	80.746	80.79	80.95	81.17	81.275	81.552	81.524	81.769	81.831	81.999	82.144
1836	Australia/New Zealand	84.235	84.564	84.852	85.144	85.382	85.622	85.838	86.078	86.305	86.487	86.719	86.925	87.134	87.327	87.502	87.709	87.86	88.014	88.232	88.371	88.633	88.772	88.892	89.082	89.239	89.417	89.57	89.794	89.909	90.039	90.216	90.406	90.596	90.736	90.854	91.066	91.217	91.296	91.48	91.707	91.719	91.983	92.115	92.157	92.355	92.542	92.625	92.69	92.862	92.925	92.993	93.234	93.486	93.693	93.728	94.014	94.088	94.211	94.329	94.595	94.514	94.61	94.712	94.874	95.126	95.187	95.314	95.47	95.657	95.791	95.926	96.181	96.355	96.385	96.518	96.693	96.825
1829	Europe and Northern America	79.652	79.896	80.123	80.337	80.534	80.75	80.927	81.128	81.341	81.512	81.714	81.903	82.092	82.293	82.461	82.61	82.816	82.99	83.158	83.342	83.487	83.646	83.769	83.947	84.064	84.22	84.383	84.561	84.736	84.87	85.039	85.156	85.321	85.449	85.611	85.757	85.896	86.039	86.185	86.348	86.477	86.606	86.762	86.91	87.064	87.213	87.377	87.51	87.638	87.787	87.961	88.095	88.185	88.375	88.49	88.63	88.793	88.951	89.073	89.246	89.378	89.461	89.624	89.687	89.875	90	90.123	90.238	90.378	90.543	90.669	90.829	90.927	91.083	91.227	91.407	91.509
5502	Europe, Northern America, Australia, and New Zealand	79.749	79.988	80.201	80.416	80.611	80.826	80.996	81.197	81.386	81.555	81.759	81.946	82.126	82.313	82.503	82.663	82.851	83.009	83.18	83.351	83.497	83.67	83.819	83.979	84.115	84.262	84.448	84.616	84.78	84.913	85.054	85.199	85.361	85.496	85.642	85.772	85.932	86.09	86.23	86.397	86.545	86.67	86.824	86.972	87.131	87.273	87.428	87.565	87.725	87.852	88.021	88.175	88.287	88.437	88.58	88.702	88.872	88.998	89.131	89.268	89.399	89.484	89.621	89.75	89.896	90.034	90.16	90.283	90.402	90.554	90.699	90.825	90.918	91.073	91.262	91.382	91.494
