country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	72.6398	74.47	75.4519	76.2785	77.0132	77.6869	78.332	78.9474	79.4782	80.0259	80.566	81.0657	81.5257	81.9498	82.3809	82.8927
1834	Sub-Saharan Africa	61.5686	63.6253	64.8619	65.9222	66.906	67.8387	68.6759	69.5117	70.353	71.1643	71.9744	72.7757	73.4692	74.1774	74.8649	75.606
1833	Northern Africa and Western Asia	73.355	75.3812	76.4749	77.4064	78.2871	79.1163	79.8918	80.6775	81.3566	82.0771	82.7615	83.3732	83.9663	84.551	85.153	85.7776
1831	Central and Southern Asia	70.9639	73.9624	75.5258	76.8431	77.9906	79.0455	80.2388	81.2149	82.1412	83.0225	83.6738	84.2929	85.0028	85.67	86.269	86.878
1832	Eastern and South-Eastern Asia	76.9543	78.8089	80.0283	80.9966	81.8516	82.6191	83.3637	84.0916	84.7449	85.4536	86.1056	86.7815	87.367	87.9603	88.6172	89.2382
1830	Latin America and the Caribbean	74.6532	77.0789	78.1354	79.1696	80.1207	81.0103	81.8039	82.5598	83.2651	83.9624	84.6697	85.3217	85.9591	86.5999	87.2221	87.8713
1835	Oceania (excluding Australia and New Zealand)	67.391	69.78	71.1028	72.2053	73.0767	73.8575	74.6444	75.4194	76.2845	77.1752	77.9192	78.7992	79.4813	80.3534	81.0698	81.7969
1836	Australia/New Zealand	83.5531	85.2479	86.399	87.4171	88.3172	89.1637	89.9921	90.8157	91.5634	92.2975	92.8822	93.7196	94.4017	94.975	95.7214	96.4933
1829	Europe and Northern America	78.54	80.4318	81.4225	82.3635	83.2418	84.0031	84.7951	85.5328	86.26	86.9883	87.7267	88.425	89.1556	89.7961	90.4613	91.1631
5502	Europe, Northern America, Australia, and New Zealand	78.6517	80.51	81.4741	82.4011	83.2597	84.0469	84.8373	85.5672	86.3126	87.0499	87.7931	88.5062	89.1951	89.825	90.4865	91.1595
901	More developed regions	79.2683	81.0474	82.0045	82.8927	83.713	84.4659	85.2118	85.9414	86.6482	87.3802	88.0827	88.7557	89.4942	90.1155	90.7618	91.4785
902	Less developed regions	71.257	73.2246	74.3027	75.2162	76.0376	76.7429	77.4406	78.0717	78.624	79.2057	79.7474	80.2455	80.735	81.1428	81.5547	82.0283
