country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	72.918	72.967	73.127	73.196	73.227	73.309	73.382	73.503	73.627	73.763	73.847	73.896	73.999	74.085	74.194	74.276	74.373	74.479	74.622	74.643	74.763	74.83	74.908	74.945	75.049	75.117	75.246	75.288	75.406	75.447	75.53	75.623	75.667	75.799	75.918	76	76.086	76.18	76.268	76.356	76.418	76.497	76.58	76.642	76.734	76.777	76.784	76.878	77.019	77.036	77.158	77.156	77.282	77.279	77.422	77.56	77.606	77.674	77.678	77.815	77.894	77.965	78.057	78.116	78.167	78.214	78.324	78.386	78.418	78.479	78.568	78.67	78.726	78.823	78.922	79.001	79.043
1834	Sub-Saharan Africa	61.822	61.82	61.866	61.945	62.07	62.176	62.31	62.349	62.45	62.539	62.715	62.761	62.881	62.958	63.1	63.248	63.364	63.415	63.612	63.755	63.889	63.982	64.074	64.157	64.255	64.279	64.444	64.592	64.719	64.808	64.899	65.065	65.129	65.275	65.366	65.438	65.527	65.64	65.839	65.978	66.028	66.131	66.228	66.394	66.428	66.516	66.659	66.698	66.847	66.921	66.932	67.076	67.164	67.362	67.377	67.54	67.673	67.739	67.857	67.896	67.98	68.19	68.216	68.342	68.448	68.617	68.766	68.821	68.879	69.092	69.204	69.288	69.4	69.537	69.565	69.698	69.729
1833	Northern Africa and Western Asia	73.445	73.582	73.772	73.794	73.859	73.943	74.028	74.087	74.184	74.243	74.355	74.479	74.538	74.698	74.736	74.853	74.97	75.066	75.156	75.27	75.41	75.509	75.573	75.705	75.788	75.861	75.949	76.018	76.082	76.216	76.288	76.404	76.502	76.593	76.721	76.788	76.874	76.905	77.003	77.055	77.139	77.189	77.28	77.416	77.558	77.673	77.757	77.851	77.896	78.01	78.046	78.142	78.165	78.293	78.368	78.521	78.493	78.689	78.762	78.923	78.993	79.091	79.117	79.185	79.23	79.417	79.39	79.436	79.5	79.598	79.734	79.832	79.88	79.982	80.044	80.01	80.249
1831	Central and Southern Asia	71.127	70.982	70.86	70.765	70.839	70.94	70.906	71.019	71.124	71.168	71.165	71.298	71.281	71.522	71.577	71.671	71.732	71.956	71.932	71.904	71.977	72.017	72.118	72.203	72.359	72.449	72.594	72.817	72.924	73.13	73.277	73.251	73.342	73.493	73.588	73.637	73.743	73.831	73.799	73.869	74.058	74.165	74.377	74.552	74.649	74.889	74.957	74.857	74.947	75.132	75.221	75.141	75.382	75.394	75.416	75.625	75.835	75.851	75.912	75.968	75.941	76.115	76.428	76.511	76.492	76.707	76.776	76.803	76.976	77.134	76.966	77.323	77.451	77.511	77.694	77.881	77.888
1832	Eastern and South-Eastern Asia	76.055	76.038	76.33	76.302	76.43	76.36	76.371	76.428	76.578	76.597	76.636	76.662	76.735	76.816	76.862	76.857	77.072	77.08	77.179	77.273	77.252	77.334	77.391	77.597	77.565	77.693	77.8	77.809	77.899	78.05	78.057	78.126	78.389	78.482	78.652	78.716	78.77	78.906	79.134	79.096	79.186	79.435	79.539	79.589	79.662	79.846	80.003	79.913	80.061	80.28	80.434	80.365	80.369	80.514	80.604	80.632	80.618	80.845	80.914	81.066	81.179	81.157	81.277	81.322	81.5	81.435	81.596	81.707	81.716	81.759	81.901	82.03	82.07	82.136	82.313	82.419	82.441
1830	Latin America and the Caribbean	75.397	75.37	75.482	75.481	75.56	75.677	75.709	75.754	75.804	75.927	76.008	76.173	76.292	76.357	76.515	76.586	76.635	76.76	76.876	76.906	76.978	77.077	77.264	77.344	77.386	77.558	77.737	77.846	78.007	78.091	78.192	78.29	78.464	78.562	78.784	78.834	78.977	79.056	79.094	79.161	79.318	79.486	79.574	79.773	79.859	80.002	80.107	80.172	80.355	80.504	80.576	80.661	80.729	80.778	80.914	81.027	81.081	81.233	81.392	81.484	81.499	81.745	81.786	81.865	81.927	82.045	82.309	82.29	82.377	82.36	82.494	82.644	82.686	82.807	83.033	83.143	83.309
1835	Oceania (excluding Australia and New Zealand)	66.736	66.349	66.226	66.019	65.918	65.949	65.864	65.727	65.567	65.549	65.43	65.467	65.245	65.297	65.378	65.278	65.292	65.156	65.112	65.068	65.186	65.162	64.775	64.811	64.817	64.695	64.767	64.948	64.584	64.638	64.644	64.668	64.763	64.58	64.518	64.62	64.752	64.849	64.831	64.818	64.712	64.833	64.979	65.016	65.054	64.974	65.13	64.978	64.937	64.94	64.945	64.87	65.116	65.138	65.205	65.316	65.45	65.352	65.494	65.393	65.32	65.491	65.6	65.514	65.546	65.58	65.545	65.484	65.669	65.695	65.821	65.724	65.739	65.71	65.637	65.659	65.779
1836	Australia/New Zealand	83.017	82.868	82.795	82.772	82.668	82.707	82.674	82.725	82.764	82.673	82.587	82.785	82.828	82.824	82.894	83.04	83.009	83.049	83.064	83.023	83.158	83.199	83.316	83.333	83.383	83.475	83.495	83.656	83.582	83.561	83.611	83.784	83.784	83.825	83.972	84.05	84.036	84.071	84.122	84.236	84.131	84.226	84.254	84.201	84.276	84.393	84.638	84.633	84.659	84.785	84.723	84.751	84.82	84.77	84.741	84.923	84.947	84.952	85.082	85.133	85.261	85.259	85.279	85.272	85.382	85.411	85.428	85.579	85.616	85.566	85.639	85.7	85.785	85.898	85.945	85.94	85.81
1829	Europe and Northern America	79.049	79.042	79.104	79.171	79.236	79.286	79.338	79.389	79.538	79.633	79.735	79.836	79.918	80	80.041	80.154	80.336	80.442	80.514	80.657	80.804	80.884	80.929	81.057	81.121	81.235	81.345	81.483	81.629	81.722	81.781	81.888	81.959	82.089	82.187	82.272	82.364	82.425	82.503	82.597	82.72	82.763	82.905	83.078	83.103	83.165	83.191	83.339	83.331	83.513	83.709	83.767	83.806	83.92	83.958	84.082	84.195	84.295	84.389	84.511	84.675	84.733	84.891	84.939	85.042	85.164	85.236	85.32	85.538	85.444	85.679	85.779	85.9	86.07	86.073	86.143	86.242
5502	Europe, Northern America, Australia, and New Zealand	79.162	79.16	79.207	79.271	79.34	79.384	79.442	79.512	79.624	79.712	79.817	79.913	80.012	80.064	80.143	80.253	80.437	80.541	80.597	80.72	80.874	80.946	81.036	81.158	81.28	81.372	81.46	81.597	81.739	81.805	81.893	81.975	82.075	82.178	82.269	82.343	82.459	82.518	82.641	82.684	82.859	82.907	83.033	83.193	83.309	83.376	83.358	83.512	83.57	83.699	83.847	83.985	84.034	84.148	84.191	84.238	84.402	84.564	84.567	84.715	84.855	85.021	85.057	85.162	85.205	85.356	85.397	85.54	85.715	85.691	85.795	85.937	86.109	86.221	86.17	86.325	86.371
