country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	50.1287	52.1227	54.3765	57.3301	59.4679	61.6662	63.8553	65.7057	66.901	68.1974	69.8151	71.78	73.5782	74.8554	2023
1834	Sub-Saharan Africa	39.8534	41.4876	43.4914	44.9262	46.549	48.697	49.8529	50.5717	50.4341	51.5	53.2613	56.2183	59.3196	61.6766	2023
1833	Northern Africa and Western Asia	44.5872	47.8519	50.9783	53.8415	56.5544	59.7329	63.0383	65.8931	68.0678	69.8617	71.5172	73.0576	74.2709	75.4025	2023
1831	Central and Southern Asia	40.9695	43.6501	45.6808	47.268	49.3815	52.6447	55.8424	58.6586	60.7518	62.8969	65.4603	67.9388	70.125	71.8256	2023
1832	Eastern and South-Eastern Asia	48.3534	49.3388	52.1695	58.1375	61.7893	64.8563	67.957	70.0543	71.9303	73.7875	75.4658	76.9837	78.4212	79.6034	2023
1830	Latin America and the Caribbean	52.3183	55.3694	58.1099	60.4408	62.5875	65.0805	67.2592	69.4141	71.4057	73.1979	74.9398	76.3187	77.4166	77.9551	2023
1835	Oceania (excluding Australia and New Zealand)	45.7239	49.9151	53.0173	56.2219	59.034	61.6467	63.4315	64.8086	65.7427	66.2152	66.4966	67.0414	68.5059	69.6548	2023
1836	Australia/New Zealand	72.3206	73.5961	74.2715	74.4244	75.3328	77.0495	78.3403	79.1405	80.4857	81.4673	82.6182	83.5398	84.2473	84.8936	2023
1829	Europe and Northern America	67.5016	70.9037	72.765	73.6951	74.5611	75.5006	76.3058	77.173	77.45	77.9703	78.5855	79.783	80.919	81.5096	2023
5502	Europe, Northern America, Australia, and New Zealand	67.5701	70.9444	72.7899	73.7091	74.5755	75.5256	76.3377	77.2053	77.5014	78.0305	78.6569	79.8534	80.9852	81.5804	2023
901	More developed regions	67.2797	70.7308	72.7021	73.7672	74.7326	75.7829	76.6664	77.5993	77.9874	78.6037	79.3234	80.5137	81.6001	82.2232	2023
902	Less developed regions	44.6166	46.5171	48.9652	52.6685	55.2839	57.8925	60.5444	62.7243	64.2605	65.866	67.7106	69.7605	71.699	73.1528	2023
941	Least developed countries	38.7656	40.6907	42.9239	44.6516	45.1825	46.8925	49.2454	50.8883	51.8971	54.732	57.8324	60.9125	63.8608	66.222	2023
934	Less developed regions, excluding least developed countries	45.5182	47.3909	49.9054	53.9268	56.958	59.8341	62.6093	64.8942	66.5875	68.04	69.6557	71.4967	73.2402	74.5542	2023
948	Less developed regions, excluding China	43.4205	46.5018	48.8996	50.8377	52.9658	55.5719	58.2693	60.3785	61.848	63.4301	65.3852	67.546	69.5601	71.0449	2023
1636	Land-locked Developing Countries (LLDC)	42.2476	43.7298	46.2042	47.5908	48.5374	50.3072	51.0554	52.3767	52.7089	54.5603	57.2629	60.8298	64.4261	66.7099	2023
2087	LLDC: Africa	39.4017	40.2359	42.8075	43.8528	44.3571	46.1467	46.5106	47.0061	46.3499	48.6763	51.8887	56.2906	60.884	63.749	2023
2088	LLDC: Asia	44.8915	47.1698	49.4806	51.5008	53.3976	55.277	57.0283	60.053	62.5306	63.8368	66.0607	68.3541	70.2836	71.7999	2023
2089	LLDC: Europe	56.3902	60.3833	62.821	64.6415	66.3883	68.1493	69.8773	71.4749	71.5617	71.7343	72.8992	74.011	75.495	75.9636	2023
2090	LLDC: Latin America	48.9036	49.9951	51.4922	53.0867	54.4324	56.321	58.2362	60.5624	63.5211	65.9986	68.0723	69.8006	71.3456	72.0505	2023
1637	Small Island Developing States (SIDS)	52.5147	55.9301	58.5535	60.9223	62.7797	63.9593	65.5653	66.961	68.3564	69.7981	71.5719	72.3414	73.6898	74.9442	2023
2091	SIDS Caribbean	54.4266	57.6885	60.2192	62.4493	64.1827	65.582	66.8626	68.0758	69.3867	71.0196	72.6383	73.152	74.3089	75.58	2023
2092	SIDS Pacific	43.2395	47.0862	50.0906	53.2565	55.7973	56.3903	59.7688	61.8402	63.3218	64.1282	65.9924	66.7649	68.2714	69.4734	2023
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	50.7208	54.6213	57.4232	59.6416	61.409	62.3293	63.7778	65.527	67.6011	69.1505	71.3999	73.6798	75.7843	77.4784	2023
5503	High-and-upper-middle-income countries	55.4477	56.9225	59.5076	63.5111	66.1859	68.7766	70.8328	72.5173	73.8809	75.2509	76.4412	77.9125	79.3108	80.2588	2023
5504	Low-and-Lower-middle-income countries	41.7887	44.62	46.7803	48.3492	50.1878	52.7562	55.586	57.7082	59.0135	60.6663	62.9302	65.3149	67.4418	69.0781	2023
1503	High-income countries	67.3069	69.9743	71.7555	73.0953	74.4302	75.9513	77.1641	78.2067	79.2228	80.166	81.2068	82.2781	83.0735	83.4775	2023
1859	Low-and-middle-income countries	45.6795	47.7026	50.1084	53.5846	56.0241	58.4456	60.9251	63.0275	64.2735	65.6823	67.4105	69.4985	71.4951	72.9803	2023
1517	Middle-income countries	46.2724	48.225	50.6561	54.2886	56.8582	59.4067	62.133	64.3042	65.6584	67.0456	68.6696	70.6379	72.5726	73.9978	2023
