country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	75.623	75.69	75.821	75.885	75.938	76.022	76.089	76.2	76.262	76.409	76.478	76.56	76.626	76.712	76.827	76.931	77.035	77.113	77.174	77.25	77.356	77.45	77.542	77.591	77.656	77.712	77.79	77.852	77.93	78.013	78.064	78.165	78.218	78.319	78.415	78.45	78.576	78.694	78.794	78.843	78.964	78.948	79.023	79.06	79.08	79.188	79.232	79.307	79.407	79.444	79.546	79.584	79.665	79.726	79.78	79.844	79.903	79.941	79.949	80.122	80.19	80.316	80.371	80.428	80.486	80.515	80.559	80.681	80.709	80.832	80.85	80.94	80.966	81.009	81.152	81.239	81.257
1834	Sub-Saharan Africa	63.878	63.905	63.936	64.035	64.186	64.311	64.428	64.483	64.624	64.743	64.871	64.983	65.089	65.213	65.357	65.537	65.695	65.777	65.902	66.053	66.176	66.376	66.493	66.607	66.685	66.78	66.911	67.013	67.14	67.328	67.466	67.635	67.674	67.833	67.925	67.999	68.098	68.146	68.37	68.542	68.64	68.766	68.822	68.97	69.066	69.15	69.31	69.31	69.375	69.484	69.599	69.651	69.76	69.86	69.962	70.173	70.25	70.406	70.424	70.525	70.587	70.8	70.918	70.972	71.17	71.197	71.345	71.492	71.581	71.74	71.914	72.029	72.075	72.242	72.179	72.322	72.468
1833	Northern Africa and Western Asia	75.933	76.073	76.231	76.297	76.375	76.452	76.573	76.653	76.692	76.768	76.866	76.981	77.035	77.151	77.236	77.361	77.394	77.548	77.634	77.738	77.867	78.014	78.071	78.152	78.217	78.31	78.375	78.425	78.544	78.687	78.74	78.782	78.814	78.997	79.067	79.192	79.275	79.324	79.409	79.448	79.554	79.61	79.615	79.723	79.837	79.936	79.962	80.061	80.141	80.19	80.322	80.272	80.406	80.528	80.551	80.676	80.675	80.892	80.96	81.118	81.104	81.208	81.248	81.221	81.363	81.518	81.563	81.66	81.72	81.765	81.905	81.998	82.054	82.158	82.21	82.171	82.278
1831	Central and Southern Asia	72.977	72.843	72.804	72.764	72.818	72.881	72.961	73.092	73.19	73.216	73.221	73.295	73.489	73.621	73.812	73.903	73.942	74.111	74.139	74.206	74.256	74.372	74.455	74.583	74.784	74.882	75.068	75.145	75.304	75.607	75.62	75.61	75.766	75.824	76.051	76.107	76.097	76.139	76.349	76.329	76.349	76.561	76.77	76.883	76.931	77.189	77.313	77.174	77.36	77.517	77.542	77.69	77.782	77.926	77.949	78.121	78.297	78.273	78.364	78.448	78.664	78.56	78.777	78.968	79.197	79.226	79.187	79.334	79.35	79.476	79.514	79.446	79.593	79.771	79.928	80.243	80.277
1832	Eastern and South-Eastern Asia	79.186	79.164	79.406	79.374	79.379	79.423	79.424	79.499	79.616	79.546	79.584	79.612	79.683	79.753	79.86	79.873	79.981	79.963	80.038	80.174	80.192	80.202	80.228	80.337	80.36	80.461	80.624	80.616	80.666	80.75	80.875	80.887	80.975	81.16	81.283	81.378	81.483	81.547	81.59	81.67	81.786	81.906	81.912	81.999	82.048	82.218	82.321	82.342	82.443	82.561	82.605	82.724	82.787	82.766	82.871	82.928	82.927	83.018	83.18	83.249	83.36	83.478	83.454	83.631	83.668	83.753	83.852	83.998	83.93	84.021	84.152	84.163	84.262	84.319	84.484	84.631	84.671
1830	Latin America and the Caribbean	78.353	78.343	78.383	78.455	78.486	78.597	78.562	78.699	78.716	78.819	78.847	79.007	79.1	79.162	79.236	79.338	79.39	79.506	79.62	79.58	79.732	79.82	80.004	80.023	80.074	80.21	80.316	80.364	80.573	80.62	80.7	80.8	80.952	81.031	81.184	81.183	81.302	81.414	81.426	81.473	81.583	81.766	81.842	81.936	82.046	82.185	82.258	82.385	82.487	82.643	82.774	82.754	82.876	82.857	83.024	83.157	83.202	83.248	83.363	83.398	83.534	83.648	83.728	83.802	83.924	83.96	84.09	84.101	84.197	84.268	84.397	84.484	84.572	84.67	84.809	84.912	84.946
1835	Oceania (excluding Australia and New Zealand)	69.634	69.297	69.153	68.906	68.797	68.856	68.82	68.639	68.536	68.58	68.505	68.367	68.311	68.3	68.281	68.306	68.257	68.291	68.303	68.215	68.127	68.122	67.905	67.874	67.818	67.93	67.691	67.85	67.669	67.566	67.672	67.638	67.647	67.621	67.464	67.695	67.692	67.731	67.706	67.745	67.653	67.818	68.002	67.816	68.086	68.163	68.035	67.922	67.915	67.965	67.93	67.934	67.976	68.118	68.348	68.272	68.244	68.254	68.437	68.485	68.599	68.429	68.445	68.507	68.653	68.992	68.912	68.976	69.037	68.811	68.74	68.869	69.142	69.151	69.116	69.442	69.369
1836	Australia/New Zealand	84.814	84.68	84.534	84.494	84.272	84.358	84.291	84.237	84.231	84.132	84.095	84.256	84.213	84.097	84.339	84.35	84.404	84.356	84.386	84.36	84.41	84.487	84.617	84.644	84.753	84.864	84.785	84.93	84.94	85.046	84.98	85.05	85.057	85.24	85.184	85.108	85.168	85.149	85.212	85.269	85.462	85.597	85.653	85.659	85.74	85.786	85.828	85.922	85.86	86.059	86.075	86.154	86.235	86.332	86.232	86.295	86.353	86.309	86.299	86.478	86.406	86.368	86.565	86.667	86.657	86.79	86.725	86.67	86.825	87.002	87.044	87.124	87.187	87.197	87.509	87.471	87.552
1829	Europe and Northern America	82.153	82.139	82.171	82.238	82.264	82.29	82.356	82.445	82.493	82.554	82.643	82.712	82.777	82.822	82.928	83.012	83.094	83.194	83.302	83.399	83.45	83.569	83.641	83.7	83.804	83.844	83.918	84.038	84.144	84.182	84.273	84.382	84.414	84.532	84.568	84.685	84.758	84.814	84.89	84.939	85.046	85.086	85.22	85.294	85.346	85.416	85.522	85.5	85.587	85.716	85.812	85.914	85.997	86.105	86.159	86.31	86.372	86.402	86.492	86.635	86.786	86.814	86.925	86.928	87.004	87.104	87.207	87.297	87.391	87.448	87.57	87.677	87.756	87.903	87.921	87.999	88.057
5502	Europe, Northern America, Australia, and New Zealand	82.227	82.209	82.252	82.309	82.339	82.362	82.429	82.517	82.548	82.612	82.695	82.765	82.841	82.886	82.987	83.083	83.142	83.279	83.331	83.447	83.52	83.619	83.698	83.785	83.881	83.926	84.003	84.135	84.245	84.241	84.298	84.444	84.512	84.605	84.651	84.778	84.838	84.891	85.002	85.036	85.17	85.253	85.325	85.452	85.498	85.577	85.702	85.68	85.779	85.89	85.959	86.094	86.203	86.275	86.347	86.484	86.541	86.626	86.638	86.803	86.878	86.904	87.044	87.126	87.136	87.199	87.301	87.392	87.551	87.576	87.733	87.787	87.974	88.094	88.14	88.161	88.246
