country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.1352	75.9123	76.3361	76.7799	77.228	77.6247	77.9677	78.3548	78.8116	79.0882	79.4223	79.7515	80.062	80.4472	80.7638	81.0923
1834	Sub-Saharan Africa	63.3369	64.1324	64.6905	65.3127	65.9935	66.645	67.2483	67.8621	68.4294	69.0112	69.451	69.9429	70.4943	71.0665	71.6835	72.2135
1833	Northern Africa and Western Asia	75.548	76.338	76.753	77.1961	77.7004	78.1901	78.5961	79.0207	79.436	79.7799	80.1664	80.527	81.003	81.347	81.7658	82.1458
1831	Central and Southern Asia	72.3073	72.8342	73.1702	73.6901	74.1744	74.6856	75.4032	75.9204	76.2988	76.9412	77.418	77.953	78.4343	79.0059	79.3971	79.8756
1832	Eastern and South-Eastern Asia	79.5524	79.3751	79.5525	79.7926	80.0911	80.3587	80.7312	81.1935	81.6556	82.0559	82.4925	82.8342	83.1986	83.6316	84.0197	84.4192
1830	Latin America and the Caribbean	77.508	78.4753	78.7736	79.2072	79.6087	80.0757	80.5625	81.0796	81.4852	82.0028	82.5575	82.9768	83.3918	83.8549	84.2479	84.7333
1835	Oceania (excluding Australia and New Zealand)	69.6849	68.9522	68.5697	68.3019	68.2248	67.8866	67.6843	67.6184	67.7179	67.9984	67.9433	68.1604	68.4217	68.6519	68.8914	69.1911
1836	Australia/New Zealand	85.0046	84.4285	84.1937	84.2655	84.3915	84.7023	84.9625	85.1394	85.2936	85.7095	85.9805	86.269	86.3702	86.6434	86.8915	87.3374
1829	Europe and Northern America	81.502	82.2421	82.5336	82.8881	83.3348	83.746	84.1567	84.553	84.9215	85.3152	85.6656	86.1418	86.5806	86.9935	87.4287	87.8884
5502	Europe, Northern America, Australia, and New Zealand	81.5836	82.3162	82.5936	82.9498	83.391	83.8197	84.2279	84.6366	85.0281	85.4649	85.8403	86.3243	86.7326	87.1208	87.5582	88.0763
901	More developed regions	82.2338	82.9404	83.2388	83.5939	84.0273	84.4377	84.8731	85.2918	85.6853	86.0969	86.5155	86.9262	87.3792	87.7993	88.2369	88.703
902	Less developed regions	73.5272	74.3108	74.7921	75.3128	75.7834	76.2075	76.6561	77.1396	77.5536	77.8715	78.1838	78.5405	78.8403	79.2018	79.4761	79.809
941	Least developed countries	67.8504	68.9153	69.5808	70.2376	70.8356	71.4378	71.9749	72.5284	73.0688	73.644	74.0925	74.5106	74.9212	75.3133	75.7543	76.047
934	Less developed regions, excluding least developed countries	74.7062	75.2862	75.6763	76.1086	76.5331	76.9582	77.3339	77.6511	78.012	78.3178	78.6049	78.9617	79.3193	79.7184	80.1093	80.4308
