country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.3875	77.3349	78.3449	79.1827	79.9154	80.5564	81.1654	81.761	82.3133	82.8419	83.3362	83.808	84.2449	84.6848	85.1165	85.5387
1834	Sub-Saharan Africa	63.6609	66.0445	67.4916	68.7355	69.9	70.9565	71.9013	72.8164	73.7248	74.5939	75.4431	76.2129	76.8711	77.639	78.3283	78.9806
1833	Northern Africa and Western Asia	75.8755	78.1406	79.3102	80.2455	81.0595	81.8307	82.5762	83.2418	83.889	84.5536	85.1459	85.6882	86.3144	86.9226	87.54	88.1401
1831	Central and Southern Asia	72.9149	76.3827	78.1705	79.5968	80.7364	81.8365	82.9389	83.8029	84.6601	85.4747	86.288	87.0343	87.6972	88.4363	89.1148	89.7911
1832	Eastern and South-Eastern Asia	80.0967	82.1555	83.3263	84.3148	85.2589	86.0388	86.8598	87.6463	88.2638	88.9575	89.6486	90.1919	90.8878	91.4324	91.9581	92.5528
1830	Latin America and the Caribbean	77.8142	80.2269	81.3067	82.2488	83.0418	83.8332	84.576	85.2755	85.9558	86.6114	87.2914	87.9278	88.4845	89.108	89.7147	90.4146
1835	Oceania (excluding Australia and New Zealand)	70.4445	73.3579	75.0038	76.3658	77.3837	78.3986	79.0885	79.9314	80.7865	81.5587	82.2167	82.9741	83.7374	84.4743	85.0598	85.8064
1836	Australia/New Zealand	85.4863	87.3931	88.6094	89.7801	90.7598	91.6312	92.4891	93.2552	94.1559	95.1236	96.0794	96.94	97.7378	98.5936	99.2764	99.7197
1829	Europe and Northern America	81.7346	83.5714	84.5009	85.3521	86.1316	86.8903	87.6231	88.367	89.0846	89.7765	90.4692	91.2829	92.0443	92.7148	93.3602	94.0022
5502	Europe, Northern America, Australia, and New Zealand	81.8108	83.6131	84.5219	85.3603	86.1103	86.8919	87.6175	88.348	89.0669	89.7894	90.492	91.2916	92.0483	92.7072	93.3485	94.0134
901	More developed regions	82.4496	84.1815	85.1034	85.8989	86.6187	87.3359	88.042	88.7816	89.4861	90.2022	90.895	91.6175	92.2895	93.017	93.6364	94.2795
902	Less developed regions	73.8304	75.9888	77.1441	78.087	78.9306	79.6013	80.3302	80.9669	81.5245	82.0654	82.5745	83.0567	83.4977	83.929	84.3352	84.7713
941	Least developed countries	68.0827	70.2926	71.6151	72.7637	73.7816	74.7909	75.6683	76.5337	77.3087	77.983	78.6874	79.3123	79.9496	80.5575	81.197	81.7361
934	Less developed regions, excluding least developed countries	75.0626	77.3362	78.5733	79.5274	80.3672	81.0915	81.8221	82.4715	83.0992	83.7322	84.2982	84.8638	85.3816	85.8091	86.3218	86.8605
948	Less developed regions, excluding China	71.8354	74.1716	75.3611	76.3661	77.3073	78.1108	78.9306	79.6291	80.2657	80.9009	81.4493	81.9777	82.4842	82.9847	83.5167	83.9845
1636	Land-locked Developing Countries (LLDC)	68.6068	71.0771	72.4097	73.601	74.6374	75.5952	76.4796	77.2689	78.0897	78.8306	79.6307	80.2473	80.979	81.6722	82.3048	83.0182
2087	LLDC: Africa	66.4166	69.2147	70.8211	72.1528	73.3555	74.454	75.438	76.4259	77.345	78.2171	79.0759	79.7885	80.5554	81.3265	82.0008	82.7514
2088	LLDC: Asia	72.7683	75.2985	76.6669	77.7515	78.7331	79.5325	80.3124	81.1511	81.8481	82.4781	83.2484	83.8902	84.5256	85.2434	85.9535	86.5481
2089	LLDC: Europe	76.6143	79.2391	80.5732	81.8255	82.7752	83.6432	84.5472	85.4152	86.163	86.9499	88.0192	88.8992	89.6889	90.4257	91.1889	92.0303
2090	LLDC: Latin America	71.9301	75.9025	77.4948	78.8093	79.9549	81.1126	82.0091	82.8474	83.7991	84.6257	85.4023	86.0995	86.9152	87.6063	88.5401	89.3357
1637	Small Island Developing States (SIDS)	75.3675	77.4921	78.5973	79.4283	80.1514	80.8314	81.4181	81.9663	82.5465	83.0967	83.6197	84.213	84.6095	85.0513	85.5313	86.0799
2091	SIDS Caribbean	75.9051	78.3562	79.5221	80.4923	81.3384	82.0892	82.7629	83.4141	84.0601	84.6106	85.1913	85.777	86.3669	86.9864	87.5244	88.1059
2092	SIDS Pacific	70.2779	73.0286	74.6747	76.0071	77.1023	78.1111	78.9726	79.8886	80.7171	81.4544	82.1605	82.851	83.7327	84.4954	85.1581	85.957
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	78.7364	81.2507	82.7838	83.9362	84.9049	85.7202	86.4866	87.1915	87.8783	88.5099	89.2088	89.8834	90.46	91.0154	91.5942	92.0954
5503	High-and-upper-middle-income countries	80.5299	82.3588	83.2738	84.0913	84.8241	85.5788	86.2933	86.9918	87.6124	88.2327	88.8116	89.3873	89.9688	90.5401	91.1233	91.677
5504	Low-and-Lower-middle-income countries	70.1553	72.6651	74.025	75.1442	76.1627	77.0369	77.9139	78.6535	79.3254	80.0249	80.6409	81.2373	81.7447	82.169	82.7309	83.2628
1503	High-income countries	83.6855	85.1912	86.0713	86.8514	87.567	88.2822	88.9468	89.6795	90.3253	91.0372	91.7347	92.3969	93.0369	93.6767	94.3983	94.9788
1859	Low-and-middle-income countries	73.6432	75.8136	76.9341	77.8592	78.688	79.3481	80.0477	80.6634	81.2285	81.7951	82.3117	82.7872	83.2444	83.6951	84.1296	84.5684
1517	Middle-income countries	74.5594	76.8128	78.0258	78.9675	79.8236	80.5313	81.3014	81.9293	82.5554	83.1321	83.7088	84.2613	84.7877	85.1853	85.6282	86.1731
1502	Upper-middle-income countries	78.8472	81.0988	82.2506	83.2349	84.1416	84.9871	85.8164	86.633	87.292	87.9361	88.5549	89.0671	89.6232	90.1377	90.6488	91.1648
