country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.2338	76.6608	77.3897	78.0542	78.6702	79.2234	79.7221	80.1919	80.6477	81.0891	81.5169	81.9266	82.3282	82.726	83.1307	83.533
1834	Sub-Saharan Africa	63.4524	65.1009	66.1193	67.0843	68.005	68.8798	69.7159	70.5197	71.2979	72.0438	72.7612	73.4435	74.0936	74.7174	75.341	75.9577
1833	Northern Africa and Western Asia	75.6465	77.2424	78.0446	78.7807	79.4707	80.1145	80.7211	81.2982	81.8448	82.376	82.8951	83.4021	83.9046	84.4052	84.9019	85.3909
1831	Central and Southern Asia	72.4758	74.7014	75.8116	76.8219	77.7632	78.6345	79.443	80.2014	80.9128	81.5781	82.2082	82.8109	83.3996	83.9523	84.4945	85.0366
1832	Eastern and South-Eastern Asia	79.8308	80.8446	81.5684	82.2047	82.8011	83.3691	83.905	84.4266	84.9425	85.4448	85.9403	86.4155	86.8928	87.3948	87.8931	88.3798
1830	Latin America and the Caribbean	77.5935	79.3497	80.0936	80.7919	81.4538	82.0853	82.6975	83.2918	83.87	84.4339	84.9879	85.539	86.0733	86.5957	87.1118	87.6262
1835	Oceania (excluding Australia and New Zealand)	70.0237	71.1834	71.8624	72.4843	73.0439	73.5689	74.0802	74.5953	75.1025	75.6233	76.1464	76.6572	77.1686	77.6938	78.221	78.7352
1836	Australia/New Zealand	85.2351	85.932	86.5086	87.073	87.6406	88.1989	88.7651	89.3163	89.8843	90.4485	90.9927	91.5616	92.1122	92.6618	93.2271	93.7769
1829	Europe and Northern America	81.5918	82.9417	83.5691	84.193	84.8166	85.4233	85.9973	86.5548	87.1166	87.6977	88.2912	88.8871	89.4663	90.0238	90.5704	91.1128
5502	Europe, Northern America, Australia, and New Zealand	81.6731	83.0124	83.6417	84.2669	84.892	85.5009	86.0781	86.6388	87.204	87.7879	88.3834	88.9816	89.5624	90.1216	90.6713	91.2171
901	More developed regions	82.3234	83.5998	84.2137	84.8152	85.415	86.0068	86.5788	87.1415	87.7042	88.2734	88.8464	89.4238	89.9928	90.5494	91.0998	91.6433
902	Less developed regions	73.6438	75.1828	76.0153	76.7695	77.4592	78.0752	78.6261	79.1347	79.6196	80.0854	80.5324	80.9495	81.3472	81.735	82.1306	82.5282
941	Least developed countries	67.9105	69.5957	70.5745	71.4873	72.3475	73.1568	73.9231	74.6478	75.3289	75.971	76.5754	77.1351	77.6599	78.1573	78.6486	79.1424
934	Less developed regions, excluding least developed countries	74.8558	76.3597	77.1696	77.901	78.5789	79.191	79.7415	80.2551	80.7554	81.2452	81.7229	82.1747	82.6098	83.0388	83.4791	83.9225
948	Less developed regions, excluding China	71.6199	73.405	74.2827	75.0943	75.8483	76.5418	77.186	77.7915	78.3654	78.9051	79.4159	79.9004	80.3663	80.8104	81.2563	81.7059
1636	Land-locked Developing Countries (LLDC)	68.3956	70.2107	71.1948	72.1163	72.9678	73.7394	74.4638	75.1558	75.8278	76.4731	77.0897	77.6748	78.2485	78.8174	79.389	79.9522
2087	LLDC: Africa	66.1658	68.0671	69.1428	70.1426	71.0808	71.9506	72.7778	73.5659	74.3404	75.0939	75.8161	76.4889	77.1243	77.7328	78.3373	78.9295
2088	LLDC: Asia	72.4919	74.118	75.0504	75.9123	76.6927	77.392	78.0403	78.6607	79.2393	79.7738	80.2847	80.7882	81.3046	81.8301	82.352	82.875
2089	LLDC: Europe	76.2523	77.5554	78.2292	78.8955	79.555	80.1943	80.8043	81.391	81.9739	82.563	83.1654	83.737	84.2851	84.8188	85.3512	85.8968
2090	LLDC: Latin America	71.3563	73.9008	74.6863	75.4361	76.1618	76.8512	77.5377	78.2031	78.8464	79.4816	80.0851	80.6766	81.253	81.8284	82.411	82.979
1637	Small Island Developing States (SIDS)	75.14	76.502	77.1598	77.7423	78.2469	78.6986	79.1066	79.5012	79.8869	80.286	80.6833	81.0536	81.3991	81.7368	82.0751	82.4217
2091	SIDS Caribbean	75.6199	77.0523	77.7223	78.33	78.8759	79.3692	79.7969	80.1959	80.5804	80.995	81.4248	81.8485	82.2705	82.6921	83.1135	83.5263
2092	SIDS Pacific	69.8957	71.0721	71.7933	72.4579	73.0574	73.6148	74.1526	74.6891	75.215	75.7499	76.2849	76.8028	77.3175	77.8424	78.3676	78.8812
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	78.431	79.6922	80.4691	81.1395	81.6973	82.2361	82.7773	83.2916	83.758	84.1455	84.4637	84.712	84.878	85.0189	85.1838	85.4209
5503	High-and-upper-middle-income countries	80.3618	81.6098	82.2835	82.8953	83.4858	84.0515	84.5971	85.1411	85.6812	86.2121	86.7418	87.2634	87.7797	88.3076	88.8298	89.3445
5504	Low-and-Lower-middle-income countries	69.8889	71.7	72.6395	73.5111	74.3272	75.084	75.7922	76.4598	77.0893	77.6755	78.2234	78.7375	79.2298	79.6956	80.164	80.6344
1503	High-income countries	83.5723	84.6103	85.218	85.8036	86.3781	86.9468	87.5082	88.0686	88.6224	89.1664	89.6961	90.2233	90.7593	91.3076	91.8588	92.3902
1859	Low-and-middle-income countries	73.4516	75.0206	75.849	76.6053	77.3007	77.9218	78.4767	78.9898	79.48	79.9509	80.4029	80.825	81.2279	81.6206	82.0202	82.4205
1517	Middle-income countries	74.3571	75.9212	76.7474	77.4978	78.194	78.8227	79.3872	79.9128	80.4207	80.9147	81.3944	81.8478	82.282	82.708	83.1411	83.5759
1502	Upper-middle-income countries	78.605	79.9973	80.7759	81.4758	82.1345	82.7526	83.3277	83.8807	84.4206	84.9498	85.4743	85.9702	86.4421	86.9216	87.3954	87.8636
1501	Lower-middle-income countries	70.7035	72.5341	73.4748	74.3427	75.1598	75.9227	76.6378	77.3137	77.9542	78.5533	79.1157	79.6493	80.1632	80.6518	81.1438	81.6382
1500	Low-income countries	66.5815	68.2536	69.1986	70.0811	70.9083	71.6747	72.402	73.0958	73.7711	74.4328	75.08	75.6934	76.2791	76.8364	77.3896	77.9383
