country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	70.7094	70.9131	71.1782	71.3421	71.4976	71.6546	71.8131	71.9662	72.122	72.2766	72.4323	72.5845	72.7366	72.8853	73.0376	73.1847	73.3347	73.4763	73.6194	73.7591	73.8961	74.0302	74.1615	74.2908	74.4154	74.5371	74.6551	74.7743	74.8896	75.0028	75.1152	75.2299	75.3461	75.4614	75.575	75.6886	75.8018	75.916	76.0301	76.1432	76.2569	76.3674	76.4798	76.5898	76.7004	76.8097	76.9172	77.0254	77.1301	77.2355	77.3389	77.44	77.5412	77.6406	77.7398	77.8368	77.9332	78.032	78.129	78.226	78.3206	78.413	78.508	78.603	78.6997	78.792	78.8875	78.9821	79.0775	79.1713	79.2663	79.3589	79.4542	79.5458	79.6373	79.7318	79.823
1834	Sub-Saharan Africa	60.2752	60.4525	60.637	60.8178	60.995	61.1646	61.3357	61.5034	61.6714	61.839	62.0036	62.1638	62.3202	62.4811	62.6414	62.7966	62.9533	63.1073	63.2657	63.4174	63.5644	63.717	63.8607	64.0134	64.162	64.3055	64.45	64.5966	64.7404	64.8831	65.0275	65.1694	65.31	65.4482	65.5914	65.7335	65.879	66.0208	66.1595	66.2963	66.4397	66.5808	66.7178	66.8598	66.9995	67.1385	67.2768	67.4176	67.5567	67.6914	67.8258	67.9622	68.101	68.2321	68.3681	68.5022	68.6362	68.7699	68.9034	69.0387	69.1679	69.2953	69.4252	69.5578	69.6942	69.8263	69.9603	70.0967	70.2318	70.3656	70.5015	70.6372	70.7738	70.9081	71.04	71.1811	71.3163
1833	Northern Africa and Western Asia	71.6487	71.9165	72.2018	72.3611	72.5246	72.692	72.8533	73.0176	73.1801	73.3397	73.499	73.6582	73.8201	73.9811	74.1377	74.3016	74.4599	74.6146	74.7711	74.923	75.0796	75.2312	75.3841	75.5372	75.6856	75.8343	75.9844	76.1322	76.2826	76.4251	76.5733	76.7186	76.8625	77.0028	77.1432	77.2866	77.4239	77.5636	77.7041	77.8401	77.9812	78.1216	78.2565	78.3955	78.5315	78.6639	78.7968	78.9326	79.0673	79.2031	79.3379	79.4677	79.5923	79.7154	79.8442	79.9722	80.0958	80.2225	80.351	80.4779	80.602	80.7285	80.8563	80.9835	81.1104	81.2371	81.3657	81.4915	81.6156	81.7372	81.8614	81.9868	82.1073	82.2277	82.3462	82.463	82.5792
1831	Central and Southern Asia	70.264	70.473	70.6705	70.8766	71.0624	71.2614	71.4533	71.6365	71.8271	72.0139	72.2088	72.3935	72.5813	72.7522	72.9399	73.1298	73.3236	73.5006	73.6811	73.8644	74.0511	74.2294	74.4152	74.5895	74.7652	74.9444	75.1192	75.2971	75.4719	75.6456	75.8096	75.9839	76.159	76.34	76.5127	76.6836	76.8487	77.0181	77.1853	77.3547	77.5218	77.6795	77.8508	78.0091	78.171	78.335	78.4915	78.65	78.8022	78.9649	79.1187	79.2676	79.4225	79.5779	79.7271	79.8769	80.0243	80.1765	80.3224	80.4689	80.6106	80.7464	80.8816	81.0183	81.1523	81.2786	81.4148	81.5445	81.68	81.8115	81.9432	82.0695	82.2015	82.3261	82.4523	82.5763	82.694
1832	Eastern and South-Eastern Asia	74.0062	74.3004	74.7884	74.9776	75.1625	75.3413	75.5278	75.7104	75.8914	76.0728	76.253	76.4306	76.6071	76.7843	76.9616	77.1292	77.3004	77.4641	77.6323	77.7969	77.9577	78.1158	78.2742	78.4308	78.5807	78.7267	78.8677	79.0068	79.1414	79.2755	79.4124	79.5462	79.6879	79.8254	79.9582	80.0921	80.2245	80.3624	80.5019	80.6364	80.7634	80.8934	81.0239	81.1509	81.2827	81.4064	81.5341	81.6594	81.7801	81.8958	82.0185	82.1393	82.2514	82.3655	82.4802	82.5889	82.6997	82.8125	82.9249	83.033	83.144	83.2562	83.3728	83.4827	83.5941	83.7024	83.8076	83.9172	84.0213	84.1258	84.2352	84.3388	84.4467	84.5473	84.6498	84.751	84.8535
1830	Latin America and the Caribbean	72.9474	73.1309	73.3117	73.4947	73.6784	73.8634	74.049	74.2345	74.4172	74.6027	74.7856	74.9731	75.1573	75.3392	75.5231	75.7068	75.8924	76.0774	76.2619	76.4423	76.6238	76.8046	76.986	77.1667	77.345	77.5212	77.6986	77.8748	78.0527	78.2253	78.394	78.5662	78.7395	78.9098	79.0803	79.2453	79.4095	79.5669	79.7314	79.8928	80.0505	80.2079	80.3603	80.5195	80.6709	80.8191	80.9687	81.1142	81.2618	81.4092	81.5503	81.6943	81.8355	81.9756	82.1138	82.2509	82.3862	82.5173	82.6493	82.7831	82.9172	83.0425	83.1681	83.2947	83.4215	83.5469	83.6702	83.7943	83.9143	84.0368	84.1515	84.2703	84.3901	84.506	84.624	84.7412	84.8552
1835	Oceania (excluding Australia and New Zealand)	65.3812	65.4978	65.6068	65.725	65.8352	65.9484	66.0475	66.1553	66.2697	66.3771	66.4774	66.5744	66.6782	66.7789	66.8703	66.9652	67.0561	67.1564	67.2355	67.3169	67.4145	67.5053	67.5824	67.6905	67.7808	67.8614	67.9476	68.0362	68.1286	68.2226	68.3113	68.403	68.5007	68.5955	68.7022	68.7941	68.8922	68.9854	69.0821	69.182	69.2876	69.3869	69.4905	69.5995	69.7115	69.8211	69.9311	70.0475	70.1514	70.2584	70.3724	70.4999	70.6097	70.7131	70.8265	70.9431	71.0618	71.1785	71.2979	71.4136	71.5376	71.6596	71.7803	71.9119	72.0455	72.1754	72.3068	72.4289	72.5603	72.6869	72.8062	72.9381	73.0697	73.1861	73.3148	73.4406	73.5788
1836	Australia/New Zealand	81.9948	82.1535	82.3113	82.471	82.6296	82.7842	82.928	83.0709	83.2102	83.3607	83.486	83.6371	83.7608	83.8956	84.0295	84.1507	84.2804	84.4118	84.5306	84.649	84.7869	84.9038	85.0175	85.1418	85.2654	85.3772	85.4907	85.6141	85.7213	85.8215	85.9402	86.0584	86.1631	86.2901	86.3956	86.5106	86.6248	86.7503	86.8545	86.9741	87.0768	87.1984	87.3151	87.4149	87.5141	87.6183	87.7061	87.8183	87.9143	88.028	88.1374	88.2493	88.342	88.4488	88.558	88.666	88.7702	88.8764	88.9787	89.0833	89.1869	89.2727	89.3741	89.4752	89.5783	89.6773	89.7914	89.8886	90.0005	90.0982	90.2078	90.3009	90.4081	90.5166	90.6213	90.713	90.8037
1829	Europe and Northern America	76.3399	76.5317	76.7157	76.9084	77.0922	77.2823	77.4759	77.6556	77.8433	78.0315	78.217	78.4031	78.5928	78.7788	78.9648	79.1402	79.3244	79.5051	79.6791	79.8545	80.0298	80.2045	80.3705	80.535	80.697	80.8601	81.0145	81.1756	81.3328	81.4828	81.6321	81.7895	81.9384	82.0852	82.2306	82.3775	82.5285	82.6744	82.8217	82.9676	83.1175	83.2633	83.408	83.5444	83.6839	83.8291	83.9695	84.1087	84.2429	84.3835	84.5195	84.648	84.7767	84.9107	85.0393	85.1611	85.2787	85.4025	85.5179	85.6335	85.7547	85.8717	85.9888	86.1045	86.2195	86.3317	86.445	86.5555	86.6721	86.7851	86.899	87.0115	87.1207	87.2368	87.3509	87.4614	87.577
5502	Europe, Northern America, Australia, and New Zealand	76.4734	76.6655	76.85	77.0429	77.2271	77.4173	77.6108	77.7905	77.978	78.1662	78.3512	78.5373	78.7264	78.9121	79.0977	79.2728	79.4566	79.637	79.8106	79.9856	80.161	80.3353	80.501	80.6655	80.8276	80.9904	81.1447	81.3058	81.4627	81.6124	81.7618	81.9191	82.0678	82.215	82.3601	82.5071	82.6579	82.804	82.9508	83.0968	83.2461	83.392	83.5366	83.6727	83.8118	83.9565	84.0961	84.2351	84.3689	84.5094	84.6452	84.7739	84.9021	85.0359	85.1645	85.2866	85.4044	85.5284	85.644	85.7599	85.8812	85.9978	86.115	86.2308	86.3461	86.4585	86.5725	86.6832	86.8003	86.9135	87.028	87.1404	87.2503	87.3668	87.4812	87.5917	87.707
901	More developed regions	77.0043	77.1894	77.3658	77.5502	77.7281	77.9116	78.0979	78.2717	78.4498	78.6314	78.8072	78.9868	79.1677	79.3454	79.5232	79.6913	79.8689	80.0407	80.2077	80.3761	80.5449	80.7129	80.8719	81.0323	81.1893	81.3472	81.496	81.6535	81.8049	81.9496	82.0965	82.2495	82.3946	82.5373	82.6803	82.8239	82.971	83.1128	83.2551	83.3987	83.5433	83.6866	83.8267	83.9596	84.0952	84.2369	84.3728	84.5091	84.6396	84.7772	84.9097	85.0372	85.1625	85.2932	85.4199	85.5389	85.6556	85.778	85.8919	86.0063	86.1264	86.2407	86.3572	86.4723	86.587	86.6991	86.8126	86.9229	87.0392	87.1517	87.2653	87.3769	87.4866	87.6024	87.7155	87.826	87.9399
902	Less developed regions	69.4911	69.7093	70.0057	70.1758	70.337	70.4994	70.6633	70.8236	70.9863	71.1469	71.31	71.4678	71.625	71.7785	71.9362	72.0893	72.2442	72.3904	72.5393	72.6842	72.8262	72.9651	73.1028	73.238	73.3685	73.4955	73.6196	73.7435	73.8638	73.9824	74.0994	74.2177	74.3387	74.4586	74.5761	74.6934	74.8094	74.9274	75.0449	75.1611	75.2775	75.3904	75.5058	75.619	75.7324	75.8433	75.9525	76.0622	76.1683	76.274	76.3777	76.4791	76.5804	76.6787	76.7771	76.8737	76.9697	77.0674	77.164	77.2606	77.3538	77.4451	77.5391	77.6332	77.7291	77.8204	77.9151	78.0093	78.1038	78.1968	78.2911	78.3828	78.4777	78.5677	78.6577	78.7512	78.8405
