country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	70.0335	71.9206	72.9576	73.8463	74.6378	75.386	76.1087	76.7788	77.3984	78.0235	78.5896	79.1343	79.6402	80.094	80.5796	81.1236
1834	Sub-Saharan Africa	59.5539	61.5368	62.699	63.7037	64.629	65.4916	66.2888	67.1078	67.9145	68.7209	69.5172	70.368	71.1054	71.8352	72.5838	73.3417
1833	Northern Africa and Western Asia	71.0416	73.0614	74.1684	75.1802	76.1396	77.0267	77.916	78.8029	79.5677	80.3936	81.2096	81.9049	82.5703	83.2104	83.8861	84.5416
1831	Central and Southern Asia	69.2355	72.2264	73.746	75.1056	76.3177	77.443	78.683	79.8207	80.8795	81.7699	82.5337	83.207	83.9399	84.6095	85.2518	85.9419
1832	Eastern and South-Eastern Asia	74.0515	76.0204	77.3984	78.5013	79.5414	80.3914	81.2489	82.0481	82.8047	83.5865	84.3305	85.0926	85.7606	86.4145	87.1331	87.7175
1830	Latin America and the Caribbean	71.6165	74.2467	75.4235	76.5896	77.7167	78.7344	79.6768	80.5934	81.4247	82.2257	83.0383	83.7706	84.4841	85.1614	85.8247	86.5225
1835	Oceania (excluding Australia and New Zealand)	64.9584	67.3177	68.5779	69.6356	70.4236	71.1393	71.9684	72.8009	73.6275	74.6834	75.5683	76.5207	77.4018	78.3144	79.2396	80.0863
1836	Australia/New Zealand	81.7126	83.7113	85.0363	86.1414	87.0979	88.0724	88.8837	89.6752	90.4339	91.2353	91.8882	92.6128	93.3585	94.0063	94.6588	95.4235
1829	Europe and Northern America	75.4193	77.5171	78.6822	79.8154	80.835	81.734	82.6553	83.5129	84.3374	85.123	85.9543	86.7275	87.4355	88.1549	88.8533	89.5275
5502	Europe, Northern America, Australia, and New Zealand	75.5619	77.6236	78.7598	79.8738	80.8883	81.8109	82.7265	83.5665	84.3931	85.2209	86.0496	86.7941	87.4932	88.1917	88.8489	89.5291
901	More developed regions	76.1536	78.1212	79.2569	80.3186	81.2593	82.1754	83.0359	83.8402	84.6399	85.4314	86.2275	86.9478	87.6849	88.386	89.0404	89.6951
902	Less developed regions	68.855	70.8341	71.9395	72.8928	73.7336	74.5143	75.2777	75.9568	76.568	77.2313	77.8037	78.3277	78.8364	79.2908	79.7648	80.2808
941	Least developed countries	63.3351	65.3385	66.3783	67.3279	68.2319	69.0957	69.9437	70.7538	71.4884	72.2366	72.9726	73.6764	74.3834	75.1161	75.8384	76.5117
934	Less developed regions, excluding least developed countries	70.1579	72.2277	73.3969	74.4285	75.3262	76.198	77.0281	77.7702	78.4786	79.2318	79.9119	80.5154	81.0739	81.6438	82.1683	82.706
948	Less developed regions, excluding China	67.2398	69.3327	70.3644	71.3002	72.1661	72.9914	73.8326	74.5986	75.3375	76.028	76.6435	77.2151	77.8242	78.3627	78.8839	79.4768
1636	Land-locked Developing Countries (LLDC)	62.9497	65.3138	66.4527	67.5364	68.5042	69.4366	70.2947	71.159	72.0813	73.0208	73.8262	74.7028	75.481	76.2844	77.0367	77.7619
2087	LLDC: Africa	61.0895	63.6531	64.9715	66.0855	67.1551	68.1534	69.1152	70.0669	71.0817	72.0621	72.9905	73.8628	74.7207	75.5627	76.4056	77.2053
2088	LLDC: Asia	67.0767	69.484	70.6907	71.7679	72.7123	73.611	74.5351	75.4164	76.3349	77.2414	78.125	79.0697	79.9841	80.763	81.5726	82.416
2089	LLDC: Europe	69.1782	71.6336	73.0435	74.3328	75.5738	76.7823	77.9295	79.1085	80.2282	81.2526	82.2848	83.2342	84.1431	84.9521	85.7985	86.5691
2090	LLDC: Latin America	65.9166	69.7832	71.0981	72.2282	73.2581	74.3864	75.3821	76.465	77.4451	78.5452	79.572	80.6218	81.6682	82.5398	83.3982	84.2595
1637	Small Island Developing States (SIDS)	69.1404	71.0806	72.1039	72.9602	73.7349	74.4034	75.0736	75.7551	76.35	76.9609	77.6114	78.1659	78.7657	79.3909	80.0565	80.7069
2091	SIDS Caribbean	69.3066	71.5101	72.6406	73.6297	74.5569	75.4095	76.1748	76.9191	77.6904	78.3963	79.1709	80.0442	80.9044	81.7172	82.4795	83.2426
2092	SIDS Pacific	65.0004	67.2422	68.4703	69.4932	70.353	71.1895	71.9807	72.8702	73.7317	74.6732	75.4782	76.4149	77.3148	78.2919	79.2244	80.2027
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	73.4566	75.6866	77.0062	78.0847	78.9145	79.6396	80.3966	81.2393	81.8408	82.3926	82.9945	83.5595	84.0679	84.5832	85.147	85.7991
5503	High-and-upper-middle-income countries	74.5711	76.542	77.7165	78.7732	79.7235	80.5971	81.4423	82.1965	82.9524	83.6929	84.3606	85.062	85.6865	86.2808	86.8956	87.4904
5504	Low-and-Lower-middle-income countries	65.9262	68.1176	69.2221	70.2273	71.1224	71.9686	72.8502	73.6425	74.3728	75.0604	75.7022	76.2949	76.8257	77.3979	77.9336	78.4938
1503	High-income countries	78.2827	80.0957	81.1896	82.164	83.0145	83.8553	84.6215	85.347	86.0771	86.8176	87.5459	88.1882	88.8463	89.4879	90.1124	90.6594
1859	Low-and-middle-income countries	68.4435	70.4416	71.5303	72.5044	73.353	74.1452	74.8975	75.563	76.1596	76.8053	77.3959	77.9455	78.4429	78.915	79.4108	79.9288
1517	Middle-income countries	69.4261	71.5015	72.6994	73.7473	74.6492	75.5309	76.3451	77.0798	77.7902	78.5126	79.2015	79.7968	80.3676	80.9537	81.449	81.9733
1502	Upper-middle-income countries	72.7325	74.9809	76.3913	77.5943	78.6463	79.5859	80.5352	81.3865	82.1985	82.9188	83.6455	84.3846	85.0414	85.6441	86.2555	86.7888
1501	Lower-middle-income countries	66.9857	69.3302	70.5432	71.634	72.6422	73.5501	74.5096	75.3719	76.2071	77.0246	77.7277	78.4159	79.0423	79.6103	80.1302	80.7192
1500	Low-income countries	61.8286	63.9658	64.9939	65.9688	66.8552	67.7347	68.5303	69.3253	70.1395	70.9432	71.7282	72.4974	73.2642	74.0084	74.7735	75.5385
1518	No income group available	68.8969	71.2254	72.7882	74.0604	75.3413	76.7236	77.9915	79.2203	80.3509	81.3701	82.2119	83.0815	83.8201	84.6397	85.3822	86.2022
903	Africa	61.2512	63.1337	64.2118	65.2026	66.1092	66.9369	67.7293	68.5167	69.2867	70.0136	70.7627	71.5278	72.2733	72.9719	73.6627	74.3615
910	Eastern Africa	62.4043	64.4847	65.7349	66.8517	67.8624	68.9108	69.8199	70.7516	71.7044	72.621	73.571	74.4603	75.353	76.2102	77.1265	77.9938
108	Burundi	61.4833	64.3456	65.9685	67.2662	68.4789	69.5545	70.548	71.5416	72.4661	73.4071	74.3319	75.3665	76.3851	77.4776	78.5423	79.5288
174	Comoros	64.7662	67.7553	69.5518	71.0588	72.4142	73.6986	74.9435	76.2169	77.4861	78.7063	79.935	81.1251	82.2239	83.2743	84.2047	85.0444
262	Djibouti	63.2614	66.4317	68.2288	69.738	71.0915	72.3415	73.5281	74.7807	76.0467	77.2252	78.4495	79.7179	80.8804	82.0035	82.9496	83.8724
232	Eritrea	66.2897	69.5967	71.4974	73.143	74.6921	76.1084	77.4767	78.8149	80.1206	81.4113	82.6602	83.7042	84.6743	85.569	86.3853	87.0847
231	Ethiopia	63.9624	67.2611	69.3522	71.1415	72.7815	74.2699	75.7443	77.1912	78.6003	79.9624	81.1838	82.28	83.328	84.2411	85.1272	85.9586
404	Kenya	61.1437	64.2227	65.8648	67.179	68.26	69.2659	70.2039	71.1395	72.0965	73.0298	73.9201	74.891	75.919	76.9856	78.163	79.2732
450	Madagascar	61.9557	64.8291	66.5604	67.9116	69.1276	70.2138	71.2546	72.2475	73.2395	74.2458	75.2813	76.2603	77.2962	78.3992	79.5233	80.4754
454	Malawi	63.473	66.8448	68.5254	69.9762	71.3007	72.5338	73.8597	75.0995	76.3614	77.5459	78.7687	79.9532	81.0725	82.0853	83.048	83.9159
480	Mauritius	71.4315	74.3415	76.0036	77.5467	78.9807	80.3905	81.6642	82.8204	83.8474	84.8774	85.8509	86.7885	87.6529	88.4538	89.2827	90.1154
175	Mayotte	73.4623	76.5306	78.2083	79.6829	81.0929	82.4329	83.6475	84.6992	85.6811	86.5735	87.4455	88.2127	88.9862	89.7254	90.458	91.1878
508	Mozambique	59.8213	63.1619	64.9265	66.4139	67.691	68.8461	69.9562	71.0482	72.0342	73.12	74.1449	75.1807	76.2238	77.3739	78.5068	79.6138
638	Réunion	79.9025	82.5697	83.8701	84.9689	85.9677	86.954	87.8455	88.7041	89.5531	90.3585	91.1376	91.8992	92.7288	93.4178	94.114	94.8726
646	Rwanda	65.6285	68.4215	70.2354	71.79	73.2355	74.5377	75.8136	77.0681	78.296	79.5493	80.7149	81.8765	82.8896	83.873	84.7954	85.6493
