country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	71.111	71.457	71.816	72.074	72.302	72.546	72.792	72.956	73.19	73.426	73.591	73.784	73.964	74.158	74.356	74.567	74.727	74.862	75.037	75.16	75.347	75.51	75.67	75.839	75.94	76.094	76.29	76.443	76.557	76.714	76.863	76.967	77.128	77.242	77.396	77.545	77.718	77.847	77.991	78.114	78.26	78.337	78.533	78.637	78.763	78.902	79.033	79.175	79.261	79.342	79.43	79.544	79.66	79.802	79.892	80.026	80.085	80.204	80.25	80.364	80.475	80.584	80.67	80.798	80.863	80.989	81.113	81.243	81.341	81.391	81.509	81.641	81.77	81.866	81.946	82.032	82.13
1834	Sub-Saharan Africa	60.706	61.085	61.415	61.688	61.979	62.232	62.556	62.828	62.999	63.236	63.506	63.723	63.944	64.166	64.385	64.58	64.737	64.983	65.182	65.364	65.559	65.792	65.889	66.058	66.236	66.497	66.659	66.809	66.96	67.08	67.296	67.506	67.631	67.84	68.088	68.216	68.368	68.555	68.742	68.884	69.048	69.266	69.364	69.579	69.72	69.928	70.145	70.357	70.493	70.652	70.878	71.03	71.272	71.396	71.576	71.681	71.823	71.989	72.132	72.243	72.401	72.562	72.715	72.856	73.007	73.13	73.313	73.485	73.656	73.797	73.939	74.152	74.284	74.537	74.67	74.796	75.037
1833	Northern Africa and Western Asia	72.115	72.565	72.985	73.26	73.555	73.815	74.103	74.33	74.521	74.781	75.039	75.263	75.518	75.687	75.886	76.121	76.3	76.503	76.7	76.877	77.085	77.283	77.47	77.646	77.778	77.969	78.204	78.401	78.585	78.886	79.028	79.203	79.403	79.553	79.757	79.904	80.078	80.236	80.343	80.48	80.711	80.908	81.067	81.262	81.407	81.589	81.756	81.909	82.024	82.286	82.416	82.472	82.663	82.788	82.889	83.105	83.266	83.386	83.535	83.709	83.878	84.033	84.152	84.261	84.389	84.468	84.571	84.724	84.873	85.006	85.133	85.291	85.394	85.55	85.571	85.837	85.917
1831	Central and Southern Asia	71.222	71.705	72.241	72.636	73.044	73.484	73.85	74.123	74.555	74.75	75.03	75.372	75.641	76.044	76.298	76.641	76.837	77.188	77.427	77.605	77.942	78.107	78.414	78.651	78.773	78.977	79.301	79.669	80.029	80.158	80.513	80.681	80.915	81.105	81.337	81.536	81.677	81.894	82.034	82.335	82.536	82.883	83.034	83.248	83.382	83.632	83.859	84.056	84.073	84.212	84.291	84.393	84.542	84.899	85.049	85.077	85.275	85.394	85.565	85.752	85.89	85.927	86.162	86.271	86.491	86.535	86.747	86.91	87.174	87.182	87.362	87.33	87.43	87.653	87.746	87.998	88.008
1832	Eastern and South-Eastern Asia	74.982	75.476	76.049	76.377	76.682	77.015	77.32	77.665	77.877	78.224	78.435	78.731	79.008	79.288	79.487	79.755	79.966	80.189	80.468	80.551	80.745	80.971	81.205	81.34	81.514	81.712	81.807	82.041	82.186	82.43	82.537	82.683	82.878	83.033	83.254	83.485	83.702	83.842	83.975	84.139	84.308	84.526	84.656	84.778	84.918	85.132	85.208	85.275	85.502	85.704	85.887	86.144	86.28	86.39	86.483	86.707	86.864	87.075	87.172	87.348	87.422	87.615	87.78	87.808	87.912	88.087	88.262	88.393	88.642	88.808	88.96	89.056	89.209	89.376	89.46	89.739	89.86
1830	Latin America and the Caribbean	73.431	73.804	74.124	74.456	74.731	75.026	75.316	75.624	75.808	76.082	76.332	76.567	76.827	77.01	77.289	77.574	77.794	78.047	78.25	78.493	78.674	78.948	79.096	79.378	79.56	79.822	79.988	80.188	80.507	80.577	80.793	80.996	81.134	81.323	81.472	81.68	81.768	81.971	82.202	82.35	82.494	82.634	82.817	82.992	83.237	83.311	83.446	83.663	83.836	83.965	84.141	84.332	84.498	84.643	84.846	84.95	85.065	85.171	85.276	85.43	85.622	85.779	85.938	86.077	86.24	86.426	86.581	86.705	86.833	86.903	87.108	87.261	87.437	87.578	87.774	87.878	88.037
1835	Oceania (excluding Australia and New Zealand)	66.574	67.048	67.63	68.045	68.29	68.68	69.039	69.412	69.568	69.901	70.189	70.409	70.612	70.971	71.175	71.387	71.606	71.747	72.008	72.297	72.362	72.504	72.725	72.98	73.104	73.426	73.641	73.729	73.9	74.202	74.229	74.575	74.793	74.858	75.148	75.302	75.598	75.743	75.926	76.057	76.318	76.485	76.672	76.833	77.236	77.416	77.597	77.786	78.104	78.237	78.495	78.671	78.757	78.96	79.359	79.405	79.501	79.66	79.937	80.286	80.508	80.508	80.683	81.042	81.129	81.216	81.402	81.821	81.848	82.155	82.475	82.531	82.685	82.908	83.092	83.168	83.378
1836	Australia/New Zealand	82.867	83.32	83.798	84.196	84.504	84.866	85.145	85.502	85.803	86.03	86.32	86.592	86.966	87.2	87.407	87.68	87.892	88.057	88.297	88.453	88.659	88.886	89.144	89.401	89.682	89.889	90.044	90.304	90.433	90.679	90.798	90.939	90.997	91.142	91.33	91.611	91.767	91.832	92.053	92.284	92.456	92.579	92.936	92.805	92.982	93.277	93.509	93.601	93.79	93.95	94.078	94.331	94.345	94.597	94.703	94.972	95.068	95.432	95.377	95.536	95.731	95.925	96.012	96.302	96.442	96.581	96.787	96.73	96.91	97.016	97.385	97.428	97.651	97.8	98.013	98.301	98.375
1829	Europe and Northern America	76.751	77.073	77.38	77.629	77.909	78.182	78.438	78.677	78.954	79.219	79.45	79.69	79.953	80.114	80.388	80.63	80.845	81.045	81.272	81.505	81.802	81.992	82.143	82.344	82.492	82.688	82.953	83.136	83.299	83.485	83.741	83.791	83.957	84.233	84.361	84.527	84.729	84.887	85.139	85.354	85.48	85.612	85.732	85.903	86.092	86.271	86.455	86.643	86.769	86.975	87.177	87.228	87.454	87.603	87.786	87.873	88.079	88.269	88.344	88.505	88.658	88.813	88.992	89.122	89.268	89.45	89.649	89.893	89.989	90.092	90.324	90.38	90.55	90.604	90.842	91.037	91.104
5502	Europe, Northern America, Australia, and New Zealand	76.874	77.186	77.467	77.731	78.02	78.275	78.514	78.75	79.017	79.273	79.526	79.765	79.988	80.163	80.442	80.66	80.879	81.09	81.299	81.534	81.824	82.007	82.196	82.396	82.591	82.744	82.978	83.156	83.358	83.535	83.749	83.894	84.042	84.243	84.386	84.546	84.791	84.938	85.222	85.369	85.528	85.65	85.783	85.973	86.112	86.307	86.519	86.674	86.901	87.092	87.274	87.331	87.531	87.668	87.851	87.946	88.085	88.263	88.405	88.5	88.628	88.868	88.98	89.147	89.245	89.463	89.623	89.823	89.982	90.071	90.178	90.3	90.516	90.558	90.766	90.932	91.066
