country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
900	World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2023
1834	Sub-Saharan Africa	-55.532	-78.544	-121.071	-210.566	-192.873	-198.159	-198.767	-208.378	-322.358	-162.263	-102.701	-77.295	-91.311	-77.799	-20.253	-8.582	-12.392	38.871	37.055	-30.248	-8.142	-170.378	-174.402	-11.294	53.833	-21.218	-211.572	-540.849	390.755	-39.144	-367.331	403.224	468.147	-100.008	375.965	391.025	306.404	332.483	-43.67	105.564	-126.314	-297.243	41.419	160.065	-137.127	-40.578	-501.425	-446.817	84.307	-412.531	-489.565	-411.68	-344.373	-319.326	-317.017	-509.147	-583.56	-542.354	-619.718	-648.817	-388.095	-599.041	-462.452	-270.035	-679.698	-170.043	-841.979	-187.146	11.137	-137.104	370.895	5.857	-277.473	684.709	2023
1833	Northern Africa and Western Asia	89.142	91.048	94.422	83.969	58.468	37.148	132.605	87.379	22.997	44.604	-18.925	-110.119	-72.568	-120.492	-143.7	-212.87	2.764	10.932	38.772	0.38	-127.96	-125.349	-160.056	15.118	-163.898	178.651	285.391	124.495	205.198	-3.423	285.075	55.446	212.855	163.002	172.615	-121.099	2.058	-102.161	-99.817	-50.32	-1245.916	204.567	-164.399	290.392	-239.823	-201.399	-316.17	-205.084	-198.304	-208.413	129.949	70.612	267.428	37.965	298.493	393.166	588.21	917.746	1008.057	597.892	269.318	596.528	869.576	1141.932	1620.153	1469.284	386.286	-369.282	-463.409	-102.81	-303.29	467.164	2612.93	134.225	2023
1831	Central and Southern Asia	179.101	348.869	351.796	29.367	238.821	177.344	262.882	-350.542	264.926	255.126	316.186	476.573	147.642	263.336	127.837	72.144	-324.581	186.96	-778.046	-791.155	312.129	-682.303	-268.789	-402.97	147.108	127.402	-53.962	343.188	-524.038	152.336	-425.383	-318.572	-406.139	-359.75	-635.392	-603.797	-701.507	-766.74	-720.715	-640.07	-710.208	-582.627	-467.608	-1476.527	-1526.192	-958.698	-967.217	-873.829	-810.427	-574.765	-1245.924	-993.604	-2355.517	-1142.015	-1153.214	-1574.872	-1391.52	-2962.256	-2624.18	-1956.755	-2200.272	-2157.743	-3115.239	-3396.431	-3357.471	-4331.459	-3552.971	-3253.28	-3308.491	-2981.658	-1477.343	-1971.762	-3828.96	-3386.165	2023
1832	Eastern and South-Eastern Asia	152.087	178.844	218.852	261.249	266.982	275.601	261.55	256.186	97.608	127.987	-124.161	-405.964	-473.541	-500.745	-214.456	-351.025	-201.382	-244.856	150.828	158.446	-221.504	-378.712	-402.564	-520.762	-476.411	-380.307	-288.324	-139.619	-243.289	-464.296	-406.222	-315.246	-226.335	55.934	-89.753	-101.761	47.635	173.333	-11.43	-158.576	356.622	-840.5	171.264	-403.464	-430.926	-47.207	275.356	346.033	442.54	-295.628	-188.979	-461.223	-1183.256	-1122.946	-1218.703	-486.529	-572.221	-432.584	-377.597	-100.479	67.144	-172.036	562.418	87.987	-97.741	-498.684	329.227	313.284	212.283	-178.119	-108.561	-602.763	-48.063	-472.622	2023
1830	Latin America and the Caribbean	-79.941	-98.623	-130.56	-170.994	-193.481	-216.18	-236.803	-258.716	-292.391	-290.267	-301.052	-277.084	-306.165	-323.835	-342.502	-353.391	-371.677	-384.448	-406.832	-433.869	-481.67	-539.865	-561.615	-574.226	-608.305	-661.674	-702.018	-670.184	-674.956	-691.836	-695.702	-846.048	-795.161	-737.526	-748.399	-771.188	-879.01	-821.903	-761.478	-781.331	-672.564	-840.135	-710.467	-891.635	-865.684	-886.414	-890.27	-889.674	-737.047	-855.159	-989.551	-1061.107	-1069.415	-1092.773	-1082.659	-1091.858	-1012.108	-876.893	-874.988	-901.064	-888.119	-824.24	-821.7	-766.909	-811.052	-817.747	-590.642	-773.352	-761.261	-872.272	-608.019	-553.736	-395.977	-372.548	2023
1835	Oceania (excluding Australia and New Zealand)	-8.487	-7.927	-7.408	-6.623	-6.372	-5.708	-4.728	-6.111	-6.183	-6.583	-6.928	-15.13	-16.481	-18.943	-21.626	-22.817	-23.674	-29.596	-29.235	-27.763	-26.417	-27.212	-29.642	-31.76	-31.631	-32.798	-34.611	-36.144	-36.088	-36.116	-34.097	-32.998	-34.122	-34.63	-35.319	-35.158	-37.363	-41.643	-44.631	-38.629	-19.639	2.731	12.927	13.323	14.013	15.418	21.957	27.457	27.076	25.351	17.605	15.536	16.217	16.526	16.229	15.855	16.304	16.389	12.936	15.895	27.693	18.135	14.935	12.654	8.508	3.593	1.923	0.773	-2.643	-11.793	-6.178	-9.172	-16.319	-15.798	2023
1836	Australia/New Zealand	150.973	128.931	94.469	69.119	82.508	102.754	103.256	89.441	83.554	85.593	89.553	75.184	71.012	83.463	101.394	128.136	120.025	78.615	89.11	103.558	260.806	231.538	72.674	91.189	83.747	38.532	23.654	22.249	17.049	25.443	73.766	114.315	119.704	84.715	78.716	84.865	102.827	128.79	136.325	135.224	170.525	100.003	47.227	36.471	72.361	107.199	108.134	79.701	79.923	85.266	104.582	135.345	157.047	146.893	134.593	150.583	206.527	252.926	280.577	248.328	173.474	195.461	234.761	242.208	258.151	283.22	330.16	323.372	285.551	276.912	86.571	101.824	162.376	161.636	2023
1829	Europe and Northern America	-427.343	-562.599	-500.5	-55.521	-254.054	-172.8	-319.995	390.741	151.847	-54.196	148.029	333.836	741.411	695.014	513.305	748.405	810.918	343.522	898.349	1020.651	292.758	1692.283	1524.395	1434.706	995.557	751.411	981.441	896.865	865.369	1057.036	1569.893	939.879	661.051	928.263	881.568	1157.113	1158.956	1097.839	1545.416	1428.138	2247.493	2253.205	1069.638	2271.374	3113.379	2011.679	2269.636	1962.213	1111.933	2235.88	2661.884	2706.122	4511.87	3475.675	3322.277	3102.802	2748.369	3627.025	3194.913	2745.001	2938.857	2942.936	2717.7	2948.595	3059.149	4061.836	3937.995	3945.631	4026.833	4006.845	2045.925	2562.589	1791.49	3266.569	2023
5502	Europe, Northern America, Australia, and New Zealand	-276.371	-433.668	-406.031	13.598	-171.546	-70.045	-216.739	480.182	235.401	31.397	237.582	409.02	812.423	778.478	614.699	876.541	930.943	422.136	987.458	1124.209	553.564	1923.82	1597.069	1525.894	1079.304	789.943	1005.095	919.114	882.417	1082.479	1643.659	1054.194	780.755	1012.979	960.284	1241.978	1261.783	1226.63	1681.741	1563.361	2418.019	2353.208	1116.865	2307.846	3185.74	2118.878	2377.77	2041.914	1191.856	2321.146	2766.465	2841.467	4668.917	3622.568	3456.87	3253.384	2954.895	3879.952	3475.49	2993.329	3112.331	3138.397	2952.461	3190.803	3317.3	4345.056	4268.155	4269.002	4312.385	4283.757	2132.496	2664.413	1953.866	3428.205	2023
