country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834	Sub-Saharan Africa	1371.995	1124.032	1057.465	1305.409	1283.654	1448.966	1389.993	1537.226	1555.872	1500.844	1620.837	1614.83	1696.889	1791.809	1836.438	1933.359	1932.75	1854.529	1990.75	1976.818	1920.802	1928.38	2149.333	2244.688	2200.31	2227.682	2100.653	2316.553	2222.231	2327.199	2270.763	2464.295	2383.823	2314.614	2609.71	2640.725	2664.851	2780.443	2785.395	2553.091	2745.336	2799.1	2805.096	2790.345	2546.784	3001.892	3070.007	2935.631	3085.178	3060.807	3214.219	3100.448	3338.339	3367.324	3575.335	3317.951	3545.071	3455.992	3563.47	3688.858	3577.92	3954.895	3996.192	3853.414	3703.495	4209.71	4040.727	4072.371	4163.727	3990.397	4152.363	4138.955	4312.219	4031.682	4261.708	4502.564	4257.274
1833	Northern Africa and Western Asia	1172.4	1595.928	1786.175	1378.42	1331.998	1260.491	1102.26	1134.258	1133.708	1196.789	1172.588	1218.5	1288.595	1250.006	1391.265	1367.026	1409.464	1378.286	1410.596	1454.193	1463.59	1480.242	1433.943	1503.693	1542.853	1571.905	1599.608	1634.919	1727.295	1785.116	1864.39	1774.119	1785.02	1755.142	1888.655	1833.827	1921.745	1899.053	1958.579	1941.927	2076.884	1981.803	2098.942	1830.39	1964.988	1853.441	1988.902	2066.194	2069.365	1998.509	2014.749	1962.263	2170.129	2014.727	2093.208	2263.129	2296.277	2410.504	2355.802	2155.149	2274.244	2384.122	2362.503	2382.261	2295.847	2315.012	2258.457	2513.234	2502.309	2671.006	2509.028	2507.245	2583.616	2520.64	2722.773	2656.589	2694.198
1831	Central and Southern Asia	-1233.073	-674.28	-326.971	87.121	345.101	607.805	801.927	799.066	967.985	929.773	1052.654	1035.04	1231.234	1286.808	1429.021	1452.974	1509.449	1604.187	1500.011	1431.86	1508.831	1635.214	1691.049	1683.001	1828.642	1981.562	1877.848	1899.276	2090.998	2203.326	2339.374	2531.337	2511.675	2384.52	2415.123	2371.617	2260.89	2417.146	2419.229	2649.834	2827.892	2884.652	3057.21	2804.085	3170.567	3050.75	3013.838	2841.888	3206.769	3263.826	3133.054	3237.968	3476.648	3770.938	3345.414	3341.516	3506.945	3467.011	3619.233	3444.943	3936.454	3779.388	3811.767	4088.811	3878.98	3773.791	3780.437	3914.841	4021.601	4060.765	4085.131	3934.761	4213.392	4100.378	3962.05	4516.652	4047.762
1832	Eastern and South-Eastern Asia	1138.477	1102.765	1172.991	1126.599	1115.243	1188.055	1245.831	1261.952	1215.427	1212.135	1199.233	1254.474	1234.579	1240.105	1243.186	1342.064	1272.865	1280.613	1224.07	1264.685	1366.744	1239.099	1320.392	1260.409	1317.614	1298.777	1285.674	1226.193	1264.826	1297.239	1256.44	1328.502	1391.9	1286.126	1258.528	1270.742	1254.795	1330.236	1295.995	1307.148	1314.303	1297.201	1270.669	1281.206	1324.896	1297.895	1233.494	1334.831	1256.389	1322.359	1334.014	1267.515	1344.849	1256	1284.878	1240.792	1248.174	1274.219	1282.07	1323.911	1241.366	1251.014	1307.87	1286.151	1373.623	1285.311	1278.365	1254.756	1329.917	1241.299	1284.798	1254.805	1308.897	1214.091	1308.591	1295.14	1361.035
1830	Latin America and the Caribbean	-142.903	-94.309	-42.357	18.952	52.104	88.363	130.638	150.089	172.87	201.404	237.505	280.603	268.98	308.188	320.988	319.739	317.338	369.396	385.589	366.571	385.95	430.269	462.467	464.88	453.679	419.564	495.676	490.607	486.029	443.462	499.972	491.307	511.086	506.097	516.319	538.645	486.967	551.33	538.943	574.006	523.627	525.659	546.85	541.91	550.443	605.455	603.53	634.641	629.356	600.611	628.557	649.455	636.162	622.293	631.174	580.678	603.156	660.157	647.53	664.91	656.027	640.15	636.009	676.972	666.364	635.243	691.069	656.331	729.625	708.393	700.366	685.394	709.021	756.257	722.803	725.62	698.811
1835	Oceania (excluding Australia and New Zealand)	1.808	10.652	14.52	21.214	24.849	30.981	34.692	35.248	40.725	41.93	48.414	50.172	54.407	56.694	60.613	58.351	62.994	65.817	68.218	73.151	77.499	79.493	83.593	81.416	84.703	87.079	90.088	92.868	95.659	102.33	105.429	100.23	102.382	104.849	113.767	109.281	110.99	112.824	117.48	121.554	133.106	133.591	136.926	139.865	141.948	145.333	144.166	141.316	147.244	138.73	143.109	151.873	150.029	152.233	151.804	158.074	170.363	166.129	158.76	164.721	160.234	168.247	161.932	162.349	164.293	174.741	172.401	178.16	179.086	173.27	181.471	180.687	192.652	183.682	177.016	191.467	182.748
1836	Australia/New Zealand	247.998	450.412	488.986	485.428	295.349	302.507	306.594	318.167	316.805	319.152	319.939	335.954	347.125	340.875	348.004	343.458	355.582	341.912	362.559	365.759	369.328	375.488	388.923	372.404	395.202	389.981	389.925	399.374	386.164	394.645	401.945	411.078	410.754	411.938	420.001	412.223	411.211	424.744	412.322	424.199	432.803	442.255	450.112	441.39	445.169	445.567	445.91	430.855	452.702	457.867	456.951	453.998	451.615	459.241	455.513	455.162	447.868	482.739	467.43	478.962	465.865	471.248	474.26	495.784	502.108	491.9	487.701	512.601	501.477	497.237	491.126	498.368	512.803	510.312	502.489	496.894	520.168
1829	Europe and Northern America	4270.161	4381.673	3840.067	3782.96	3802.404	3760.066	3868.416	3835.992	3843.982	3805.347	3891.434	3870.191	3902.725	3922.216	3906.736	3901.249	3936.606	3923.096	4000.808	3928.981	3973.273	3998.758	4010.262	4164.25	4111.334	4009.702	4084.793	4162.412	4213.352	4139.501	4075.314	3967.948	4125.519	4222.549	4219.285	4201.653	4103.671	4237.106	4319.812	4236.784	4236.565	4219.47	4246.371	4317.744	4264.486	4377.91	4275.568	4345.732	4290.346	4361.19	4332.232	4594.063	4518.594	4329.615	4444.24	4360.436	4378.879	4585.831	4411.751	4403.822	4424.348	4335.109	4422.824	4476.876	4507.77	4378.827	4338.594	4499.836	4496.698	4556.97	4657.746	4545.346	4487.582	4505.265	4531.33	4566.888	4452.65
5502	Europe, Northern America, Australia, and New Zealand	4923.047	5059.815	4210.071	4150.902	3885.858	3938.503	3989.04	3948.762	3882.33	3857.85	3918.561	3901.464	3917.696	3864.656	3892.468	3962.931	4004.484	3862.392	3897.687	3924.651	3959.766	3884.635	4050.815	4025.329	4033.139	3963.004	3991.711	4029.782	4079.115	4160.916	4055.31	4099.462	4151.231	4160.33	4110.481	4169.377	4151.723	4158.77	4204.486	4151.513	4188.726	4125.363	4172.633	4211.316	4300.902	4218.841	4226.415	4246.052	4259.357	4269.039	4290.218	4338.957	4373.18	4221.985	4300.558	4295.421	4197.308	4370.785	4413.321	4323.507	4327.722	4323.63	4438.856	4510.59	4422.609	4433.315	4460.22	4464.639	4528.478	4638.427	4641.581	4625.348	4603.613	4550.314	4658.107	4635.663	4626.44
