country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834	Sub-Saharan Africa	-2455.637	-3078.661	-3130.705	-2967.332	-3316.425	-3219.174	-3326.233	-3533.085	-3555.562	-3724.2	-3623.034	-3742.715	-3919.529	-3851.614	-4036.129	-4135.081	-4173.328	-4138.651	-4233.853	-4256.909	-4523.002	-4699.597	-4755.768	-4595.672	-4819.143	-5038.261	-5024.225	-4919.548	-5108.002	-5478.749	-5938.194	-5456.361	-5441.526	-5718.406	-5368.554	-5521.433	-5518.579	-5660.244	-5821.998	-6224.209	-6096.051	-6551.503	-6298.924	-6367.591	-7037.689	-7011.651	-6994.005	-6609.743	-7057.629	-7213.774	-6784.033	-7175.144	-7263.51	-7071.88	-7030.565	-7675.608	-7334.249	-7793.187	-7870.785	-7427.213	-7998.531	-8110.905	-8124.928	-8375.959	-8700.161	-8118.972	-8324.473	-8383.487	-8230.919	-8410.328	-8589.711	-8313.062	-8467.798	-9498.656	-8935.008	-8989.871	-8915.572
1833	Northern Africa and Western Asia	-1392.553	-1487.852	-1379.64	-1941.234	-2182.205	-2262.031	-2488.075	-2372.139	-2329.532	-2525.27	-2688.497	-2567.735	-2657.347	-2764.024	-2834.036	-2795.29	-2932.763	-2846.792	-2920.924	-2820.467	-2833.437	-3032.677	-3192.7	-3081.256	-3195.819	-2982.455	-3130.482	-3194.492	-3261.557	-3181.521	-3230.497	-3204.516	-3212.023	-3439.583	-3485.349	-3416.276	-3216.694	-3536.616	-3525.013	-3882.112	-3603.936	-3709.838	-3722.063	-3915.221	-3589.957	-3762.572	-3965.596	-3848.257	-3837.291	-4269.162	-4344.727	-4374.605	-4253.531	-4401.238	-4130.282	-4130.499	-4228.254	-4155.086	-4126.06	-4310.378	-4277.629	-4158.459	-4151.526	-4124.152	-4218.023	-4221.296	-4506.22	-4314.99	-4468.413	-4517.668	-4665.362	-4791.808	-4819.102	-4853.466	-4655.039	-4955.091	-5070.915
1831	Central and Southern Asia	-5185.769	-5248.842	-5205.06	-4866.467	-4843.202	-4798.413	-4718.769	-4979.353	-4776.778	-5123.316	-5191.878	-5144.603	-5430.533	-5512.222	-5388.672	-5703.562	-5682.969	-5732.326	-5965.385	-5747.701	-5816.42	-5925.328	-5920.426	-6271.221	-6041.738	-5908.399	-6209.679	-6644.48	-6557.744	-6479.819	-6494.552	-6086.587	-6531.01	-6567.694	-7166.143	-7286.936	-7110.219	-7345.979	-7675.672	-7308.589	-7519.16	-7216.871	-7622.766	-7771.088	-7408.234	-7295.884	-7518.896	-8045.458	-7744.089	-7427.356	-8104.444	-7906.092	-8022.465	-7875.753	-8156.26	-8600.233	-8660.268	-8965.248	-8674.516	-8752.591	-9129.707	-9315.91	-9827.318	-9554.563	-9045.162	-9765.819	-10185.25	-9027.272	-9921.104	-9982.417	-10072.424	-9815.59	-10092.257	-10659.014	-10407.661	-11016.858	-10134.824
1832	Eastern and South-Eastern Asia	-1956.302	-1854.58	-1946.842	-1882.835	-1958.859	-2023.422	-1998.896	-2034.311	-2121.554	-2071.135	-2054.798	-2109.276	-2278.069	-2291.242	-2182.666	-2240.952	-2283.27	-2388.538	-2154.996	-2193.035	-2159.663	-2226.236	-2149.011	-2344.92	-2308.463	-2256.61	-2195.779	-2225.301	-2314.818	-2320.078	-2258.733	-2237.153	-2167.806	-2250.636	-2210.964	-2228.5	-2262.71	-2330.66	-2213.204	-2301.307	-2234.188	-2201.506	-2229.138	-2245.49	-2211.016	-2213.722	-2256.582	-2193.203	-2175.428	-2201.782	-2285.134	-2342.724	-2040.429	-2288.516	-2189.349	-2402.586	-2235.118	-2218.783	-2283.688	-2184.901	-2308.63	-2218.888	-2099.943	-2164.515	-2163.827	-2174.442	-2295.814	-2220.272	-2104.562	-2067.385	-2112.7	-2074.55	-2144.733	-2223.471	-2126.61	-2222.554	-2047.799
1830	Latin America and the Caribbean	-790.449	-939.434	-1055.088	-1094.103	-1131.098	-1128.423	-1144.431	-1174.312	-1201.976	-1199.558	-1204.167	-1226.344	-1234.057	-1194.573	-1320.071	-1275.092	-1279.635	-1275.771	-1256.225	-1315.404	-1294.252	-1331.579	-1287.569	-1344.584	-1356.914	-1323.627	-1350.869	-1380.487	-1352.391	-1365.196	-1322.396	-1318.608	-1380.184	-1336.067	-1421.686	-1434.757	-1400.641	-1425.5	-1457.831	-1374.695	-1417.405	-1457.376	-1449.858	-1482.154	-1493.427	-1444.206	-1431.193	-1407.897	-1449.98	-1475.793	-1408.456	-1439.408	-1426.77	-1497.812	-1480.437	-1444.24	-1406.195	-1406.564	-1414.765	-1302.217	-1358.789	-1302.439	-1365.873	-1379.067	-1370.584	-1380.178	-1386.186	-1434.16	-1382.146	-1387.065	-1478.308	-1395.228	-1449.316	-1413.709	-1417.167	-1402.38	-1357.782
1835	Oceania (excluding Australia and New Zealand)	-44.587	-55.695	-64.505	-69.447	-76.171	-83.319	-86.879	-94.219	-94.129	-100.385	-103.479	-104.067	-107.62	-110.822	-117.013	-122.785	-128.298	-130.661	-134.181	-133.867	-133.512	-136.21	-136.93	-148.185	-155.351	-152.018	-154.338	-156.53	-162.149	-166.19	-168.827	-170.127	-169.641	-169.791	-167.429	-171.126	-169.297	-177.81	-183.297	-183.359	-172.611	-185.954	-180.274	-182.8	-178.66	-176.192	-185.699	-179.951	-192.03	-186.802	-186.709	-184.887	-186.573	-196.077	-193.484	-194.579	-194.651	-212.106	-198.301	-208.504	-214.136	-215.35	-213.283	-210.176	-219.458	-215.848	-212.558	-218.81	-218.694	-216.571	-216.052	-207.083	-212.982	-218.222	-217.633	-221.23	-237.489
1836	Australia/New Zealand	17.617	-130.842	-155.893	-143.946	-86.496	-116.909	-114.861	-139.18	-146.451	-158.673	-143.621	-150.668	-159.354	-153.887	-164.157	-181.211	-166.005	-150.97	-138.914	-160.018	-166.979	-161.429	-168.098	-178.234	-176.058	-176.288	-187.15	-179.726	-194.542	-199.49	-186.235	-183.256	-170.342	-173.984	-148.687	-178.301	-161.171	-167.348	-172.122	-173.334	-184.628	-175.882	-181.071	-186.116	-187.731	-194.176	-193.237	-197.898	-189.28	-197.632	-190.8	-200.148	-220.566	-196.222	-175.634	-194.758	-200.926	-171.894	-202.442	-176.456	-166.096	-156.469	-165.774	-171.459	-139.281	-146.863	-161.147	-169.804	-150.9	-161.316	-178.265	-179.081	-175.247	-197.68	-201.118	-220.333	-201.982
1829	Europe and Northern America	1580.377	1183.704	1301.56	1260.278	1191.686	990.632	1014.677	1036.158	999.82	969.225	846.856	808.234	785.991	756.821	731.799	607.539	586.903	646.372	679.965	640.498	542.051	634.284	621.255	583.16	540.333	540.98	563.914	535.635	462.098	290.999	471.346	272.57	329.353	324.691	399.611	416.641	330.968	313.037	300.481	151.47	228.312	253.503	178.116	365.15	134.888	300.273	164.085	299.316	262.507	175.679	43.847	411.124	253.853	185.95	120.967	53.302	131.674	207.932	-46.542	64.577	6.825	-127.913	-41.549	-8.523	150.644	-55.382	-90.988	-46.262	-86.034	-57.038	13.949	12.278	-219.443	-152.231	-34.811	-79.28	-149.358
5502	Europe, Northern America, Australia, and New Zealand	2184.57	1726.36	1583.476	1512.041	1241.999	1110.312	1110.094	1044.753	998.796	890.159	823.561	783.616	751.166	658.286	647.992	660.107	648.881	541.324	517.099	555.007	473.927	461.178	580.148	383.89	413.506	450.962	381.207	300.638	268.677	238.88	346.686	346.455	296.206	166.471	256.528	308.016	327.684	188.183	198.922	-13.764	75.948	131.227	46.944	196.763	79.546	126.176	17.852	131.803	74.26	-77.003	-73.985	25.785	-98.814	-10.033	-122.229	-129.615	-92.081	-136.993	-272.654	-320.314	-231.08	-286.172	-195.34	-108.366	-4.595	-79.508	-169.795	-134.403	-139.481	-193.673	-126.486	-63.459	-256.575	-298.476	-34.718	-117.052	-100.318
