country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	-1235.6855	-3132.2555	-2756.517	-3021.269	-3240.728	-3426.772	-3476.502	-3703.8185	-3920.7145	-4050.1835	-4104.8975	-4568.481	-4701.289	-4988.095	-4792.7005	-4914.337
1834	Sub-Saharan Africa	185.4475	-3396.427	-15836.083	-17970.355	-19900.3745	-21588.8775	-24070.755	-26684.786	-27537.389	-29837.543	-33488.609	-34749.7535	-36296.2595	-38812.293	-41537.709	-41933.2125	-44505.65
1833	Northern Africa and Western Asia	-151.645	926.195	-9753.0735	-12443.343	-13800.946	-14404.34	-15533.8095	-16035.566	-16763.836	-18010.943	-18827.53	-20469.5375	-21216.9795	-21062.5095	-21047.3365	-22615.447	-24214.0595
1831	Central and Southern Asia	-738.6715	-17735.7485	-24696.9475	-25003.011	-27448.775	-29065.9805	-30209.2875	-32324.728	-34150.186	-37012.945	-37465.8555	-39033.841	-40937.891	-44510.151	-47943.442	-49003.637	-52150.997
1832	Eastern and South-Eastern Asia	-54.2805	-4061.3205	-9738.696	-10335.884	-11189.202	-11150.985	-11270.0115	-11335.396	-11107.8375	-11311.467	-11128.41	-11155.2	-11209.801	-11223.005	-10860.078	-10690.101	-10778.5425
1830	Latin America and the Caribbean	-304.0095	-2886.4365	-5450.6445	-5965.4005	-6276.7825	-6447.259	-6653.918	-6755.2085	-6932.3185	-7104.4395	-7313.9295	-7177.4265	-7272.0605	-6836.652	-6840.0145	-7072.386	-7059.077
1835	Oceania (excluding Australia and New Zealand)	-3.089	-116.8125	-364.729	-487.685	-574.4225	-664.475	-737.758	-815.9285	-847.699	-894.7025	-903.7525	-930.785	-960.482	-1038.0475	-1072.719	-1079.9475	-1092.353
1836	Australia/New Zealand	43.2855	421.3175	-626.0955	-720.6895	-816.9455	-780.598	-872.9675	-945.196	-843.5275	-865.9585	-933.6535	-972.3025	-987.717	-895.5855	-782.185	-830.399	-984.9095
1829	Europe and Northern America	1022.9625	10815.8395	5843.3465	4763.5145	3579.7185	3119.4795	2884.827	2178.32	1772.065	1285.5355	1187.221	1068.9535	885.471	234.6725	-64.2605	-214.74	-554.305
5502	Europe, Northern America, Australia, and New Zealand	1066.248	12160.482	6866.055	4704.124	3433.7995	2642.3865	2249.6985	1518.712	1364.2905	678.7445	523.9685	76.8935	-393.839	-1150.1675	-615.7925	-710.67	-788.7095
901	More developed regions	1087.2485	11961.6525	6828.9845	5916.994	4761.6925	4243.2945	4120.93	3446.297	3027.1345	2598.4035	2601.4805	1937.995	1781.553	1103.991	1005.1365	827.9535	379.6615
902	Less developed regions	-1087.2485	-17469.9565	-24968.4015	-25124.21	-25735.653	-26197.2545	-27228.3155	-27686.449	-27799.6675	-28870.2165	-29683.596	-29964.249	-31282.3835	-32510.957	-32653.8055	-34157.2835	-34984.193
941	Least developed countries	-412.9615	-12594.5245	-21459.4725	-23172.9465	-24898.174	-26473.555	-28982.054	-31117.542	-32235.0985	-34682.4795	-36206.2985	-37892.051	-39801.733	-42273.4495	-43207.794	-46702.822	-47721.511
