country_code	country	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0.675	1.485	0.195	0.071	0.067	15.982	19.655	12.82	5.73	2.006	2.893	1.715	0.375	-0.019	-0.002	0.002
1834	Sub-Saharan Africa	199.851	-2353.538	-2302.777	-2263.872	-2731.492	-3208.633	-3309.886	-3232.317	-3417.635	-3747.674	-3720.025	-3648.145	-3916.556	-3713.04	-4097.122	-3796.76
1833	Northern Africa and Western Asia	3509.899	403.509	-1524.611	-1565.016	-1630.297	-1530.137	-1431.182	-1590.901	-1579.27	-1714.371	-1675.933	-1727.2	-1333.769	-1388.236	-1489.693	-1542.168
1831	Central and Southern Asia	-13988.65	-9781.895	-7703.801	-7674.887	-7452.038	-7081.148	-7044.415	-6822.33	-6820.8	-6559.858	-6549.195	-6756.091	-7018.464	-6887.14	-6336.292	-6184.373
1832	Eastern and South-Eastern Asia	-1526.554	-768.735	-650.51	-657.673	-627.655	-706.357	-719.086	-728.908	-678.179	-647.94	-616.993	-554.246	-535.01	-546.33	-524.043	-558.078
1830	Latin America and the Caribbean	-2212.245	-1937.559	-1667.788	-1451.54	-1337.115	-1286.538	-1251.85	-1256.894	-1255.004	-1234.481	-1129.708	-1068.555	-982.103	-942.778	-914.439	-872.516
1835	Oceania (excluding Australia and New Zealand)	-66.665	-68.176	-65.425	-61.996	-62.83	-52.005	-46.449	-41.009	-34.531	-23.279	-28.782	-22.294	-15.439	-14.902	-13.202	-29.121
1836	Australia/New Zealand	703.647	743.946	751.105	793.636	861.317	905.894	927.035	944.8	951.971	1007.872	986.181	1027.667	1049.763	1089.002	1058.895	1026.583
1829	Europe and Northern America	13381.418	13763.905	13163.976	12881.423	12980.169	12974.898	12895.535	12740.327	12839.148	12921.754	12737.326	12750.598	12751.976	12403.369	12315.855	11956.453
5502	Europe, Northern America, Australia, and New Zealand	14085.093	14507.853	13915.08	13675.049	13841.475	13880.789	13822.557	13685.151	13791.118	13929.603	13723.514	13778.264	13801.716	13492.39	13374.758	12983.032
901	More developed regions	14644.762	15149.298	14528.321	14272.526	14430.077	14463.478	14387.932	14208.116	14323.44	14424.076	14192.819	14246.407	14255.945	13925.592	13782.084	13376.081
902	Less developed regions	-14644.048	-15147.794	-14528.119	-14272.446	-14430.01	-14447.5	-14368.254	-14195.295	-14317.715	-14422.067	-14189.928	-14244.698	-14255.542	-13925.597	-13782.079	-13376.076
941	Least developed countries	-8508.869	-5771.488	-5430.001	-5535.118	-6061.045	-6418.54	-6777.465	-6523.49	-6698.291	-6891.689	-6741.818	-6929.891	-7282.038	-7115.566	-7457.53	-6884.743
934	Less developed regions, excluding least developed countries	-6135.202	-9376.299	-9098.122	-8737.314	-8368.949	-8028.951	-7590.799	-7671.81	-7619.433	-7530.405	-7448.114	-7314.812	-6973.515	-6810.039	-6324.559	-6491.317
948	Less developed regions, excluding China	-12664.008	-13946.102	-13413.71	-13263.374	-13490.67	-13469.942	-13477.134	-13374.148	-13597.579	-13762.537	-13574.554	-13714.368	-13785.935	-13456.212	-13350.682	-12946.255
1636	Land-locked Developing Countries (LLDC)	-2761.888	-3110.979	-2457.337	-2500.511	-2775.774	-3005.853	-3243.904	-3246.45	-3174.205	-3231.577	-3205.868	-3252.217	-3704.06	-3690.707	-3700.93	-3241.036
2087	LLDC: Africa	-227.785	-1678.634	-1712.606	-1668.446	-1862.047	-2219.464	-2344.992	-2503.071	-2506.92	-2600.886	-2546.935	-2506.77	-2673.912	-2697.97	-2889.068	-2521.843
2088	LLDC: Asia	-2402.375	-1244.626	-580.835	-683.082	-776.578	-662.013	-780.05	-636.659	-564.247	-532.281	-568.729	-659.631	-948.789	-917.282	-741.994	-652
2089	LLDC: Europe	-58.15	-111.561	-89.611	-78.255	-68.41	-58.921	-54.66	-47.779	-44.393	-39.394	-33.992	-31.287	-28.011	-23.632	-21.207	-18.94
2090	LLDC: Latin America	-73.601	-76.139	-74.308	-70.73	-68.751	-65.488	-64.189	-58.91	-58.66	-59.03	-56.22	-54.508	-53.342	-51.823	-48.631	-48.279
1637	Small Island Developing States (SIDS)	-406.092	-576.022	-537.376	-485.249	-429.576	-339.732	-295.886	-283.782	-282.756	-253.3	-236.515	-229.428	-226.398	-210.439	-178.679	-192.003
2091	SIDS Caribbean	-454.205	-523.689	-483.595	-428.734	-366.015	-308.484	-271.06	-262.018	-250.724	-236.577	-221.863	-205.959	-189.597	-180.797	-170.372	-162.475
2092	SIDS Pacific	-76.471	-70.53	-70.804	-63.33	-65.188	-52.87	-51.019	-39.483	-43.056	-23.214	-31.062	-26.624	-23.395	-20.811	-13.403	-25.948
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	124.645	18.192	17.052	6.806	1.606	21.618	26.181	17.736	11.007	6.488	16.406	3.155	-13.4	-8.839	5.112	-3.545
5503	High-and-upper-middle-income countries	21732.52	13663.102	13463.672	13595.826	13943.126	14040.853	14167.786	13979.318	14173.02	14217.902	14031.798	14179.703	14403.139	14060.727	14009.017	13570.776
5504	Low-and-Lower-middle-income countries	-20716.707	-13252.986	-13193.072	-13366.822	-13728.993	-13864.582	-13987.416	-13775.827	-13983.133	-14015.344	-13873.956	-14033.107	-14288.158	-13943.922	-13899.077	-13450.338
1503	High-income countries	22782.877	15146.021	14021.465	13650.244	13652.741	13558.747	13619.571	13365.642	13418.951	13503.494	13294.805	13323.17	13308.387	12946.519	12840.702	12428.218
1859	Low-and-middle-income countries	-21767.035	-14735.916	-13750.867	-13421.229	-13438.608	-13382.47	-13439.198	-13162.117	-13229.064	-13300.92	-13136.964	-13176.588	-13193.404	-12829.73	-12730.75	-12307.806
1517	Middle-income countries	-20955.686	-13525.541	-11228.085	-10610.336	-10036.73	-9625.597	-9439.335	-9164.392	-9022.489	-8955.949	-8858.697	-8733.252	-8495.28	-8111.132	-7792.06	-7822.154
1502	Upper-middle-income countries	-1050.348	-1482.906	-557.794	-54.407	290.39	482.103	548.229	613.683	754.07	714.424	736.997	856.542	1094.764	1114.199	1168.321	1142.529
1501	Lower-middle-income countries	-19905.351	-12042.628	-10670.287	-10555.927	-10327.093	-10107.703	-9987.556	-9778.077	-9776.551	-9670.354	-9595.71	-9589.787	-9590.048	-9225.338	-8960.389	-8964.689
1500	Low-income countries	-811.377	-1210.367	-2522.785	-2810.914	-3401.899	-3756.859	-3999.868	-3997.754	-4206.566	-4344.987	-4278.236	-4443.318	-4698.116	-4718.584	-4938.698	-4485.648
1518	No income group available	-978.998	-401.882	-265.219	-224.442	-209.453	-156.432	-157.407	-187.744	-181.232	-197.742	-152.327	-142.248	-112.1	-114.61	-107.772	-118.471
903	Africa	-1520.797	-3007.172	-3405.341	-3407.16	-3901.112	-4338.09	-4388.577	-4477.957	-4642.664	-4987.188	-4875.357	-4858.412	-5079.694	-4855.831	-5332.437	-4964.129
910	Eastern Africa	-923.174	-1524.076	-1658.774	-1559.158	-1934.342	-2354.785	-2516.962	-2364.598	-2537.893	-2753.756	-2706.353	-2642.629	-2843.501	-2718.161	-2905.697	-2525.491
108	Burundi	-59.959	-116.189	-156.315	-125.867	-154.444	-228.993	-205.451	-222.501	-189.088	-118.812	-181.801	-183.594	-215.638	-210.47	-221.372	-248.787
174	Comoros	-9.762	-10.947	-11.1	-11.146	-11.266	-11.483	-11.294	-12.2	-12.483	-12.203	-12.031	-12.232	-11.782	-11.418	-10.977	-10.588
262	Djibouti	2.63	1.838	-1.414	1.768	5.099	2.669	8.851	14.97	4	6.52	3.794	3.958	6.034	9.104	5.289	6.315
232	Eritrea	-70.909	-33.59	-36.708	-10.704	-24.988	-34.509	-32.788	-42.515	-39.217	-44.318	-47.145	-39.485	-46.082	-43.014	-49.478	-46.753
231	Ethiopia	36.167	145.31	163.791	264.675	251.982	244.045	124.976	89.236	155.618	96.992	196.519	196.325	153.254	95.431	203.229	432.726
404	Kenya	-114.566	-209.33	-295.927	-337.793	-368.601	-408.893	-436.948	-412.758	-412.169	-447.135	-478.682	-477.363	-459.593	-427.644	-445.715	-447.926
450	Madagascar	-8.1	-15.406	-21.561	-27.863	-31.386	-36.056	-41.023	-43.797	-49.294	-50.4	-52.074	-55.815	-56.343	-62.188	-68.258	-68.806
454	Malawi	-19.415	14.908	5.406	2.078	-19.971	-18.012	29.629	2.398	-61.711	-23.515	-47.728	48.148	1.007	-21.518	-49.535	40.59
480	Mauritius	-17.097	-11.796	-8.824	-8.36	-7.676	-7.147	-6.685	-6.176	-5.82	-5.28	-4.97	-4.469	-4.013	-3.664	-3.323	-3.168
175	Mayotte	3.115	-0.027	-0.315	-0.143	0.588	0.703	0.01	0.5	0.033	2.877	1.65	-0.128	-0.982	-0.663	-0.185	1.43
508	Mozambique	-178.983	-282.899	-221.625	-274.459	-367.48	-433.491	-479.675	-339.25	-533.264	-531.26	-544.005	-516.479	-503.56	-458.24	-530.359	-472.449
638	Réunion	-13.078	-9.716	-6.81	-6.398	-5.179	-5.314	-5.539	-5.227	-4.761	-5.064	-4.813	-4.931	-5.03	-5.064	-5.17	-4.969
646	Rwanda	-63.063	-45.647	-81.263	-12.881	-2.998	-114.036	-139.637	-93.064	-71.366	-127.534	-138.172	-147.603	-98.617	13.768	-109.229	-90.69
690	Seychelles	9.086	4.271	-0.878	-0.546	-0.339	-0.338	-0.257	-0.242	-0.276	-0.184	-0.164	-0.222	-0.206	-0.173	-0.186	-0.198
706	Somalia	60.813	-3.61	-60.568	0.788	-100.766	-110.763	-45.999	21.711	-15.78	-86.392	-39.519	-79.107	-107.527	-110.382	-30.717	-86.403
728	South Sudan	390.816	18.885	30.611	54.578	38.203	-2.245	29.567	26.464	32.642	51.599	81.532	38.196	53.796	44.302	-5.711	50.443
800	Uganda	-357.284	-603.799	-628.667	-670.575	-674.742	-690.153	-740.753	-800.459	-815.99	-847.374	-875.391	-855.378	-880.547	-893.085	-916.267	-932.697
834	United Republic of Tanzania	-130.162	-110.442	-45.187	-56.924	-92.325	-89.282	-135.684	-68.487	-62.171	-131.508	-108.988	-74.078	-159.083	-122.175	-137.154	-97.182
894	Zambia	23.836	25.298	-0.531	-31.926	-65.128	-78.433	-105.792	-102.927	-105.943	-114.16	-114.698	-124.286	-132.564	-140.903	-152.534	-159.957
716	Zimbabwe	-407.358	-281.155	-280.804	-307.371	-302.773	-332.985	-322.358	-370.219	-350.71	-366.583	-339.599	-353.945	-375.882	-370.116	-377.989	-386.417
911	Middle Africa	470.971	-520.144	-331.788	-335.571	-378.637	-377.873	-328.753	-290.448	-359.512	-458.045	-415.805	-438.429	-452.03	-387.57	-504.002	-565.95
24	Angola	26.492	-12.819	17.404	37.773	44.348	92.669	147.676	198.893	194.029	144.81	160.095	135.339	179.372	251.781	145.139	88.726
120	Cameroon	-45.999	-89.972	-88.733	-95.724	-107.145	-110.095	-121.746	-128.101	-138.562	-138.953	-129.63	-147.67	-149.41	-159.295	-170.833	-157.154
140	Central African Republic	-152.831	-78.757	-84.344	-93.106	-99.089	-88.92	-79.91	-84.835	-97.809	-87.853	-97.064	-92.96	-91.922	-104.663	-99.14	-91.218
148	Chad	768.797	-193.162	-30.79	-26.54	-45.69	-61.466	-55.318	-35.286	-67.003	-111.733	-60.517	-34.328	-71.742	-82.022	-82.538	-83.962
178	Congo	-12.684	-12.334	-1.764	-6.873	-1.359	-4.386	-4.222	-9.299	2.272	-11.702	-16.307	-23.402	-8.722	-1.948	-8.878	-9.745
180	Democratic Republic of the Congo	-136.057	-153.255	-168.34	-178.117	-190.077	-216.226	-237.875	-258.3	-273.53	-277.084	-305.381	-310.786	-333.761	-317.895	-319.06	-349.196
226	Equatorial Guinea	20.28	17.049	19.706	19.631	10.907	-0.212	8.673	11.215	4.645	5.587	13.018	14.077	3.583	5.735	11.004	14.036
266	Gabon	5.9	6.53	8.69	11.161	13.328	14.671	17.797	19.221	20.148	22.7	24.287	25.27	24.702	24.73	24.14	26.41
678	Sao Tome and Principe	-2.891	-3.379	-3.58	-3.757	-3.82	-3.87	-3.773	-3.927	-3.662	-3.816	-4.278	-3.947	-4.096	-3.919	-3.77	-3.795
912	Northern Africa	-1720.657	-653.63	-1102.57	-1143.282	-1169.614	-1129.465	-1078.696	-1245.649	-1225.031	-1239.524	-1155.341	-1210.266	-1163.137	-1142.788	-1235.332	-1167.356
12	Algeria	-101.854	-150.395	-149.71	-148.094	-161.08	-140.391	-145.574	-148.74	-168.434	-178.15	-132.999	-149.13	-167.856	-127.324	-122.35	-116.244
818	Egypt	423.118	-155.508	-100.478	-86.884	-110.651	-98.673	-87.874	-101.435	-99.689	-114.939	-104.516	-53.839	-99.428	-117.635	-94.974	-118.91
434	Libya	-1.679	30.91	22.895	10.068	9.815	15.507	42.508	21.596	27.918	41.804	40.293	27.531	47.684	18.336	26.302	30.709
504	Morocco	-218.817	-324.526	-376.571	-398.555	-403.997	-399.822	-390.033	-400.392	-392.409	-371.804	-365.478	-351.965	-346.563	-333.402	-325.068	-307.414
729	Sudan	-1776.491	2.764	-434.158	-447.9	-430.732	-435.385	-430.843	-548.187	-527.361	-549.561	-528.557	-618.217	-537.515	-523.332	-657.427	-598.485
788	Tunisia	-69.272	-79.684	-84.416	-88.069	-87.307	-81.655	-77.894	-77.175	-73.496	-73.75	-70.24	-70.91	-63.917	-63.131	-64.16	-59.792
732	Western Sahara	24.327	22.816	19.855	16.178	14.365	10.949	10.983	8.653	8.459	6.91	6.16	6.25	4.459	3.692	2.357	2.734
913	Southern Africa	1339.431	659.136	684.828	714.946	745.967	820.859	864.692	888.45	906.368	884.736	903.467	917.075	913.584	901.872	892.437	843.152
72	Botswana	-32.151	-20.314	-15.079	-11.872	-12.44	-6.324	-8.417	-6.274	-8.923	-11.838	-12.89	-6.771	-7.537	-4.663	-13.939	-8.887
748	Eswatini	-33.1	-28.895	-27.777	-28.335	-27.608	-26.476	-26.291	-25.651	-25.993	-24.702	-24.472	-22.408	-23.021	-21.436	-19.812	-18.822
426	Lesotho	-24.069	-24.542	-22.715	-21.784	-19.893	-17.321	-18.227	-16.864	-16.744	-14.462	-16.074	-16.313	-16.056	-12.594	-13.117	-13.526
516	Namibia	83.881	1.891	-2.218	-7.063	-5.041	-4.545	-1.232	-0.65	-4.408	-5.694	-9.291	-4.837	-7.034	-4.358	-5.821	-10.075
710	South Africa	1344.855	730.994	752.61	784.016	810.939	875.513	918.842	937.884	962.455	941.427	966.197	967.384	967.256	944.914	945.139	894.446
914	Western Africa	-687.365	-968.432	-997.021	-1084.09	-1164.454	-1296.825	-1328.88	-1465.735	-1426.601	-1420.587	-1501.365	-1484.171	-1534.608	-1509.202	-1579.864	-1548.477
