country_code	country	age	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	0.13662897	0.12681672	0.11609987	0.10353302	0.09422732	0.0862681	0.07733041	0.06883431	0.06301203	0.05711593	0.04893605	0.04039618	0.03353777	0.02863428	0.02594413	0.02315111	0.02069287	0.01852776	0.01668094	0.01524806	0.01416295	0.01322333	0.01231916	0.0114458	0.01066517	0.01000833	0.0094663	0.00901613	0.00859003	0.00818876
900	World	1	0.02532516	0.02233821	0.01929435	0.01555202	0.01343563	0.0115463	0.01001346	0.00851864	0.00740536	0.00653202	0.00532792	0.00416065	0.00329164	0.00270146	0.00234949	0.00220395	0.00204574	0.00188213	0.00172374	0.00158918	0.00148344	0.00139264	0.00130045	0.00120405	0.00111086	0.00102628	0.00095312	0.00089321	0.00083594	0.00078126
900	World	5	0.00554828	0.00516113	0.0046061	0.00376785	0.00343835	0.00299598	0.00262775	0.00239866	0.00219154	0.00200002	0.00182882	0.00156724	0.00134095	0.00116349	0.0010197	0.00098519	0.00095317	0.00089229	0.00082495	0.00075872	0.00070079	0.00065446	0.00061278	0.00057011	0.00052483	0.00048119	0.00044214	0.00040941	0.0003793	0.0003509
900	World	10	0.00330008	0.00308899	0.00267826	0.00218518	0.00190982	0.00168586	0.00138633	0.00125864	0.00119115	0.00108816	0.00099987	0.00090924	0.00080976	0.00071938	0.00063836	0.00059543	0.00057479	0.00055459	0.0005201	0.00048339	0.00044757	0.00041643	0.00039162	0.00036996	0.00034717	0.00032275	0.00029946	0.00027918	0.0002608	0.00024433
900	World	15	0.00387516	0.00347119	0.00308474	0.00255498	0.00229432	0.0020722	0.00169758	0.00153235	0.00151775	0.00143908	0.00132066	0.00118189	0.00107071	0.00095913	0.00087477	0.00081523	0.00076617	0.00074337	0.00071868	0.00067651	0.00063189	0.00058831	0.00055096	0.00052212	0.00049623	0.00046849	0.00043884	0.00041103	0.00038498	0.0003619
900	World	20	0.00472814	0.00425904	0.00378615	0.0032326	0.00279439	0.0024991	0.00209155	0.00184901	0.00179835	0.00178478	0.00169535	0.0014793	0.0012665	0.00114061	0.00105855	0.00101513	0.00095972	0.00091074	0.00088994	0.00086678	0.00082329	0.00077568	0.00072899	0.00068934	0.00065768	0.00062878	0.00059748	0.00056425	0.00053058	0.0004994
900	World	25	0.00516608	0.00471682	0.00429383	0.00366738	0.00322071	0.00270953	0.00225577	0.00205229	0.00198104	0.00192693	0.00191866	0.00170497	0.00142737	0.00125404	0.00121278	0.00115662	0.00111789	0.00106732	0.00102006	0.00100328	0.00098344	0.00093932	0.0008905	0.00084223	0.00079931	0.00076451	0.00073265	0.00069873	0.0006599	0.00062106
900	World	30	0.00578794	0.00514807	0.00475652	0.00416155	0.00362529	0.00309875	0.00249053	0.00225375	0.00224081	0.00211502	0.0020605	0.00191338	0.00164457	0.00143427	0.0013617	0.00130461	0.00127245	0.00123869	0.00118928	0.0011413	0.00112745	0.00110856	0.00106254	0.00101108	0.00095773	0.00090952	0.00087002	0.00083473	0.00079457	0.00074951
900	World	35	0.00664849	0.00605156	0.00541362	0.00480308	0.00427338	0.00368588	0.00307165	0.00266336	0.0026031	0.00252169	0.00237323	0.00216883	0.00197082	0.00178989	0.0016986	0.00155987	0.00154073	0.00150645	0.00146799	0.00141143	0.00135731	0.00134351	0.0013229	0.00127066	0.00121021	0.00114725	0.00109007	0.00104412	0.00100055	0.00095176
900	World	40	0.00759168	0.00721116	0.00659088	0.00568932	0.00517427	0.00458847	0.00395013	0.0035241	0.00329915	0.00312033	0.0030115	0.00269326	0.00243575	0.00233323	0.00232279	0.00206123	0.00197484	0.00195255	0.00190904	0.00185857	0.00178983	0.0017262	0.00171421	0.00169229	0.00162989	0.00155765	0.0014818	0.00141427	0.0013582	0.00130534
