country_code	country	age	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	0.15331227	0.14148545	0.12908297	0.11521193	0.10497952	0.09535769	0.08473221	0.07537638	0.06944717	0.0629049	0.05413495	0.04500873	0.03777536	0.03292978	0.03047706	0.0281465	0.02604405	0.02404619	0.02224761	0.02082861	0.01974125	0.01871135	0.01761352	0.01648429	0.01543056	0.01451789	0.01373089	0.01302743	0.01233119	0.01165696
900	World	1	0.02430607	0.02133439	0.01840852	0.01484498	0.01284573	0.01098986	0.00939526	0.00803704	0.00708728	0.00630585	0.00518227	0.00410012	0.00329056	0.00274528	0.00245818	0.00237915	0.00227776	0.0021559	0.00202646	0.0019136	0.00182619	0.00174686	0.00165557	0.00155072	0.0014442	0.00134547	0.00125558	0.00117521	0.00109556	0.00101672
900	World	5	0.0053173	0.00500064	0.00460156	0.00373074	0.00342119	0.00303832	0.0026583	0.00238396	0.0021617	0.00197098	0.00176779	0.00154774	0.00133515	0.00117129	0.00106267	0.00105845	0.00104344	0.00099818	0.00094362	0.00088852	0.0008414	0.00080459	0.00076972	0.00072991	0.00068439	0.00063956	0.0005978	0.00056125	0.00052673	0.00049242
900	World	10	0.00331511	0.00311959	0.00284551	0.00235763	0.00207014	0.00191527	0.00162603	0.00144071	0.00133015	0.00120297	0.00108919	0.00100009	0.00089365	0.00080152	0.00072424	0.00069356	0.0006817	0.0006682	0.00063749	0.00060293	0.00056839	0.00053808	0.00051402	0.00049237	0.00046785	0.00044036	0.00041285	0.00038788	0.00036499	0.00034384
900	World	15	0.0042265	0.00373916	0.00342089	0.0029813	0.00279444	0.00249944	0.00217352	0.00196354	0.001912	0.00177333	0.00161714	0.00150463	0.00142142	0.00133812	0.00124337	0.00116291	0.0011049	0.00108582	0.00106601	0.0010183	0.00096648	0.0009144	0.00086939	0.00083514	0.00080448	0.00077014	0.00073118	0.00069282	0.00065604	0.00062289
900	World	20	0.00574831	0.00501573	0.00458762	0.0040546	0.00377113	0.0032946	0.00300105	0.00266538	0.00258182	0.0024763	0.00232486	0.00214293	0.00194965	0.00188883	0.00179154	0.00168468	0.00160153	0.00153372	0.00151828	0.00149579	0.00143662	0.00136945	0.00130156	0.00124298	0.00119647	0.001154	0.00110564	0.00105171	0.00099561	0.00094258
900	World	25	0.00619368	0.0053944	0.0050069	0.0043918	0.00407564	0.00346784	0.00317058	0.00289509	0.00281502	0.00268798	0.00259288	0.00241751	0.0021376	0.00197936	0.00193526	0.00181456	0.00174726	0.00166569	0.0015967	0.00158147	0.00155847	0.00149739	0.00142864	0.00135934	0.00129713	0.00124686	0.00120039	0.00114931	0.00108968	0.00102904
900	World	30	0.0068136	0.00588798	0.00545679	0.0048579	0.00446156	0.00384641	0.00347056	0.00318858	0.00325837	0.00304761	0.00292347	0.00277923	0.00249577	0.00225613	0.00217545	0.00203644	0.0019705	0.0019021	0.00181546	0.00174082	0.00172577	0.00170158	0.00163586	0.00156218	0.0014858	0.00141707	0.00136068	0.00130977	0.00125104	0.00118435
900	World	35	0.00801484	0.007193	0.00655831	0.00585142	0.00543248	0.00481195	0.00427438	0.00387642	0.00396032	0.00382482	0.00357909	0.00332534	0.00305724	0.0028372	0.00275254	0.00247916	0.00240777	0.00232982	0.00224473	0.00214023	0.00205075	0.0020297	0.00199782	0.00191842	0.00182879	0.00173671	0.00165313	0.00158486	0.00151999	0.00144772
900	World	40	0.01011244	0.00946496	0.00878445	0.00773069	0.00718859	0.00653402	0.00594826	0.00528218	0.00530004	0.00504477	0.00491487	0.00441564	0.00398266	0.00378239	0.00381361	0.00337015	0.00317767	0.00307618	0.00297116	0.00285861	0.00272879	0.00261566	0.0025842	0.00254084	0.00243916	0.00232598	0.00220903	0.00210367	0.00201358	0.00192862
