country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8193342.404	8258592.354	8323105.275	8386601.694	8448975.92	8510206.369	8570374.317	8629587.153	8687152.513	8744831.483	8800449.92	8853923.271	8906914.726	8959854.739	9011714.254	9063171.387	9111373.712	9158011.031	9203464.923	9246435.45	9289279.687	9331099.158	9371312.395	9409431.088	9446076.661	9479509.053	9510401.951	9542071.981	9570824.02	9595642.058	9619441.503	9642024.002	9663825.719	9682085.429	9700541.045	9717595.53	9732969.823	9746396.473	9758205.397	9770883.23	9782030.949	9790393.626	9799871.884	9805570.61	9807273.091	9811909.585	9816768.694	9817995.756	9816471.595	9816170.517	9820309.082	9816915.106	9814821.231	9809450.759	9802748.844	9795211.974	9785661.282	9771928.23	9760035.158	9744879.636	9730051.042	9716977.529	9701959.427	9690214.337	9671578.683	9652554.058	9634218.357	9612065.647	9593522.959	9571545.185	9546011.771	9522016.99	9496250.134	9470684.708	9445059.679	9420529.336	9389768.191
1834	Sub-Saharan Africa	1256239.858	1285052.076	1314076.167	1343485.996	1373267.622	1402445.468	1432244.675	1462448.207	1491874.844	1521627.239	1551506.431	1581773.828	1612117.813	1642300.566	1672685.077	1702555.343	1732736.518	1761981.04	1792472.12	1823055.94	1852135.983	1883010.118	1912710.401	1942137.602	1971430.886	1999571.415	2028298.957	2056429.745	2084402.155	2112308.23	2138909.462	2166089.233	2194318.637	2220507.02	2247976.484	2273992.629	2300591.668	2326204.764	2351241.969	2375830.66	2400833.582	2425383.731	2447942.288	2469413.073	2493770.469	2516897.308	2536933.771	2558841.64	2579834.385	2598241.34	2615905.015	2635908.189	2654280.186	2672558.751	2688945.756	2705418.675	2722595.006	2738903.892	2752247.589	2766300.76	2780518.01	2795599.66	2806530.466	2818263.669	2831492.344	2842741.608	2851565.09	2858711.582	2865828.387	2876656.722	2885251.165	2891421.693	2898766.864	2902402.784	2909715.261	2911621.307	2916718.91
1833	Northern Africa and Western Asia	584763.236	592953.661	601033.302	608886.471	616090.757	623638.103	630831.279	638099.801	645064.241	651821.939	658789.088	665454.406	672472.597	679185.418	685584.146	692370.752	698835.589	705094.633	711292.405	717298.165	723800.583	729805.715	735257.16	740526.197	746121.205	751992.502	757921.325	763782.025	768373.655	773226.798	778063.343	782293.76	785667.618	789439.091	794540.503	798653.828	803561.984	806023.73	809130.111	812500.144	815693.414	818435.768	821177.022	823658.663	825968.465	828811.258	830867.937	833480.306	835244.104	838136.334	838674.725	839710.638	840806.126	842683.478	843645.788	845744.8	846281.736	846336.45	847323.98	847920.263	849220.803	849711.012	850316.158	850786.514	850740.096	850715.692	848868.895	848093.387	846165.086	846167.668	845606.886	845192.297	843545.151	841020.057	838487.53	836906.159	834708.218
1831	Central and Southern Asia	2154386.438	2173461.938	2192546.805	2210793.688	2228518.811	2246390.025	2263885.014	2280593.567	2296460.511	2311846.993	2327103.102	2341150.809	2355462.395	2368720.66	2382531.379	2395365.821	2406578.374	2417102.585	2427453.66	2439072.372	2448062.34	2456853.161	2466743.694	2475832.945	2484042.977	2490801.346	2498472.062	2503589.038	2509848.336	2511062.775	2515692.207	2520162.458	2523145.995	2525018.114	2528324.317	2528197.456	2530085.925	2528822.515	2530000.825	2528296.102	2525664.542	2523934.735	2522131.596	2516133.565	2512509.792	2508185.497	2503038.067	2499060.818	2493565.512	2487622.828	2480467.077	2471330.65	2460838.7	2449613.687	2439207.838	2431291.146	2424329.296	2416110.572	2407852.776	2395679.202	2383709.251	2370514.574	2362068.43	2349441.815	2339438.643	2327209.703	2315255.827	2299622.617	2283759.073	2265009.741	2250242.878	2237395.742	2220858.096	2211170.793	2199791.022	2179967.46	2168099.711
1832	Eastern and South-Eastern Asia	2349712.006	2348647.075	2347492.725	2345647.246	2343401.181	2340488.611	2336825.921	2332749.066	2328447.531	2323521.063	2317348.218	2310698.931	2304294.675	2297388.927	2289151.296	2281294.081	2272759.922	2264569.138	2255677.866	2245998.34	2235360.932	2225252.333	2213388.837	2201258.99	2189332.639	2176319.244	2161988.981	2147713.571	2131103.444	2115193.099	2098394.643	2081320.482	2063005.62	2044318.404	2025368.913	2007435.968	1987713.905	1968270.797	1949109.738	1930000.884	1912021.525	1893347.767	1874997.921	1855449.35	1836121.677	1818169.275	1798756.881	1779934.657	1760425.317	1740719.354	1721306.271	1704230.897	1684541.436	1666391.263	1647390.651	1628954.32	1610652.202	1591613.538	1572662.643	1553650.676	1535272.874	1515487.457	1497003.672	1478242.398	1459621.151	1440843.77	1423014.619	1406091.897	1387999.198	1369905.987	1351937.322	1337729.944	1319128.473	1301558.14	1283170.469	1265060.75	1246827.165
1830	Latin America and the Caribbean	665197.352	668970.033	672505.918	675893.953	679004.25	681949.547	684897.477	687635.848	690325.971	692730.499	694936.422	696960.829	698927.99	700872.233	702600.153	704206.875	705538.336	706534.66	707564.222	708406.543	709027.97	709521.269	709696.114	709822.113	709837.741	709373.7	708764.749	708211.901	707429.636	706600.762	705208.581	703603.013	702377.13	700699.364	698861.297	696803.354	694626.159	692862.713	690788.688	688343.312	685881.965	683145.308	680030.646	677162.368	674341.093	671191.203	667929.395	664321.706	660473.986	656880.123	653391.649	649554.17	645880.917	641979.544	637994.664	633409.563	629372.693	624595.072	619871.358	615699.502	611168.367	606299.378	602047.087	597979.506	593025.865	588370.011	583144.09	578228.671	573379.57	568502.951	564277.99	559753.608	555005.008	549977.865	545193.149	540671.307	535646.419
1835	Oceania (excluding Australia and New Zealand)	14221.383	14384.472	14544.563	14702.753	14854.182	15005.261	15151.279	15292.069	15421.657	15542.01	15681.244	15789.792	15932.886	16029.874	16125.212	16231.309	16326.544	16421.76	16494.43	16607.879	16697.145	16774.124	16850.21	16932.616	17034.382	17134.392	17185.064	17255.83	17306.784	17342.719	17335.996	17351.908	17375.14	17388.904	17439.993	17418.23	17422.863	17433.443	17452.719	17454.464	17382.555	17367.076	17346.838	17328.304	17369.068	17364.96	17340.768	17308.761	17231.528	17171.393	17129.833	17142.862	17069.805	16980.181	16984.639	16957.538	16860.822	16803.799	16703.419	16598.846	16453.383	16308.402	16265.507	16207.489	16180.937	16153.704	16037.979	15882.208	15728.991	15712.11	15650.346	15479.167	15446.454	15429.034	15324.294	15218.523	15139.965
1836	Australia/New Zealand	31989.365	32103.738	32186.983	32278.125	32434.772	32597.177	32770.737	32881.721	33000.012	33085.684	33183.057	33275.632	33334.442	33412.178	33432.382	33469.292	33538.992	33618.56	33689.348	33707.666	33839.898	33877.122	33922.152	33928.21	33991.8	34035.794	34022.359	34042.665	34043.142	33951.733	33998.887	34001.917	34031.809	33865.258	33901.718	33828.801	33764.441	33753.718	33791.536	33762	33799.155	33815.31	33873.668	33841.607	33781.975	33739.789	33719.358	33598.141	33635.043	33653.23	33488.936	33483.459	33414.039	33369.732	33248.536	33131.602	33014.762	32733.715	32702.808	32437.827	32411.83	32280.207	32245.865	32230.052	32102.805	31855.435	31842.344	31790.204	31825.028	31879.271	31862.446	31737.536	31724.114	31715.334	31513.296	31362.098	31288.377
1829	Europe and Northern America	1130080.314	1130514.751	1130781.137	1130685.027	1130717.158	1130262.838	1129895.97	1129216.68	1128777.052	1127803.628	1127049.02	1126107.208	1124957.332	1124096.602	1122742.086	1121313.215	1119713.281	1118456.005	1117008.433	1115162.261	1113149.02	1111294.419	1109141.83	1106745.696	1104305.717	1101516.43	1098471.187	1096347.997	1093542.782	1090442.967	1087312.522	1083788.302	1080298.843	1076372.396	1073538.252	1070287.47	1066323.503	1063566.121	1059290.901	1056137.188	1052194.895	1049058.202	1046337.327	1043306.927	1039665.874	1036759.83	1033203.449	1029765.449	1026049.932	1023217.135	1019837.141	1016337.051	1012880.226	1010180.966	1007215.51	1004055.654	1001723.194	1000085.347	997445.143	995048.464	992987.596	990428.728	987853.466	985224.601	982349.159	979664.056	975829.668	972185.527	969635.01	967685.685	964249.525	961078.786	957411.117	954656.849	951972.61	949294.374	946729.323
5502	Europe, Northern America, Australia, and New Zealand	1162610.842	1163787.123	1164487.698	1164897.958	1165080.216	1165038.737	1164809.453	1164501.642	1163819.234	1163363.277	1162471.453	1161642.04	1160458.308	1159322.795	1158148.656	1156953.964	1155541.481	1154203.518	1152494.73	1150877.914	1148530.268	1146502.618	1144468.675	1141989.422	1139753.798	1136944.03	1133604.244	1130453.717	1127193.412	1124430.939	1121096.312	1117661.771	1113869.259	1109977.336	1106215.09	1103105.611	1099658.615	1095808.038	1092479.766	1088877.425	1086009.163	1082555.065	1079194.903	1075462.342	1072255.468	1069068.386	1065903.322	1062331.205	1059012.68	1055986.678	1052359.721	1049774.055	1046266.272	1042835.44	1039059.628	1036256.408	1032843.581	1029522.883	1026354.675	1022824.986	1020086.529	1016376.735	1013515.335	1010483.73	1007163.404	1004015.522	1001547.582	997883.563	994390.303	991555.761	988797.325	985550.467	981532.95	978692.956	975022.845	971864.607	968536.899
