country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8200765.122	8274120.16	8347292.984	8419679.133	8491593.317	8562677.421	8632960.887	8703621.314	8772397.811	8841506.497	8908474.739	8975232.655	9040796.926	9105617.945	9170080.815	9233173.496	9295262.62	9355814.428	9414191.936	9472745.822	9531141.418	9588753.516	9643522.292	9696962.68	9748293.608	9797444.515	9842768.056	9889569.241	9936370.209	9979163.713	10020598.585	10061666.851	10103279.158	10142251.31	10179634.943	10213862.704	10251139.373	10286760.301	10320517.699	10356551.9	10387742.978	10420084.943	10450182.56	10479051.33	10510089.983	10538594.251	10567429.965	10592433.65	10615866.663	10643054.679	10672701.256	10694756.376	10720040.183	10743894.095	10762993.994	10780888.418	10801099.603	10818733.608	10834955.836	10849683.528	10865885.508	10883057.786	10898433.928	10917631.786	10926763.415	10941746.668	10951628.616	10965531.245	10975213.975	10990535.316	10999016.667	11004809.635	11014105.327	11018420.066	11024855.457	11029683.659	11039967.241
1834	Sub-Saharan Africa	1260231.971	1292340.44	1325047.995	1358352.987	1391865.539	1425755.684	1460022.099	1495135.984	1530044.63	1565221.049	1600995.648	1637152.836	1673413.577	1709964.75	1746591.596	1783476.218	1819777.21	1856820.509	1893899.494	1931201.113	1969975.769	2007716.589	2045688.894	2082767.16	2122143.861	2158608.217	2196577.098	2235220.815	2274055.425	2310850.793	2348491.045	2388191.09	2427861.44	2467330.885	2507449.881	2546537.165	2588441.978	2628671.314	2665704.788	2703275.385	2745083.911	2784660.556	2820765.345	2858642.901	2898922.252	2939190.277	2978795.362	3016446.877	3053951.277	3091948.233	3129346.927	3166266.699	3203634.37	3240716.732	3278806.937	3316411.366	3352377.114	3389002.622	3424571.3	3460921.978	3497623.509	3532869.273	3566986.252	3603359.266	3632510.797	3666232.226	3696910.92	3731417.306	3767606.734	3800617.24	3830442.01	3868938.068	3904436.808	3940667.98	3977697.957	4009061.361	4045069.358
1833	Northern Africa and Western Asia	587116.52	597436.799	607708.781	617746.671	627537.34	637434.537	647044.457	656923.146	666552.572	676097.968	685754.547	695335.023	704753.051	714098.125	723527.864	733684.603	743479.365	752857.885	762041.365	771711.081	781164.655	791130.672	799571.584	808586.399	817168.544	825994.046	835665.464	844439.158	853096.217	861245.121	869774.563	878264.167	886108.378	893651.537	902012.305	910108.219	918290.179	925610.615	932993.169	942268.567	950285.076	958150.911	965612.177	973176.212	980249.942	987816.63	994922.361	1002130.915	1010215.422	1017390.371	1024878.244	1031409.527	1037347.932	1044725.102	1050967.514	1057078.56	1063383.487	1068708.377	1075874.897	1083060.529	1090479.121	1095855.856	1101632.514	1108442.671	1113996.484	1120312.57	1127126.781	1132187.291	1138214.677	1145243.983	1151551.814	1157044.344	1162153.214	1164038.12	1169613.728	1174185.431	1178817.559
1831	Central and Southern Asia	2160886.063	2186721.775	2212857.063	2238766.266	2265183.128	2291305.728	2318025.348	2343078.475	2367975.174	2392624.783	2417287.446	2440840.7	2464581.524	2486933.813	2510506.523	2531722.084	2551576.867	2572723.677	2592330.531	2614040.353	2631596.199	2651708.408	2671377.991	2690237.662	2709493.831	2728750.266	2745656.135	2763244.495	2779721.206	2795153.046	2811805.873	2830296.691	2847880.888	2864940.001	2879740.058	2895461.406	2908570.375	2920729.176	2935406.675	2948698.95	2961950.608	2976843.663	2991240.492	3004155.653	3016714.629	3026326.876	3040648	3052486.132	3064108.033	3072524.635	3082516.089	3090629.078	3096694.096	3103876.62	3108575.685	3111243.163	3120631.994	3121546.391	3128279.365	3130714.644	3137556.11	3139629.984	3148191.907	3151728.422	3162308.586	3167865.29	3173508.937	3178082.775	3182671.764	3188823.734	3192851.623	3192970.257	3192891.657	3198259.365	3203310.927	3198928.479	3204256.159
1832	Eastern and South-Eastern Asia	2354061.175	2356913.422	2359507.482	2362092.259	2364306.311	2365853.743	2366766.373	2367562.554	2368133.381	2368494.854	2368791.79	2367360.197	2366645.64	2365448.056	2364263.427	2362613.976	2360145.633	2357892.239	2354848.039	2350872.814	2346832.242	2341514.615	2336586.776	2331394.13	2324542.306	2317261.456	2309738.914	2299897.663	2288933.537	2277948.971	2266769.802	2253895.333	2241477.625	2228603.661	2215406.118	2200714.273	2185334.362	2170127.628	2156489.152	2142912.556	2128390.214	2115852.237	2103256.467	2088969.745	2075454.163	2063813.879	2051692.363	2038857.944	2026336.804	2011910.469	1997421.062	1987198.263	1971505.718	1962356.476	1949650.657	1937116.755	1921603.946	1907600.883	1892667.223	1880160.995	1867874.245	1854920.185	1842403.212	1829091.376	1816086.494	1801336.927	1788433.919	1777355.742	1762407.122	1748804.543	1737275.796	1726297.695	1712951.849	1700416.984	1689147.508	1675258.677	1662632.441
1830	Latin America and the Caribbean	666239.329	671105.418	675904.627	680595.497	685100.514	689491.503	693845.722	698052.352	702229.518	706162.321	709911.736	713464.598	717043.664	720677.087	723972.118	727169.473	730203.178	732987.546	735744.232	738389.854	740794.258	742988.075	745023.794	747102.42	748832.905	750333.958	751822.015	753252.978	754389.306	755324.538	755964.674	756567.508	757215.305	757727.268	758433.325	758999.272	759421.776	759941.071	759968.977	760064.657	759490.557	759277.637	759043.88	758520.606	758226.93	757343.5	756571.55	756394.449	754949.781	754390.956	753356.086	751453.886	750105.521	748371.718	746341.237	744729.393	742875.113	740278.762	738296.452	735836.58	734003.876	731754.347	730203.912	728194.448	726326.519	725007.041	722017.017	719703.25	717327.113	715237.358	712767.682	710807.12	708826.942	705788.953	702940.408	700849.791	698928.141
1835	Oceania (excluding Australia and New Zealand)	14331.374	14610.762	14892.99	15176.355	15466.058	15759.227	16053.978	16345.305	16652.71	16950.014	17267.471	17572.072	17876.791	18187.376	18483.723	18808.59	19122.052	19426.854	19743.297	20080.228	20420.279	20749.481	21107.805	21466.338	21806.851	22158.585	22493.161	22878.289	23260.319	23660.536	23970.562	24330.849	24698.482	25060.173	25430.013	25775.907	26130.839	26471.834	26844.866	27220.524	27568.429	27946.999	28305.004	28734.262	29152.899	29517.034	29835.804	30244.126	30573.792	30994.341	31297.635	31733.712	32024.605	32458.26	32766.514	33158.055	33573.853	33923.558	34121.462	34461.36	34759.136	35030.957	35451.06	35864.669	36280.249	36747.428	36984.412	37427.955	37678.582	37922.425	38315.886	38579.67	39104.343	39295.617	39706.023	40175.168	40307.533
1836	Australia/New Zealand	32173.631	32715.443	33266.078	33816.766	34169.855	34517.701	34871.072	35240.906	35616.22	35949.722	36309.009	36711.506	37111.058	37471.749	37827.056	38195.812	38591.012	38961.76	39313.911	39661.996	40042.85	40421.73	40762.105	41152.363	41534.436	41973.566	42340.358	42702.497	43007.144	43358.366	43773.708	44118.982	44481.218	44847.536	45231.537	45654.28	46019.384	46400.569	46809.298	47281.98	47671.696	48122.013	48478.441	48904.764	49388.807	49915.421	50420.49	50779.223	51319.406	51870.79	52274.88	52769.719	53220.391	53706.167	54115.399	54583.9	55003.363	55327.047	55863.751	56385.927	56847.407	57338.417	57734.947	58215.662	58709.574	59236.292	59692.338	60219.993	60689.807	61293.639	61742.957	62200.683	62976.312	63483.403	64043.505	64626.642	65112.184
1829	Europe and Northern America	1132380.98	1134762.109	1136469.01	1138056.392	1139583.641	1141011.712	1142254.974	1143546	1144772.185	1145683.06	1147045.175	1148357.452	1149660.351	1150810.318	1151884.271	1152518.678	1153696.722	1154413.883	1155201.435	1155796.217	1156511.125	1157271.962	1157978.144	1158536.532	1159256.789	1159360.694	1159392.785	1159814.42	1159833.333	1159280.513	1158822.965	1158645.242	1158592.807	1158057.747	1158166.193	1158175.293	1157654.675	1157818.075	1158422.572	1158556.283	1158247.706	1158820.889	1159181.72	1159676.535	1160312.097	1161633.931	1161979.577	1162086.168	1163226.064	1164094.649	1165352.296	1166752.959	1167416.329	1168002.705	1168429.37	1169195.249	1170617.165	1172362.698	1175090.077	1177040.342	1180406.046	1182083.996	1183609.642	1185641.256	1187182.249	1189653.874	1191177.327	1192799.225	1194580.567	1196650.766	1199378.634	1200921.04	1203306.049	1205366.227	1206449.361	1209202.967	1212118.408
5502	Europe, Northern America, Australia, and New Zealand	1164946.512	1168115.613	1170374.693	1172412.198	1174177.859	1175822.624	1177438.115	1178987.619	1180221.688	1181470.868	1182645.686	1184117.461	1185171.095	1186392.696	1187661.442	1188810.024	1189950.756	1190603.454	1191375.847	1192561.583	1192773.129	1193721.099	1194447.946	1194798.295	1195067.092	1195405.696	1195247.644	1195628.228	1195212.831	1195162.801	1194777.232	1194407.925	1193788.386	1193466.44	1193289.794	1193098.104	1193062.202	1192336.548	1192215.114	1191999.873	1192402.089	1193036.311	1193337.328	1193723.913	1194056.167	1194705.863	1195517.256	1196588.727	1197166.199	1197725.321	1198328.843	1199224.372	1199962.218	1200778.129	1202188.014	1204023.473	1204616.085	1206040.835	1206617.799	1208305.479	1209673.713	1211047.729	1211953.259	1213828.972	1214833.163	1216791.595	1218441.147	1219990.067	1221550.048	1223377.748	1225297.61	1227773.219	1229866.295	1232934.488	1234661.916	1235788.687	1239202.126
