country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	1.054	1.054	1.054	1.054	1.055	1.056	1.058	1.064	1.07	1.074	1.074	1.073	1.07	1.064	1.056	1.052	1.049	1.048	1.047	1.047	1.046	1.046	1.046	1.046	1.046	1.045	1.045	1.045	1.045	1.045
1834	Sub-Saharan Africa	1.035	1.035	1.035	1.036	1.037	1.036	1.037	1.037	1.038	1.036	1.035	1.034	1.033	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.033	1.033	1.033	1.033	1.033	1.033
1833	Northern Africa and Western Asia	1.052	1.052	1.052	1.053	1.054	1.054	1.053	1.053	1.056	1.057	1.054	1.055	1.053	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.051	1.051	1.051	1.051	1.051
1831	Central and Southern Asia	1.052	1.052	1.053	1.054	1.057	1.061	1.061	1.063	1.072	1.081	1.082	1.081	1.078	1.074	1.066	1.06	1.056	1.054	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053
1832	Eastern and South-Eastern Asia	1.061	1.061	1.062	1.063	1.064	1.066	1.073	1.09	1.108	1.119	1.125	1.127	1.121	1.108	1.085	1.075	1.068	1.065	1.063	1.063	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062
1830	Latin America and the Caribbean	1.043	1.043	1.043	1.043	1.043	1.043	1.044	1.044	1.045	1.045	1.045	1.045	1.045	1.044	1.044	1.044	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043
1835	Oceania (excluding Australia and New Zealand)	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.074	1.074	1.075	1.076	1.076	1.076	1.076	1.075	1.075	1.075	1.075	1.074	1.074	1.074	1.074	1.075	1.074	1.075	1.074	1.075	1.074	1.075	1.075
1836	Australia/New Zealand	1.054	1.055	1.057	1.054	1.053	1.056	1.054	1.053	1.056	1.054	1.054	1.056	1.056	1.058	1.056	1.055	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054
1829	Europe and Northern America	1.058	1.056	1.056	1.055	1.056	1.056	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.053	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.054
5502	Europe, Northern America, Australia, and New Zealand	1.058	1.056	1.056	1.055	1.056	1.056	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.054	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.054
901	More developed regions	1.057	1.056	1.056	1.056	1.057	1.057	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.053	1.053	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.054	1.054	1.054	1.054	1.054
902	Less developed regions	1.053	1.053	1.053	1.054	1.055	1.056	1.058	1.065	1.072	1.076	1.076	1.075	1.072	1.065	1.056	1.051	1.049	1.047	1.047	1.046	1.046	1.045	1.045	1.045	1.045	1.045	1.044	1.044	1.044	1.044
941	Least developed countries	1.042	1.042	1.042	1.042	1.043	1.043	1.041	1.042	1.041	1.04	1.039	1.038	1.038	1.039	1.039	1.038	1.038	1.038	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.037
934	Less developed regions, excluding least developed countries	1.055	1.055	1.055	1.056	1.057	1.059	1.062	1.07	1.079	1.086	1.087	1.086	1.082	1.075	1.063	1.058	1.054	1.052	1.051	1.051	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.049	1.049	1.049
948	Less developed regions, excluding China	1.05	1.05	1.05	1.05	1.052	1.053	1.054	1.055	1.059	1.062	1.061	1.06	1.058	1.055	1.052	1.049	1.047	1.046	1.045	1.045	1.045	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.043	1.043
1636	Land-locked Developing Countries (LLDC)	1.045	1.046	1.046	1.045	1.045	1.045	1.045	1.045	1.045	1.046	1.045	1.045	1.046	1.045	1.044	1.043	1.043	1.043	1.043	1.043	1.043	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042
2087	LLDC: Africa	1.037	1.037	1.038	1.038	1.038	1.038	1.039	1.039	1.039	1.039	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038
2088	LLDC: Asia	1.057	1.057	1.057	1.056	1.057	1.057	1.057	1.057	1.059	1.062	1.064	1.066	1.066	1.065	1.062	1.06	1.058	1.058	1.058	1.058	1.058	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057
2089	LLDC: Europe	1.064	1.064	1.063	1.065	1.065	1.065	1.064	1.064	1.064	1.068	1.067	1.066	1.068	1.069	1.068	1.066	1.066	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065
2090	LLDC: Latin America	1.045	1.045	1.045	1.045	1.046	1.046	1.045	1.044	1.046	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045
