country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
900	World	4.851944	4.81636	5.000849	4.922286	4.997769	5.003079	4.930879	5.068373	4.932136	4.739548	4.696261	4.571165	5.021705	5.308057	5.123034	5.070933	4.960977	4.85247	4.962769	4.86566	4.825053	4.679084	4.54455	4.416314	4.259134	4.079733	3.974461	3.849666	3.787139	3.771168	3.743719	3.711018	3.711949	3.580768	3.552558	3.51452	3.504204	3.475865	3.389813	3.347061	3.309823	3.13052	3.043736	2.980437	2.933421	2.889311	2.845784	2.808512	2.7758	2.749943	2.753664	2.714301	2.683772	2.659353	2.647393	2.629973	2.624937	2.622711	2.626406	2.621274	2.60207	2.588097	2.606927	2.572424	2.564362	2.537007	2.535863	2.503589	2.436668	2.396802	2.321582	2.290901	2.265255	2.250533	2023
1834	Sub-Saharan Africa	6.415536	6.426997	6.436566	6.453492	6.467318	6.482927	6.500916	6.518731	6.53323	6.549831	6.565858	6.580597	6.597633	6.6117	6.625803	6.638817	6.664315	6.67972	6.692682	6.702424	6.715849	6.735544	6.751666	6.764443	6.779063	6.790707	6.791536	6.794714	6.797703	6.784074	6.76672	6.743951	6.718009	6.684356	6.639747	6.589732	6.542213	6.493618	6.43741	6.375132	6.300383	6.239184	6.17816	6.117124	6.061583	6.002725	5.935912	5.863096	5.811189	5.773218	5.734629	5.693141	5.648703	5.611309	5.58487	5.559071	5.523456	5.47853	5.447903	5.385254	5.323165	5.251091	5.171737	5.087913	5.012763	4.930094	4.842318	4.766461	4.684292	4.600309	4.517156	4.453437	4.386567	4.322364	2023
1833	Northern Africa and Western Asia	6.522837	6.543398	6.575728	6.586135	6.575547	6.535175	6.538188	6.475128	6.478765	6.517448	6.525063	6.569833	6.631359	6.61457	6.5788	6.520943	6.476562	6.425361	6.375209	6.32422	6.275708	6.223352	6.156076	6.075503	6.003147	5.935849	5.869964	5.785264	5.705116	5.637044	5.557805	5.474505	5.394516	5.303985	5.19299	5.079598	4.949276	4.822806	4.71019	4.579947	4.429947	4.30575	4.187437	4.070058	3.961364	3.834017	3.715124	3.638203	3.567077	3.485027	3.402312	3.327276	3.250628	3.206559	3.18338	3.162807	3.155866	3.151446	3.136369	3.132628	3.132192	3.128613	3.163882	3.16307	3.17145	3.144431	3.082234	3.047098	2.954184	2.880549	2.82985	2.771211	2.737262	2.732579	2023
1831	Central and Southern Asia	5.887613	5.919507	5.958179	5.994305	6.030102	6.042735	6.054806	6.068223	6.075781	6.082773	6.113384	6.128796	6.142218	6.146664	6.144628	6.107736	6.057166	6.015123	5.958812	5.89707	5.848272	5.79502	5.723131	5.652599	5.588412	5.485801	5.43271	5.336425	5.244597	5.181951	5.147903	5.078186	5.001123	4.936492	4.881686	4.795088	4.736984	4.635594	4.529144	4.431575	4.334847	4.2303	4.119679	4.016191	3.924274	3.829458	3.737677	3.659733	3.579606	3.512926	3.460219	3.392593	3.301449	3.212627	3.131241	3.050431	2.980315	2.908421	2.85567	2.81777	2.752247	2.694458	2.644165	2.593745	2.520991	2.51448	2.503973	2.436433	2.423118	2.36997	2.31649	2.294039	2.273988	2.25473	2023
1832	Eastern and South-Eastern Asia	5.541889	5.383257	5.875229	5.577423	5.729213	5.70226	5.431571	5.79441	5.349935	4.726713	4.555697	4.156193	5.528016	6.396464	5.873474	5.824727	5.573015	5.311849	5.717295	5.493974	5.422817	5.06366	4.798103	4.534577	4.137584	3.721484	3.472087	3.188867	3.086244	3.086908	3.053922	3.051079	3.132138	2.834821	2.830508	2.804781	2.824583	2.826396	2.670735	2.640413	2.621479	2.235642	2.106298	2.031349	1.977109	1.932393	1.890824	1.851817	1.821306	1.802798	1.851073	1.799156	1.786879	1.778558	1.793339	1.799212	1.818982	1.841938	1.866477	1.878485	1.867834	1.870397	1.956349	1.893642	1.921359	1.853369	1.893823	1.883363	1.704803	1.663746	1.496176	1.412016	1.359771	1.334528	2023
1830	Latin America and the Caribbean	5.791556	5.795084	5.798836	5.806994	5.817635	5.827513	5.842745	5.852552	5.858251	5.865773	5.865677	5.855588	5.845921	5.820906	5.763478	5.680512	5.580228	5.472212	5.363852	5.266694	5.169941	5.074222	4.969622	4.866944	4.749543	4.643885	4.546956	4.451861	4.352727	4.249149	4.144532	4.049576	3.96034	3.864166	3.76472	3.669858	3.581524	3.482797	3.393608	3.316728	3.242055	3.168776	3.095491	3.038114	2.976928	2.917291	2.850176	2.79413	2.738727	2.674327	2.608526	2.542714	2.482455	2.423038	2.380644	2.341742	2.29695	2.259244	2.232406	2.207567	2.181323	2.163608	2.134615	2.113308	2.096309	2.065907	2.014669	1.990747	1.97327	1.928148	1.869019	1.844653	1.824041	1.807343	2023
1835	Oceania (excluding Australia and New Zealand)	5.956086	5.985883	6.006679	6.040663	6.041641	6.080501	6.104789	6.141648	6.163714	6.179553	6.20876	6.234508	6.265113	6.250882	6.250221	6.219937	6.19921	6.155776	6.120478	6.088653	6.037732	5.97466	5.900385	5.826067	5.751411	5.693293	5.635238	5.565239	5.479311	5.392711	5.318586	5.256324	5.18871	5.145406	5.081563	5.016876	4.944577	4.882597	4.825068	4.757212	4.705872	4.648776	4.586801	4.531138	4.45542	4.388122	4.341788	4.28738	4.22874	4.184068	4.129439	4.084711	4.041883	4.00149	3.950217	3.905925	3.866151	3.817963	3.778428	3.725331	3.684211	3.631847	3.583729	3.533101	3.490814	3.433873	3.379685	3.318179	3.270874	3.216326	3.175604	3.124644	3.07944	3.023378	2023
1836	Australia/New Zealand	3.152021	3.159503	3.267191	3.275518	3.298873	3.383543	3.449761	3.532346	3.54866	3.576655	3.597345	3.681898	3.560741	3.465739	3.262938	3.082351	2.982436	2.943072	2.970657	2.958149	2.914882	2.988947	2.78716	2.53707	2.412583	2.235498	2.101973	2.055584	1.982891	1.949061	1.92495	1.954053	1.942855	1.930295	1.883278	1.905856	1.888452	1.882852	1.885072	1.890949	1.951825	1.901787	1.920827	1.894163	1.874372	1.851448	1.8308	1.812997	1.787711	1.798632	1.800758	1.776464	1.786473	1.792177	1.817013	1.86928	1.904999	2.02201	2.049194	1.999329	1.984152	1.950529	1.956602	1.90313	1.824986	1.831481	1.806498	1.756683	1.740194	1.675026	1.599533	1.647803	1.643074	1.643366	2023
1829	Europe and Northern America	2.777465	2.769237	2.779046	2.775744	2.802722	2.80807	2.818766	2.839665	2.838641	2.846756	2.839837	2.821192	2.757541	2.731544	2.687054	2.581081	2.517157	2.472809	2.413598	2.377711	2.346698	2.286513	2.173602	2.082637	2.060298	2.000782	1.965015	1.944646	1.913225	1.907933	1.901795	1.869981	1.867787	1.858152	1.839084	1.830215	1.841938	1.844904	1.844421	1.822466	1.811948	1.762463	1.708778	1.650322	1.623644	1.593347	1.582244	1.569604	1.56802	1.559186	1.578563	1.568879	1.577927	1.602356	1.621057	1.622886	1.65787	1.694799	1.72546	1.71415	1.697708	1.675114	1.688396	1.66849	1.682901	1.675913	1.671703	1.619669	1.583891	1.550465	1.51339	1.52495	1.492548	1.469601	2023
5502	Europe, Northern America, Australia, and New Zealand	2.78237	2.774322	2.785333	2.782134	2.80898	2.815289	2.826695	2.848449	2.847751	2.856201	2.849698	2.832575	2.768346	2.741671	2.695145	2.588307	2.524101	2.480126	2.422657	2.387436	2.356533	2.299115	2.184949	2.091194	2.067062	2.005401	1.967798	1.946896	1.914641	1.908744	1.902189	1.871476	1.869088	1.859387	1.839753	1.83149	1.842632	1.845398	1.844899	1.823448	1.814345	1.764822	1.712717	1.655037	1.628618	1.598627	1.587468	1.57487	1.572925	1.564663	1.583763	1.573807	1.582928	1.606955	1.625808	1.62877	1.663774	1.702534	1.733129	1.720917	1.70452	1.681684	1.694825	1.674129	1.686207	1.679598	1.674849	1.62295	1.587802	1.553567	1.515506	1.52828	1.496835	1.474728	2023
