country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	4.9361	4.905	4.9813	4.9053	4.4607	3.8561	3.6367	3.4302	3.0415	2.8001	2.6782	2.6256	2.5859	2.4629	2023
1834	Sub-Saharan Africa	6.4529	6.5326	6.6061	6.6839	6.7585	6.7874	6.6878	6.4545	6.1448	5.8525	5.6421	5.4601	5.1318	4.7228	2023
1833	Northern Africa and Western Asia	6.5643	6.5168	6.582	6.3887	6.108	5.7358	5.3292	4.7623	4.1301	3.6037	3.2522	3.1489	3.1615	2.9922	2023
1831	Central and Southern Asia	5.9763	6.0788	6.131	5.9696	5.6774	5.2975	4.974	4.5782	4.0731	3.6231	3.2603	2.9001	2.6274	2.4365	2023
1832	Eastern and South-Eastern Asia	5.6423	5.2845	5.4406	5.5265	4.6025	3.2453	2.9509	2.7411	2.1353	1.8604	1.7925	1.846	1.9084	1.7727	2023
1830	Latin America and the Caribbean	5.8183	5.8629	5.8141	5.4188	4.9122	4.4012	3.9142	3.4523	3.0776	2.7692	2.4674	2.2573	2.132	1.9804	2023
1835	Oceania (excluding Australia and New Zealand)	6.0484	6.1723	6.2475	6.1387	5.87	5.52	5.1725	4.8676	4.5454	4.2453	4.0145	3.7928	3.5575	3.2988	2023
1836	Australia/New Zealand	3.2379	3.48	3.4139	2.9423	2.6384	2.0326	1.9219	1.8906	1.8979	1.807	1.7927	1.9614	1.8922	1.7286	2023
1829	Europe and Northern America	2.789	2.837	2.7348	2.4374	2.1509	1.9409	1.8677	1.8397	1.6895	1.5687	1.588	1.6884	1.6816	1.6039	2023
5502	Europe, Northern America, Australia, and New Zealand	2.7948	2.8453	2.7443	2.4454	2.1599	1.9427	1.8686	1.8405	1.6935	1.5739	1.5928	1.6949	1.6867	1.6069	2023
901	More developed regions	2.7956	2.7566	2.6465	2.3858	2.1653	1.941	1.8576	1.8123	1.6606	1.5512	1.568	1.6638	1.6629	1.5875	2023
902	Less developed regions	6.0611	5.9691	6.0791	6.0117	5.3895	4.5625	4.2188	3.8868	3.38	3.0717	2.897	2.7986	2.7358	2.5953	2023
941	Least developed countries	6.4609	6.5541	6.656	6.7114	6.7286	6.6542	6.5196	6.1426	5.7341	5.401	5.0727	4.7454	4.4181	4.1918	2023
934	Less developed regions, excluding least developed countries	6.0077	5.8896	5.9999	5.9189	5.2123	4.2856	3.9235	3.6011	3.0773	2.7595	2.5894	2.5022	2.4526	2.2908	2023
948	Less developed regions, excluding China	6.0189	6.1119	6.1301	5.9565	5.658	5.2679	4.9106	4.4721	4.0422	3.673	3.3918	3.1864	3.0266	2.8373	2023
1636	Land-locked Developing Countries (LLDC)	6.1342	6.2704	6.3684	6.2458	6.1918	6.1411	6.0481	5.8621	5.5574	5.2281	4.9411	4.7113	4.4029	4.1324	2023
2087	LLDC: Africa	6.6742	6.7485	6.8421	6.9394	7.0657	7.2088	7.2032	7.0282	6.7822	6.5282	6.2503	5.8557	5.3	4.8209	2023
2088	LLDC: Asia	5.657	5.8978	6.0371	5.7089	5.4935	5.2143	4.9058	4.6486	4.2723	3.7852	3.369	3.2487	3.1766	3.1322	2023
2089	LLDC: Europe	3.8705	3.5917	3.167	2.8078	2.6484	2.4573	2.462	2.5214	2.1857	1.7601	1.5676	1.6323	1.7417	1.8098	2023
2090	LLDC: Latin America	6.3133	6.3452	6.3171	6.0996	5.729	5.4585	5.2511	4.9657	4.554	4.0768	3.5606	3.1931	2.9101	2.7002	2023
