country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	2.309	2.306	2.304	2.296	2.293	2.287	2.283	2.276	2.27	2.261	2.256	2.251	2.247	2.24	2.237	2.237	2.237	2.233	2.232	2.233	2.232	2.228	2.228	2.227	2.226	2.223	2.22	2.212	2.207	2.205	2.198	2.193	2.188	2.18	2.178	2.175	2.166	2.162	2.158	2.148	2.146	2.138	2.131	2.13	2.122	2.118	2.118	2.119	2.107	2.106	2.102	2.098	2.097	2.097	2.093	2.09	2.092	2.087	2.085	2.082	2.081	2.074	2.071	2.07	2.07	2.071	2.068	2.063	2.058	2.053	2.051	2.048	2.053	2.051	2.045	2.047	2.048
1834	Sub-Saharan Africa	4.388	4.328	4.273	4.212	4.153	4.098	4.04	3.987	3.93	3.879	3.827	3.777	3.725	3.675	3.632	3.588	3.542	3.498	3.457	3.415	3.382	3.335	3.297	3.261	3.226	3.187	3.159	3.129	3.102	3.068	3.043	3.021	2.995	2.979	2.962	2.942	2.913	2.894	2.872	2.85	2.831	2.812	2.797	2.785	2.766	2.752	2.731	2.716	2.707	2.689	2.667	2.651	2.646	2.632	2.61	2.602	2.593	2.589	2.584	2.567	2.566	2.547	2.542	2.538	2.528	2.518	2.505	2.489	2.484	2.468	2.46	2.451	2.462	2.459	2.445	2.434	2.437
1833	Northern Africa and Western Asia	2.842	2.822	2.811	2.791	2.778	2.756	2.732	2.716	2.697	2.674	2.656	2.636	2.619	2.6	2.592	2.58	2.564	2.548	2.544	2.528	2.522	2.512	2.5	2.499	2.492	2.487	2.479	2.467	2.455	2.447	2.437	2.427	2.417	2.415	2.413	2.399	2.392	2.385	2.383	2.361	2.357	2.349	2.341	2.33	2.322	2.309	2.304	2.297	2.296	2.294	2.286	2.277	2.273	2.276	2.268	2.253	2.255	2.258	2.251	2.241	2.234	2.231	2.229	2.22	2.218	2.211	2.21	2.203	2.207	2.192	2.188	2.181	2.184	2.177	2.168	2.163	2.158
1831	Central and Southern Asia	2.405	2.396	2.392	2.391	2.385	2.378	2.37	2.367	2.36	2.339	2.335	2.332	2.33	2.318	2.297	2.296	2.286	2.294	2.289	2.283	2.279	2.273	2.273	2.263	2.261	2.259	2.265	2.262	2.251	2.241	2.243	2.228	2.223	2.226	2.22	2.216	2.214	2.211	2.208	2.201	2.196	2.193	2.182	2.183	2.178	2.175	2.18	2.178	2.166	2.166	2.156	2.152	2.16	2.15	2.151	2.146	2.153	2.154	2.151	2.154	2.151	2.151	2.155	2.143	2.144	2.14	2.131	2.13	2.132	2.135	2.129	2.125	2.126	2.127	2.121	2.127	2.119
1832	Eastern and South-Eastern Asia	1.442	1.454	1.471	1.478	1.487	1.497	1.512	1.515	1.524	1.531	1.536	1.54	1.548	1.558	1.566	1.576	1.586	1.597	1.602	1.609	1.623	1.635	1.637	1.651	1.657	1.67	1.672	1.674	1.671	1.679	1.679	1.679	1.677	1.673	1.675	1.673	1.675	1.682	1.677	1.681	1.689	1.69	1.696	1.698	1.704	1.71	1.704	1.707	1.711	1.715	1.716	1.721	1.726	1.727	1.731	1.737	1.738	1.74	1.74	1.747	1.748	1.746	1.754	1.752	1.751	1.757	1.76	1.754	1.747	1.751	1.753	1.75	1.752	1.758	1.759	1.758	1.758
1830	Latin America and the Caribbean	1.889	1.883	1.876	1.87	1.864	1.862	1.857	1.857	1.855	1.855	1.852	1.845	1.844	1.848	1.844	1.844	1.837	1.836	1.836	1.834	1.837	1.834	1.837	1.84	1.835	1.837	1.839	1.835	1.834	1.837	1.838	1.833	1.835	1.831	1.827	1.827	1.828	1.825	1.82	1.823	1.827	1.827	1.826	1.824	1.83	1.824	1.826	1.827	1.831	1.828	1.83	1.832	1.829	1.828	1.829	1.834	1.829	1.834	1.836	1.837	1.835	1.84	1.844	1.838	1.837	1.837	1.836	1.839	1.838	1.837	1.836	1.833	1.835	1.835	1.84	1.845	1.847
1835	Oceania (excluding Australia and New Zealand)	3.483	3.45	3.439	3.417	3.418	3.379	3.344	3.318	3.295	3.26	3.266	3.25	3.217	3.18	3.174	3.144	3.128	3.108	3.093	3.097	3.084	3.071	3.059	3.061	3.048	3.02	2.993	2.973	2.978	2.966	2.948	2.946	2.917	2.906	2.893	2.879	2.85	2.841	2.838	2.836	2.823	2.812	2.778	2.765	2.753	2.739	2.736	2.734	2.699	2.69	2.677	2.645	2.656	2.633	2.628	2.622	2.61	2.594	2.596	2.579	2.571	2.56	2.53	2.526	2.523	2.504	2.497	2.47	2.468	2.471	2.456	2.435	2.448	2.442	2.431	2.435	2.412
1836	Australia/New Zealand	1.728	1.739	1.754	1.767	1.78	1.791	1.798	1.805	1.809	1.806	1.811	1.815	1.814	1.823	1.831	1.836	1.837	1.846	1.852	1.857	1.856	1.862	1.862	1.863	1.865	1.875	1.882	1.881	1.883	1.88	1.894	1.902	1.898	1.903	1.903	1.912	1.912	1.906	1.904	1.896	1.901	1.906	1.896	1.902	1.902	1.905	1.907	1.908	1.903	1.903	1.919	1.919	1.927	1.93	1.922	1.92	1.92	1.929	1.919	1.925	1.929	1.934	1.935	1.931	1.938	1.945	1.947	1.944	1.944	1.953	1.951	1.958	1.94	1.962	1.952	1.943	1.934
1829	Europe and Northern America	1.513	1.524	1.536	1.546	1.554	1.564	1.573	1.581	1.588	1.599	1.604	1.61	1.614	1.617	1.624	1.629	1.63	1.632	1.638	1.644	1.651	1.654	1.653	1.661	1.665	1.667	1.672	1.676	1.679	1.686	1.688	1.691	1.695	1.704	1.705	1.708	1.711	1.714	1.712	1.713	1.72	1.717	1.721	1.725	1.725	1.734	1.738	1.74	1.739	1.742	1.742	1.745	1.738	1.745	1.751	1.749	1.752	1.753	1.755	1.756	1.759	1.761	1.761	1.763	1.769	1.771	1.77	1.773	1.78	1.779	1.78	1.782	1.784	1.787	1.786	1.782	1.783
5502	Europe, Northern America, Australia, and New Zealand	1.513	1.523	1.535	1.546	1.554	1.564	1.573	1.581	1.589	1.599	1.604	1.608	1.613	1.615	1.623	1.628	1.63	1.633	1.637	1.641	1.648	1.653	1.653	1.657	1.665	1.666	1.672	1.676	1.679	1.684	1.687	1.69	1.696	1.704	1.708	1.709	1.713	1.717	1.717	1.72	1.724	1.722	1.727	1.734	1.734	1.741	1.744	1.744	1.747	1.747	1.749	1.752	1.752	1.756	1.761	1.759	1.768	1.766	1.77	1.768	1.772	1.778	1.776	1.778	1.783	1.786	1.788	1.791	1.794	1.793	1.797	1.797	1.801	1.807	1.805	1.807	1.804
