country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	2.499235	2.489966	2.481827	2.472642	2.464038	2.606025	2.597773	2.588737	2.579381	2.570847	2.663066	2.655519	2.648809	2.64214	2.637321	2.633219	2.630466	2.626694	2.623402	2.620744	2.617467	2.613242	2.609197	2.603633	2.598298	2.592292	2.586156	2.579548	2.572367	2.565011	2.556295	2.548534	2.540605	2.532278	2.523993	2.516303	2.50874	2.501047	2.494407	2.48769	2.481518	2.475318	2.469547	2.463774	2.45825	2.452677	2.44798	2.44366	2.439063	2.434828	2.430508	2.426394	2.422603	2.418711	2.414215	2.409942	2.405989	2.401418	2.397859	2.393272	2.388967	2.384363	2.379662	2.374924	2.37042	2.365988	2.361386	2.35689	2.352396	2.347766	2.3434	2.339032	2.335351	2.332055	2.328445	2.325338	2.321778
1834	Sub-Saharan Africa	4.505093	4.433264	4.36228	4.290846	4.223106	4.30749	4.240023	4.176099	4.110356	4.048788	4.088618	4.028956	3.97289	3.914285	3.862739	3.812783	3.764353	3.715881	3.670859	3.627784	3.585997	3.543875	3.506426	3.468332	3.432098	3.396943	3.36334	3.33133	3.301149	3.270361	3.240577	3.212082	3.184747	3.158718	3.134546	3.110592	3.086748	3.06384	3.040867	3.018356	2.99652	2.975772	2.956121	2.937015	2.918102	2.899799	2.881697	2.864654	2.847662	2.831295	2.814929	2.799252	2.784125	2.76937	2.754442	2.740353	2.726825	2.713868	2.702647	2.690469	2.679056	2.667542	2.656008	2.644944	2.634731	2.624244	2.613704	2.604068	2.593961	2.584872	2.576277	2.567377	2.558816	2.550332	2.542301	2.533854	2.526118
1833	Northern Africa and Western Asia	2.965284	2.937167	2.914188	2.889409	2.864684	2.991907	2.967722	2.942354	2.920041	2.89677	2.977199	2.954004	2.933118	2.913078	2.89757	2.88229	2.867865	2.853287	2.838896	2.824604	2.809073	2.793146	2.777255	2.762503	2.74862	2.734227	2.721218	2.708855	2.696476	2.684868	2.674135	2.663765	2.652995	2.642477	2.632349	2.622083	2.61205	2.601924	2.592168	2.581489	2.57249	2.563224	2.555207	2.547087	2.538256	2.529695	2.5214	2.513818	2.506591	2.500139	2.492814	2.485229	2.479367	2.472933	2.46656	2.461054	2.454657	2.448793	2.44251	2.436244	2.431071	2.425429	2.419499	2.413468	2.407385	2.4022	2.396357	2.391618	2.386944	2.381738	2.375983	2.37026	2.365469	2.361228	2.357727	2.35397	2.350699
1831	Central and Southern Asia	2.486106	2.463833	2.444764	2.426827	2.410306	2.545954	2.533975	2.520667	2.507173	2.496146	2.585963	2.576945	2.567237	2.557588	2.547182	2.538368	2.53308	2.525133	2.517318	2.510331	2.503995	2.496929	2.490507	2.481958	2.475213	2.468331	2.462008	2.456137	2.449248	2.444691	2.438134	2.433912	2.430442	2.42544	2.419395	2.414121	2.409051	2.402763	2.399406	2.394668	2.391131	2.386765	2.382815	2.377845	2.373147	2.367356	2.363869	2.360533	2.355608	2.351216	2.346977	2.342984	2.339708	2.336779	2.332193	2.328411	2.326243	2.321945	2.319907	2.316621	2.314534	2.31162	2.309934	2.307669	2.305771	2.304008	2.301886	2.299745	2.29784	2.294311	2.291288	2.288062	2.286379	2.284716	2.281572	2.280021	2.276691
1832	Eastern and South-Eastern Asia	1.591663	1.595146	1.60091	1.605103	1.609793	1.763543	1.769143	1.773476	1.778302	1.781518	1.885027	1.88858	1.891657	1.896815	1.901305	1.905416	1.909717	1.914162	1.919604	1.927384	1.93438	1.942146	1.949314	1.956425	1.962505	1.968309	1.972662	1.975059	1.977166	1.978617	1.977552	1.9786	1.978341	1.977606	1.976829	1.977115	1.977	1.97654	1.97721	1.979105	1.980452	1.981591	1.982543	1.983777	1.985873	1.987308	1.989427	1.992342	1.995152	1.998873	2.002328	2.006468	2.010432	2.013884	2.018155	2.021304	2.025246	2.028206	2.031719	2.034104	2.034863	2.036457	2.036071	2.036335	2.03558	2.035362	2.03532	2.034032	2.032686	2.031721	2.030585	2.029951	2.029727	2.030653	2.031076	2.032474	2.032236
1830	Latin America and the Caribbean	2.049241	2.034459	2.023235	2.01353	2.005237	2.149379	2.14304	2.137653	2.132201	2.127875	2.224109	2.220165	2.21674	2.214348	2.212806	2.209581	2.207121	2.203864	2.20028	2.197611	2.195482	2.192718	2.190801	2.188151	2.186834	2.185175	2.183679	2.182783	2.181147	2.17966	2.178249	2.177274	2.175338	2.173422	2.171359	2.170073	2.168658	2.167059	2.165662	2.165579	2.164855	2.164014	2.162869	2.162472	2.161768	2.16175	2.161964	2.161865	2.1624	2.162468	2.162597	2.163261	2.163461	2.162805	2.161693	2.161484	2.15956	2.159175	2.158636	2.157327	2.156416	2.15508	2.153569	2.151985	2.151619	2.151323	2.150677	2.150178	2.149739	2.149318	2.14848	2.147874	2.147769	2.147833	2.147921	2.148655	2.148966
1835	Oceania (excluding Australia and New Zealand)	3.248453	3.209009	3.175113	3.14198	3.111175	3.227389	3.196674	3.166236	3.14176	3.116501	3.191062	3.164735	3.139627	3.113361	3.091364	3.069507	3.0483	3.026552	3.003153	2.984902	2.967355	2.950283	2.931801	2.912254	2.894127	2.876251	2.859517	2.843577	2.828603	2.811927	2.796652	2.781826	2.768372	2.754914	2.741379	2.728353	2.71384	2.701264	2.68949	2.677532	2.668171	2.6566	2.646243	2.634227	2.623203	2.613648	2.603118	2.59267	2.583316	2.5707	2.562057	2.55159	2.545456	2.539064	2.53234	2.524679	2.515634	2.50832	2.502657	2.495947	2.490026	2.483944	2.478897	2.472794	2.466524	2.458343	2.450835	2.443253	2.438284	2.432312	2.426407	2.421081	2.416557	2.408856	2.402954	2.396763	2.39055
1836	Australia/New Zealand	1.892183	1.890802	1.890213	1.89117	1.892478	2.041162	2.041309	2.039756	2.039192	2.038136	2.137791	2.138346	2.13655	2.13576	2.1358	2.134447	2.133118	2.133318	2.133048	2.132398	2.132979	2.131809	2.131296	2.131047	2.133397	2.134716	2.135079	2.134637	2.133985	2.13331	2.131545	2.132264	2.132371	2.132385	2.133175	2.131886	2.130297	2.131291	2.131626	2.129711	2.131894	2.129464	2.130539	2.130615	2.12931	2.132008	2.129925	2.130889	2.131892	2.131825	2.131184	2.132253	2.130798	2.130005	2.130368	2.132975	2.133061	2.132552	2.131591	2.132678	2.13355	2.133362	2.131866	2.132889	2.132887	2.1336	2.135399	2.133084	2.133276	2.133963	2.135283	2.134489	2.134008	2.134213	2.132941	2.13105	2.131424
1829	Europe and Northern America	1.722169	1.726698	1.730511	1.734876	1.740873	1.89593	1.901402	1.905845	1.910671	1.914987	2.018278	2.021611	2.025462	2.027009	2.029002	2.030802	2.031546	2.032429	2.032323	2.032603	2.032568	2.034244	2.034366	2.03528	2.037126	2.038702	2.041807	2.04446	2.047047	2.050261	2.052734	2.055101	2.057846	2.060396	2.061781	2.063734	2.065731	2.066988	2.067911	2.068629	2.069659	2.070904	2.07141	2.072027	2.072707	2.073626	2.075031	2.074723	2.075665	2.075901	2.077185	2.077865	2.078825	2.080335	2.081448	2.082333	2.083235	2.083762	2.084501	2.085406	2.086177	2.087475	2.088973	2.090179	2.091374	2.092856	2.094526	2.09488	2.09619	2.096499	2.096996	2.097914	2.098249	2.099548	2.099377	2.099877	2.099227
5502	Europe, Northern America, Australia, and New Zealand	1.727311	1.731792	1.735582	1.739927	1.745832	1.900732	1.906026	1.910243	1.914853	1.918948	2.02208	2.025283	2.028931	2.030393	2.032326	2.034042	2.034744	2.035634	2.035551	2.03583	2.035838	2.037442	2.037567	2.038473	2.040373	2.041993	2.045061	2.047668	2.050202	2.053331	2.055694	2.058029	2.060691	2.063146	2.064497	2.066311	2.068149	2.06937	2.070249	2.070848	2.071907	2.073004	2.073528	2.07413	2.074744	2.075746	2.07704	2.076804	2.077773	2.078024	2.079262	2.079985	2.080878	2.082322	2.083429	2.084403	2.085292	2.085793	2.086477	2.0874	2.088184	2.089427	2.090804	2.092004	2.093148	2.094595	2.096266	2.096502	2.097757	2.098074	2.098598	2.099435	2.099729	2.100978	2.100759	2.101158	2.100556
