country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	1.996135	1.987026	1.979057	1.970053	1.961625	1.80284	1.794705	1.785843	1.776555	1.767966	1.659692	1.651678	1.644372	1.636994	1.631377	1.626586	1.623554	1.62008	1.617864	1.617157	1.61647	1.615456	1.615114	1.61361	1.612601	1.611034	1.60937	1.607182	1.604393	1.601331	1.596807	1.592919	1.588564	1.583414	1.577829	1.572184	1.566088	1.559363	1.553122	1.546386	1.539941	1.533365	1.527072	1.520558	1.514045	1.507397	1.501459	1.495853	1.489991	1.484465	1.47896	1.473757	1.468964	1.464215	1.458969	1.454184	1.449815	1.445055	1.441411	1.43687	1.432832	1.428482	1.424108	1.41965	1.415567	1.411406	1.406983	1.402641	1.398236	1.393661	1.389209	1.384544	1.380367	1.376408	1.372145	1.368039	1.363655
1834	Sub-Saharan Africa	4.005514	3.933711	3.862715	3.791251	3.723459	3.507799	3.440192	3.376231	3.310475	3.248931	3.088739	3.02917	2.973241	2.91482	2.863499	2.813816	2.765705	2.717585	2.672949	2.63029	2.588946	2.547305	2.510362	2.472794	2.437081	2.402442	2.369364	2.337861	2.308144	2.277759	2.248324	2.220136	2.193057	2.167234	2.14324	2.119412	2.095692	2.072926	2.050098	2.027755	2.006092	1.985566	1.966183	1.947342	1.928648	1.910564	1.892624	1.875778	1.858928	1.8427	1.826449	1.810892	1.79584	1.781162	1.76625	1.75216	1.738568	1.725532	1.714258	1.702028	1.690534	1.678895	1.667197	1.655986	1.645695	1.63507	1.624427	1.614701	1.604522	1.595395	1.586789	1.577795	1.569164	1.560605	1.552519	1.544011	1.536199
1833	Northern Africa and Western Asia	2.462774	2.434417	2.411279	2.386324	2.361415	2.186625	2.162152	2.136702	2.11452	2.091507	1.970939	1.948041	1.927382	1.907295	1.891446	1.875609	1.86065	1.845854	1.831822	1.818648	1.805059	1.791519	1.778398	1.766534	1.755489	1.743661	1.732846	1.722225	1.711176	1.700528	1.690483	1.680494	1.669904	1.659508	1.649386	1.639092	1.628985	1.618684	1.60879	1.597865	1.588555	1.578877	1.570442	1.561838	1.552431	1.543212	1.534277	1.526073	1.518222	1.511103	1.503125	1.494823	1.488346	1.481305	1.474466	1.468672	1.462019	1.456049	1.449781	1.443557	1.438609	1.433145	1.427404	1.421449	1.415464	1.410353	1.404459	1.399619	1.394686	1.389152	1.382882	1.376548	1.371176	1.366228	1.361919	1.357248	1.353121
1831	Central and Southern Asia	1.986337	1.964175	1.945246	1.92747	1.911114	1.747568	1.735798	1.722656	1.709294	1.698346	1.588946	1.579952	1.570286	1.560669	1.550243	1.541361	1.536027	1.528161	1.520713	1.514462	1.509207	1.503436	1.498436	1.49139	1.486189	1.480768	1.47578	1.471013	1.465047	1.461269	1.455321	1.45149	1.448196	1.443323	1.437434	1.432427	1.427645	1.421731	1.418687	1.414303	1.410937	1.406769	1.402913	1.398129	1.393729	1.388362	1.385438	1.382702	1.378563	1.37481	1.371216	1.368018	1.365248	1.36275	1.358512	1.354973	1.353004	1.348762	1.34646	1.342805	1.340374	1.337022	1.334812	1.331825	1.329421	1.327176	1.324578	1.321795	1.319585	1.315827	1.312442	1.308966	1.307093	1.305377	1.302356	1.300673	1.297542
1832	Eastern and South-Eastern Asia	1.09318	1.096441	1.10184	1.105562	1.109738	0.962779	0.96761	0.971286	0.975506	0.978164	0.8805	0.883546	0.886111	0.890815	0.894852	0.89858	0.902677	0.907095	0.912727	0.920941	0.928388	0.936818	0.94497	0.953547	0.961697	0.970224	0.977842	0.983981	0.990201	0.995971	0.999377	1.004666	1.008688	1.011875	1.01472	1.017931	1.020114	1.021151	1.022537	1.024561	1.025805	1.026665	1.027062	1.027316	1.02815	1.028165	1.02843	1.029047	1.029459	1.030642	1.03195	1.033714	1.035603	1.037151	1.039759	1.041932	1.045171	1.04799	1.051659	1.054677	1.056797	1.060009	1.06175	1.06429	1.066269	1.068616	1.070865	1.071941	1.073007	1.073988	1.074594	1.075293	1.075689	1.076688	1.077123	1.077887	1.077043
1830	Latin America and the Caribbean	1.547778	1.532807	1.521424	1.511572	1.50316	1.346081	1.339711	1.334342	1.328933	1.3247	1.220372	1.21663	1.213297	1.21092	1.209333	1.206101	1.203786	1.200884	1.197852	1.195833	1.194374	1.192269	1.190964	1.18891	1.188171	1.187112	1.18624	1.186022	1.18509	1.18436	1.183682	1.183403	1.182085	1.180667	1.178968	1.177886	1.176504	1.17481	1.1732	1.172697	1.171424	1.169908	1.168008	1.166726	1.165113	1.164164	1.163453	1.162453	1.162168	1.161507	1.161017	1.161224	1.161144	1.160468	1.15954	1.159719	1.158395	1.158769	1.159097	1.158805	1.158959	1.158689	1.158163	1.157483	1.157882	1.158194	1.157953	1.157641	1.15724	1.156623	1.155504	1.154441	1.153721	1.153117	1.152469	1.152435	1.152007
1835	Oceania (excluding Australia and New Zealand)	2.748784	2.709337	2.67537	2.642081	2.611449	2.427644	2.396906	2.366292	2.341561	2.316067	2.190244	2.163631	2.138214	2.111567	2.089182	2.067101	2.045872	2.024186	2.000799	1.982863	1.965613	1.949104	1.930885	1.912104	1.894677	1.877301	1.861307	1.846133	1.83163	1.815605	1.800703	1.786184	1.772864	1.759643	1.746038	1.733382	1.718708	1.706138	1.694226	1.682089	1.672619	1.660645	1.650104	1.637735	1.626364	1.616671	1.606041	1.595325	1.585771	1.57297	1.564261	1.553732	1.547519	1.541156	1.534495	1.526796	1.517841	1.510599	1.505106	1.498567	1.49274	1.486749	1.481854	1.475827	1.4697	1.461368	1.453957	1.446454	1.441465	1.435406	1.429368	1.42399	1.419354	1.411526	1.405417	1.399088	1.392572
1836	Australia/New Zealand	1.391968	1.390605	1.390022	1.390928	1.392279	1.240788	1.240977	1.239445	1.238948	1.237939	1.13758	1.13818	1.136446	1.135691	1.135751	1.134417	1.133065	1.133293	1.133057	1.132374	1.132966	1.13184	1.131323	1.131107	1.133407	1.134743	1.135094	1.134638	1.134016	1.133364	1.131606	1.1323	1.132426	1.132475	1.133292	1.132033	1.130472	1.131489	1.131809	1.129868	1.132067	1.129634	1.130709	1.130818	1.129462	1.132225	1.130121	1.131108	1.132154	1.132042	1.131385	1.13251	1.130994	1.130221	1.130583	1.133232	1.133303	1.132776	1.131846	1.132904	1.133854	1.133618	1.132106	1.133121	1.133085	1.133849	1.135669	1.133314	1.133519	1.134193	1.135545	1.134696	1.134171	1.134413	1.133153	1.131218	1.131549
1829	Europe and Northern America	1.225475	1.229385	1.232479	1.236186	1.241484	1.096008	1.100498	1.104042	1.108029	1.111619	1.013789	1.016585	1.020082	1.021566	1.02388	1.026356	1.028133	1.030421	1.032082	1.034371	1.036316	1.03972	1.041216	1.043002	1.045216	1.046653	1.049224	1.05114	1.052874	1.055248	1.057049	1.058888	1.061229	1.063474	1.064637	1.066481	1.06846	1.069741	1.0708	1.071764	1.0731	1.074712	1.075615	1.076614	1.07762	1.078866	1.080591	1.080492	1.081613	1.081941	1.08329	1.084007	1.08495	1.086445	1.087507	1.088281	1.089101	1.089528	1.090173	1.090971	1.091625	1.092813	1.094232	1.095289	1.09638	1.097833	1.099477	1.099725	1.101049	1.101364	1.101871	1.102877	1.103281	1.104732	1.104595	1.105164	1.104448
5502	Europe, Northern America, Australia, and New Zealand	1.230516	1.234369	1.237438	1.241125	1.246344	1.100679	1.105033	1.108402	1.112226	1.115645	1.017706	1.020414	1.023735	1.025145	1.02739	1.029755	1.031449	1.033694	1.03532	1.037544	1.039473	1.042754	1.044205	1.045944	1.048179	1.049634	1.052151	1.05401	1.05569	1.057989	1.0597	1.061539	1.063842	1.066047	1.067238	1.069002	1.070876	1.072177	1.073234	1.074105	1.075495	1.076958	1.07788	1.078855	1.079775	1.081094	1.08267	1.082624	1.08375	1.084068	1.085341	1.086083	1.086929	1.088334	1.089375	1.09024	1.091037	1.091433	1.09202	1.092843	1.093526	1.094663	1.095961	1.097033	1.098089	1.099528	1.101199	1.10134	1.102628	1.102979	1.103547	1.104476	1.10485	1.106254	1.106073	1.106525	1.105872
901	More developed regions	1.208785	1.21304	1.216475	1.220629	1.226084	1.080866	1.085529	1.089191	1.093345	1.096969	0.999461	1.002551	1.006101	1.007884	1.010535	1.013181	1.01509	1.017443	1.019264	1.021794	1.023942	1.027599	1.029332	1.031283	1.033797	1.035523	1.03825	1.04034	1.042342	1.04478	1.046742	1.048784	1.051054	1.053433	1.054814	1.056763	1.058853	1.060405	1.061584	1.062607	1.064141	1.065846	1.066948	1.068068	1.06929	1.07077	1.072587	1.072789	1.073978	1.074545	1.075989	1.076924	1.077919	1.079357	1.080597	1.081554	1.082426	1.082932	1.083773	1.084736	1.085436	1.086743	1.088131	1.089202	1.090328	1.091791	1.093525	1.093809	1.095122	1.095475	1.096056	1.096941	1.097429	1.098875	1.098893	1.099197	1.098667
902	Less developed regions	2.105265	2.093974	2.084281	2.073343	2.062926	1.902593	1.892498	1.881638	1.87011	1.85934	1.749159	1.738902	1.729292	1.719794	1.712151	1.705448	1.700834	1.695669	1.692015	1.690008	1.688128	1.685698	1.684319	1.681632	1.67946	1.676805	1.673957	1.67068	1.666824	1.662704	1.657091	1.652288	1.647027	1.640964	1.634634	1.628244	1.621375	1.613901	1.607038	1.599652	1.59252	1.585197	1.578238	1.571019	1.563775	1.556316	1.549586	1.543382	1.536761	1.530569	1.524281	1.518378	1.512938	1.507487	1.50149	1.496052	1.49109	1.485745	1.481644	1.476521	1.472012	1.467095	1.462148	1.457176	1.452643	1.448017	1.443068	1.438395	1.433554	1.428645	1.423861	1.418811	1.414353	1.410015	1.40552	1.401156	1.396576
941	Least developed countries	3.639394	3.582957	3.529356	3.476722	3.425803	3.226937	3.176236	3.126849	3.075858	3.02927	2.885051	2.838313	2.793285	2.746605	2.706727	2.666977	2.630446	2.592719	2.558622	2.525483	2.493218	2.460576	2.431656	2.401088	2.372835	2.343572	2.315599	2.289355	2.263278	2.237525	2.21277	2.188424	2.164718	2.142334	2.121116	2.100051	2.078831	2.058568	2.03867	2.018679	1.99919	1.980967	1.963977	1.94654	1.929343	1.912626	1.896043	1.880165	1.86419	1.848765	1.833093	1.817879	1.803504	1.78924	1.77463	1.760691	1.747576	1.734897	1.723869	1.711999	1.700923	1.689581	1.677833	1.666697	1.656746	1.645877	1.635389	1.625825	1.616056	1.606884	1.598084	1.588965	1.580235	1.571906	1.563905	1.555777	1.547943
