country_code	country	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	2.247689	2.238503	2.230446	2.221338	2.212793	2.204436	2.196096	2.187051	2.177622	2.168942	2.160795	2.152853	2.14575	2.138715	2.13358	2.129317	2.1267	2.123425	2.121082	2.119869	2.118116	2.115596	2.11332	2.109495	2.105817	2.101333	2.096578	2.091222	2.085247	2.079094	2.071633	2.065098	2.058399	2.051227	2.043926	2.036928	2.029787	2.022277	2.015564	2.008623	2.002189	1.995768	1.989782	1.983729	1.977825	1.971822	1.966632	1.961815	1.95675	1.952068	1.94737	1.942933	1.938865	1.934758	1.930086	1.925728	1.921718	1.917175	1.913684	1.90922	1.90513	1.900735	1.896274	1.891754	1.887521	1.883291	1.878842	1.874483	1.870089	1.86553	1.861166	1.856702	1.852833	1.849269	1.845388	1.841869	1.837964
1834	Sub-Saharan Africa	4.255307	4.183492	4.112496	4.041052	3.973294	3.907556	3.839995	3.776071	3.710345	3.648813	3.588568	3.52899	3.47304	3.414577	3.363185	3.313403	3.265158	3.216882	3.172064	3.129204	3.08764	3.045754	3.008546	2.970691	2.934686	2.899756	2.866376	2.834587	2.80461	2.773993	2.744358	2.715988	2.688753	2.662795	2.638672	2.614738	2.590908	2.568026	2.545087	2.522629	2.50086	2.480217	2.460693	2.44172	2.422924	2.404741	2.38674	2.369814	2.352917	2.336649	2.320367	2.304775	2.289712	2.275016	2.260115	2.246039	2.232491	2.219499	2.208253	2.196046	2.184591	2.173013	2.161399	2.150266	2.140017	2.129469	2.118886	2.109217	2.099083	2.089986	2.081396	2.072467	2.063887	2.055382	2.047338	2.038877	2.031121
1833	Northern Africa and Western Asia	2.714033	2.6858	2.662754	2.637912	2.613131	2.589515	2.565189	2.539827	2.517672	2.494625	2.474678	2.451694	2.431	2.410994	2.395353	2.379823	2.365168	2.350541	2.336457	2.322935	2.308426	2.293869	2.279532	2.26634	2.253911	2.240732	2.22864	2.216857	2.20476	2.193171	2.182278	2.171575	2.160399	2.149499	2.139004	2.128433	2.118159	2.107829	2.097943	2.087124	2.077973	2.068512	2.060291	2.051923	2.042802	2.033907	2.025287	2.017394	2.009865	2.003105	1.995483	1.9876	1.981501	1.974859	1.968362	1.962835	1.956458	1.950701	1.944592	1.938517	1.933605	1.928195	1.922489	1.91662	1.910683	1.905612	1.899804	1.895055	1.89028	1.884919	1.878915	1.872885	1.867778	1.86316	1.859231	1.854996	1.851266
1831	Central and Southern Asia	2.236224	2.214007	2.195009	2.177151	2.160705	2.146769	2.13487	2.121617	2.108169	2.097161	2.087376	2.078323	2.068611	2.05897	2.048567	2.039757	2.034499	2.026664	2.019121	2.012606	2.006922	2.000602	1.99496	1.987184	1.981182	1.974947	1.969152	1.963636	1.956951	1.952469	1.945855	1.941443	1.937675	1.932368	1.926068	1.920637	1.915474	1.909173	1.905816	1.901119	1.897566	1.893211	1.88928	1.884408	1.879903	1.874411	1.871325	1.868453	1.864092	1.860227	1.856516	1.853091	1.850249	1.847686	1.843378	1.839776	1.837709	1.833397	1.83117	1.827605	1.82521	1.821921	1.819803	1.817015	1.814669	1.81247	1.809925	1.807322	1.805111	1.801341	1.79807	1.794679	1.792904	1.791245	1.788214	1.786732	1.783625
1832	Eastern and South-Eastern Asia	1.342424	1.345795	1.35137	1.355305	1.359698	1.363091	1.368208	1.372106	1.376471	1.379214	1.381922	1.385034	1.387718	1.392638	1.397035	1.401235	1.405847	1.410781	1.416898	1.425543	1.433095	1.441273	1.448688	1.455944	1.462119	1.468058	1.472593	1.475257	1.477818	1.479988	1.479991	1.482333	1.483752	1.484854	1.485925	1.487763	1.488872	1.489188	1.49019	1.492161	1.493568	1.494811	1.495854	1.496991	1.498763	1.499609	1.500821	1.502552	1.504063	1.506402	1.508587	1.511374	1.51408	1.516338	1.519526	1.521868	1.52515	1.52773	1.531077	1.5336	1.53491	1.537294	1.538038	1.539615	1.540453	1.541836	1.543333	1.543622	1.543845	1.54422	1.544268	1.544565	1.54491	1.54609	1.546618	1.547777	1.547183
1830	Latin America and the Caribbean	1.798506	1.783633	1.772315	1.762534	1.754169	1.747744	1.741401	1.736015	1.730561	1.726243	1.722191	1.718359	1.714968	1.712576	1.711006	1.707766	1.705368	1.702285	1.698979	1.696647	1.694855	1.692405	1.690762	1.688362	1.687287	1.68585	1.68459	1.683943	1.682548	1.68133	1.680156	1.679406	1.677649	1.675851	1.673841	1.67253	1.671011	1.669241	1.667618	1.667209	1.666104	1.664831	1.663204	1.662276	1.661032	1.660468	1.66015	1.659537	1.659604	1.659269	1.659086	1.659539	1.659647	1.659053	1.65813	1.658246	1.656772	1.656927	1.65701	1.656396	1.65619	1.655539	1.654661	1.653638	1.653726	1.653768	1.6533	1.652847	1.65233	1.651687	1.650545	1.649537	1.648942	1.648467	1.647994	1.648169	1.647946
1835	Oceania (excluding Australia and New Zealand)	2.998553	2.959159	2.925223	2.891993	2.861323	2.827663	2.797118	2.766371	2.741715	2.716316	2.690762	2.664125	2.639127	2.61256	2.590378	2.568273	2.547172	2.525508	2.501963	2.483895	2.46655	2.449711	2.431232	2.412248	2.394487	2.376835	2.360363	2.344839	2.330023	2.313691	2.298623	2.283942	2.270603	2.257104	2.243474	2.230648	2.216116	2.203459	2.191577	2.179395	2.16996	2.158122	2.147722	2.135414	2.12427	2.114606	2.104019	2.093506	2.083956	2.071168	2.062492	2.052169	2.045931	2.0396	2.032887	2.025246	2.016318	2.009133	2.003609	1.997045	1.991223	1.985228	1.980259	1.974274	1.968079	1.959769	1.952287	1.944845	1.939816	1.93391	1.927787	1.922384	1.917657	1.910032	1.904017	1.897631	1.891301
1836	Australia/New Zealand	1.642072	1.640722	1.640122	1.641049	1.642382	1.640953	1.641144	1.639618	1.639079	1.638033	1.637713	1.638245	1.63649	1.635734	1.635779	1.634449	1.633106	1.633317	1.633065	1.632376	1.632959	1.631833	1.631317	1.63108	1.633406	1.634711	1.635077	1.634623	1.633985	1.633296	1.631539	1.632268	1.632371	1.632436	1.633205	1.631955	1.630383	1.63138	1.631667	1.629753	1.631965	1.629552	1.630617	1.630696	1.629355	1.632106	1.629995	1.630975	1.631981	1.631898	1.631255	1.632338	1.630868	1.630051	1.630442	1.633096	1.633163	1.632659	1.631691	1.632748	1.633656	1.633456	1.631952	1.632983	1.632967	1.63367	1.635514	1.633156	1.633356	1.634048	1.635377	1.634562	1.634061	1.634284	1.632999	1.631112	1.631467
1829	Europe and Northern America	1.473832	1.478074	1.48154	1.485566	1.491178	1.495902	1.500773	1.504637	1.508893	1.512679	1.515176	1.518024	1.521477	1.522815	1.524888	1.527073	1.528524	1.530489	1.53187	1.53394	1.535666	1.538871	1.540189	1.541826	1.54393	1.545291	1.547795	1.549663	1.551365	1.553715	1.555492	1.557303	1.559611	1.561801	1.562895	1.564648	1.566515	1.56769	1.568642	1.569481	1.570675	1.572133	1.572885	1.573732	1.574603	1.575704	1.577281	1.577091	1.578114	1.578386	1.579683	1.580354	1.581288	1.582785	1.583885	1.58476	1.585681	1.586237	1.587007	1.587952	1.588743	1.590061	1.591575	1.592763	1.593933	1.595418	1.597073	1.597374	1.598681	1.598966	1.599445	1.600374	1.600714	1.60204	1.60185	1.602331	1.601613
5502	Europe, Northern America, Australia, and New Zealand	1.478923	1.483112	1.486552	1.490557	1.496084	1.500635	1.505355	1.509026	1.513099	1.516697	1.519072	1.521818	1.52509	1.526353	1.528363	1.530447	1.531827	1.533761	1.535122	1.537138	1.538857	1.541944	1.54322	1.54481	1.546936	1.548312	1.550761	1.55257	1.554217	1.55649	1.558175	1.559984	1.562251	1.564399	1.565516	1.567187	1.568949	1.570137	1.571079	1.571822	1.573062	1.574374	1.575141	1.575962	1.57675	1.577918	1.579356	1.579217	1.580245	1.58051	1.581737	1.582432	1.583279	1.584691	1.585772	1.586729	1.587625	1.588149	1.588858	1.589819	1.590628	1.591894	1.593291	1.594488	1.59562	1.597086	1.598764	1.598961	1.600231	1.600547	1.601077	1.601936	1.602247	1.603529	1.603296	1.603673	1.603008
