"country"	"country_code"	"1754"	"1755"	"1756"	"1757"	"1758"	"1759"	"1760"	"1761"	"1762"	"1763"	"1764"	"1765"	"1766"	"1767"	"1768"	"1769"	"1770"	"1771"	"1772"	"1773"	"1774"	"1775"	"1776"	"1777"	"1778"	"1779"	"1780"	"1781"	"1782"	"1783"	"1784"	"1785"	"1786"	"1787"	"1788"	"1789"	"1790"	"1791"	"1792"	"1793"	"1794"	"1795"	"1796"	"1797"	"1798"	"1799"	"1800"	"1801"	"1802"	"1803"	"1804"	"1805"	"1806"	"1807"	"1808"	"1809"	"1810"	"1811"	"1812"	"1813"	"1814"	"1815"	"1816"	"1817"	"1818"	"1819"	"1820"	"1821"	"1822"	"1823"	"1824"	"1825"	"1826"	"1827"	"1828"	"1829"	"1830"	"1831"	"1832"	"1833"	"1834"	"1835"	"1836"	"1837"	"1838"	"1839"	"1840"	"1841"	"1842"	"1843"	"1844"	"1845"	"1846"	"1847"	"1848"	"1849"	"1850"	"1851"	"1852"	"1853"	"1854"	"1855"	"1856"	"1857"	"1858"	"1859"	"1860"	"1861"	"1862"	"1863"	"1864"	"1865"	"1866"	"1867"	"1868"	"1869"	"1870"	"1871"	"1872"	"1873"	"1874"	"1875"	"1876"	"1877"	"1878"	"1879"	"1880"	"1881"	"1882"	"1883"	"1884"	"1885"	"1886"	"1887"	"1888"	"1889"	"1890"	"1891"	"1892"	"1893"	"1894"	"1895"	"1896"	"1897"	"1898"	"1899"	"1900"	"1901"	"1902"	"1903"	"1904"	"1905"	"1906"	"1907"	"1908"	"1909"	"1910"	"1911"	"1912"	"1913"	"1914"	"1915"	"1916"	"1917"	"1918"	"1919"	"1920"	"1921"	"1922"	"1923"	"1924"	"1925"	"1926"	"1927"	"1928"	"1929"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"
"Algeria"	12																																																																																																																																																																																																			36.46	42.03
"Argentina"	32																																																																																																																				30.68	30.75	30.82	30.89	30.96	31.03	31.1	31.17	31.24	31.31	31.38	31.45	31.52	31.59	31.69	31.79	31.89	31.99	32.09	32.19	32.29	32.39	32.49	32.59	32.7	32.8	32.9	33.23	33.56	33.9	34.24	34.59	34.95	35.31	35.67	36.04	36.69	37.36	38.04	38.73	39.44	40.17	40.91	41.67	42.44	43.24	43.57	43.9	44.23	44.57	44.91	45.25	45.59	45.94	46.29	46.65	47.01	47.37	47.73	48.1	48.47	48.84	49.2	49.55	49.92	50.28	50.65	51.01	51.39	51.76	52.14	52.52	52.91	53.3	53.69	54.08	54.48	54.88	55.29	55.92	56.65
"Australia"	36																																																																																																																																																														57.63	57.69	57.73	57.77	57.83	57.9	58.02	58.18	58.41	58.71	59.1	60.88	60.08	60.77	61.3	60.99	61.13	61.33	61.1	63.15	63.55	63.64	63.65	63.09	63.18	63.38	63.65	63.8	63.64	63.93	64.05	64.22	64.57	66.25	66.62	65.87	66.29	66.14	66.64
"Austria"	40																																																																																																																					31.52	31.36	31.15	30.96	30.86	30.91	31.16	31.55	32.04	32.56	33.05	33.45	33.77	34.04	34.28	34.5	34.71	34.92	35.15	35.4	35.69	36.02	36.46	37.01	37.65	38.32	38.98	39.59	40.11	40.48	40.68	40.65	39.89	39.1	39.01	39.18	39.54	40.05	40.66	41.52	42.6	43.54	44.29	45.04	45.77	46.5	47.2	47.89	48.56	49.22	49.84	50.45	51.02	51.57	52.08	52.56	53.01	53.41	53.78	54.11	54.39	54.62	54.49	54.57	54.64	54.71	54.79	54.89	55.02	55.19	55.41	55.68	56.01	56.42	56.91	57.49	58.16	58.95	60.34	61.02
"Barbados"	52																																																																																																																																																																																																	46.24	55.53	60.23	48.89
"Belarus"	112																																																																																																																																																																													48.14	48.1	48	47.88	47.75	47.61	47.47	47.36	47.28	47.25	47.28	47.37	47.55	47.83	48.2	48.64	49.13	49.67	50.27	50.91	51.59	52.31	53.05	53.82
"Belgium"	56																																																																																								40.32	38.79	40.46	42.05	41.27	37.48	35.75	38.17	34.49	42.46	42.04	41.65	41.35	39.47	37.09	40.69	39.75	39.7	38.46	44.5	40.74	42.06	40.73	39.41	37.11	31.69	40.32	41.62	41.91	40.14	33.55	39.35	42.38	43.6	41.02	42.54	42.89	42.93	42.57	41.08	43.01	43.51	43.46	42.83	44.08	41.88	43.93	43.15	43.46	42.3	42.33	42.19	42.92	44.73	43.83	46.47	46.45	46.31	44.87	44.98	47.76	47.33	47.56	47.76	48.46	48.07	49.03	48.13	48.99	49.7	47.54	50.03	50.62	50.13	48.93	47.55	46.51	46.33	47.52	52.15	53	53.7	54.87	55.63	55.35	55.09	55.14	55.66	53.18	55.07	56.44	56.68	56.79	58.38	57.96	57.73	57.89	57.86	57.86	51.78	55.99	55.76	57.82	53.49	55.56	59.13	60.48	62.34	62.92
"Belize"	84																																																																																																																																																																																																	37.6	38.55	40.58	46.35
"Bolivia (Plurinational State of)"	68																																																																																																																																																			30.15	30.26	30.35	30.46	30.57	30.68	30.77	30.88	30.99	31.09	31.2	31.31	31.42	31.53	31.63	31.75	31.86	31.97	32.08	32.19	32.3	32.42	32.53	32.64	32.76	32.87	33.07	33.28	33.49	33.7	33.91	34.12	34.33	34.55	34.76	34.99	35.2	35.42	35.65	35.87	36.1	36.32	36.55	36.79	37.01	37.25	37.49	37.72	37.96	38.2
"Brazil"	76																																																																																																																							32.54	32.81	33.09	33.37	33.65	33.94	34.23	34.53	34.83	35.13	35.18	35.22	35.26	35.31	35.36	35.4	35.44	35.49	35.53	35.57	35.63	35.67	35.71	35.76	36.01	36.26	36.52	36.77	37.03	37.28	37.55	37.81	38.08	38.34	38.61	38.88	39.16	39.43	39.71	39.71	39.7	39.7	39.7	39.69	39.69	39.68	39.68	39.68	39.67	39.67	39.67	39.66	39.66	39.66	39.65	39.65	39.65	39.64	39.64	39.93	40.22	40.52	40.82	41.13	41.44	41.75	42.07	42.39	42.72	43.05	43.39	43.73	44.08	44.43	44.82	45.2	45.58	45.98
